"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.073,0.089,0.058,0.064,0.079,0.066,0.086,0.097,0.065,0.046,0.071,0.092,0.11,0.057,0.098,0.058,6
"Buena",0.138,0.148,0.128,0.082,0.15,0.158,0.18,0.209,0.077,0.118,0.119,0.197,0.21,0.099,0.188,0.107,6
"Ni buena ni mala",0.437,0.406,0.467,0.472,0.444,0.382,0.438,0.403,0.485,0.418,0.435,0.412,0.448,0.409,0.398,0.461,6
"Mala",0.229,0.236,0.222,0.226,0.194,0.283,0.243,0.19,0.245,0.266,0.258,0.203,0.142,0.293,0.192,0.251,6
"Muy mala",0.063,0.065,0.061,0.087,0.058,0.063,0.033,0.035,0.053,0.127,0.062,0.045,0.034,0.087,0.076,0.055,6
"No sabe",0.06,0.056,0.064,0.069,0.075,0.048,0.02,0.066,0.075,0.025,0.055,0.051,0.056,0.055,0.048,0.068,6
"Positiva",0.211,0.237,0.186,0.146,0.229,0.224,0.266,0.306,0.142,0.164,0.19,0.289,0.32,0.156,0.286,0.165,4
"Neutra",0.437,0.406,0.467,0.472,0.444,0.382,0.438,0.403,0.485,0.418,0.435,0.412,0.448,0.409,0.398,0.461,4
"Negativa",0.292,0.301,0.283,0.313,0.252,0.346,0.276,0.225,0.298,0.393,0.32,0.248,0.176,0.38,0.268,0.306,4
"No sabe",0.06,0.056,0.064,0.069,0.075,0.048,0.02,0.066,0.075,0.025,0.055,0.051,0.056,0.055,0.048,0.068,4
