"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Positiva",0.436,0.403,0.467,0.489,0.384,0.462,0.474,0.447,0.392,0.491,0.216,0.794,0.497
"Horacio Rodriguez Larreta","Neutra",0.187,0.189,0.184,0.178,0.214,0.156,0.159,0.192,0.196,0.163,0.204,0.117,0.253
"Horacio Rodriguez Larreta","Negativa",0.327,0.371,0.286,0.265,0.356,0.333,0.331,0.282,0.363,0.329,0.517,0.063,0.197
"Horacio Rodriguez Larreta","No sabe",0.05,0.037,0.063,0.068,0.046,0.049,0.036,0.079,0.049,0.017,0.063,0.026,0.053
"Alberto Fernandez","Positiva",0.405,0.367,0.442,0.306,0.46,0.39,0.414,0.44,0.424,0.332,0.724,0.063,0.143
"Alberto Fernandez","Neutra",0.109,0.104,0.113,0.154,0.094,0.112,0.076,0.087,0.136,0.094,0.118,0.039,0.145
"Alberto Fernandez","Negativa",0.467,0.517,0.419,0.49,0.442,0.489,0.478,0.455,0.419,0.558,0.151,0.878,0.712
"Alberto Fernandez","No sabe",0.019,0.012,0.026,0.05,0.004,0.009,0.032,0.018,0.021,0.016,0.007,0.02,0
"CFK","Positiva",0.371,0.35,0.393,0.29,0.416,0.349,0.397,0.404,0.388,0.305,0.696,0.028,0.055
"CFK","Neutra",0.088,0.093,0.083,0.126,0.077,0.082,0.071,0.074,0.114,0.065,0.101,0.02,0.152
"CFK","Negativa",0.505,0.533,0.478,0.513,0.475,0.565,0.495,0.486,0.452,0.611,0.173,0.933,0.761
"CFK","No sabe",0.036,0.024,0.046,0.071,0.032,0.004,0.037,0.036,0.046,0.019,0.03,0.019,0.032
"Mauricio Macri","Positiva",0.223,0.218,0.227,0.227,0.173,0.248,0.344,0.23,0.166,0.303,0.094,0.513,0.064
"Mauricio Macri","Neutra",0.222,0.216,0.228,0.285,0.164,0.266,0.235,0.267,0.216,0.176,0.118,0.304,0.489
"Mauricio Macri","Negativa",0.527,0.543,0.511,0.444,0.633,0.475,0.397,0.466,0.588,0.506,0.757,0.167,0.447
"Mauricio Macri","No sabe",0.028,0.023,0.034,0.044,0.03,0.011,0.024,0.037,0.03,0.015,0.031,0.016,0
