"var","categoria","Mejor","Igual","Peor","No sabe"
"P08","Inflación",0.337,0.359,0.332,0.265
"P08","Desempleo",0.093,0.086,0.077,0.093
"P08","Corrupción",0.183,0.183,0.323,0.221
"P08","Inseguridad",0.095,0.13,0.112,0.099
"P08","Precio del dólar",0.041,0.052,0.032,0.042
"P08","Pobreza",0.087,0.089,0.053,0.137
"P08","Narcotráfico",0.037,0.01,0.018,0.046
"P08","Tarifas",0.005,0.02,0.007,0.019
"P08","Otro",0.101,0.045,0.035,0.043
"P08","No sabe",0.021,0.026,0.011,0.035
"P12","Sin deuda",0.374,0.344,0.272,0.268
"P12","Menos de 10%",0.16,0.183,0.143,0.152
"P12","Entre 10 y 20%",0.129,0.175,0.144,0.123
"P12","Entre 20 y 30%",0.13,0.088,0.097,0.097
"P12","Entre 30 y 40%",0.089,0.062,0.092,0.108
"P12","Mas del 40%",0.096,0.115,0.208,0.119
"P12","No sabe",0.022,0.033,0.044,0.133
"P13","Gran excedente habitual",0.023,0.003,0.009,0.007
"P13","Gran excedente excepcional",0.013,0.006,0.008,0.017
"P13","Pequeño excedente habitual",0.102,0.073,0.057,0.04
"P13","Pequeño excedente excepcional",0.075,0.074,0.05,0.051
"P13","Alcanza gastos familia",0.168,0.156,0.113,0.087
"P13","No alcanza gastos familia",0.187,0.139,0.161,0.149
"P13","Solo NBFamiliares",0.23,0.282,0.234,0.231
"P13","No alcanza NBFamiliares",0.195,0.259,0.355,0.347
"P13","No sabe",0.007,0.008,0.013,0.071
"P14","Muy buena",0.104,0.045,0.046,0.026
"P14","Buena",0.223,0.21,0.113,0.118
"P14","Ni buena ni mala",0.449,0.451,0.389,0.49
"P14","Mala",0.149,0.226,0.289,0.239
"P14","Muy mala",0.047,0.05,0.146,0.084
"P14","No sabe",0.028,0.018,0.017,0.043
"P15","Mejor",0.288,0.12,0.071,0.098
"P15","Igual",0.398,0.428,0.128,0.276
"P15","Peor",0.269,0.396,0.753,0.552
"P15","No sabe",0.045,0.056,0.048,0.074
"P16","Mejor",0.501,0.124,0.035,0.076
"P16","Igual",0.226,0.541,0.15,0.164
"P16","Peor",0.183,0.214,0.737,0.169
"P16","No sabe",0.09,0.121,0.078,0.591
"P17","Muy buena",0.066,0.043,0.088,0.014
"P17","Buena",0.198,0.128,0.032,0.037
"P17","Ni buena ni mala",0.329,0.278,0.05,0.202
"P17","Mala",0.22,0.335,0.249,0.42
"P17","Muy mala",0.15,0.192,0.575,0.263
"P17","No sabe",0.037,0.024,0.006,0.064
"P18","Mejor",0.422,0.06,0.019,0.079
"P18","Igual",0.283,0.462,0.042,0.216
"P18","Peor",0.237,0.406,0.904,0.481
"P18","No sabe",0.058,0.072,0.035,0.224
"P20","Muy buena",0.113,0.045,0.099,0.032
"P20","Buena",0.237,0.211,0.023,0.091
"P20","Ni buena ni mala",0.361,0.377,0.089,0.264
"P20","Mala",0.136,0.199,0.189,0.274
"P20","Muy mala",0.138,0.156,0.585,0.223
