"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.082,0.086,0.079,0.111,0.07,0.072,0.079,0.114,0.074,0.055,0.076,0.074,0.147,0.085,0.066,0.049,0.091,6
"Buena",0.084,0.083,0.085,0.092,0.069,0.102,0.082,0.087,0.089,0.072,0.165,0.023,0.039,0.073,0.097,0.107,0.084,6
"Ni buena ni mala",0.186,0.163,0.208,0.223,0.183,0.16,0.171,0.232,0.179,0.142,0.317,0.055,0.182,0.162,0.217,0.189,0.191,6
"Mala",0.197,0.184,0.209,0.166,0.216,0.185,0.216,0.201,0.192,0.201,0.231,0.165,0.166,0.187,0.247,0.193,0.183,6
"Muy mala",0.425,0.466,0.386,0.366,0.434,0.47,0.433,0.321,0.444,0.52,0.178,0.677,0.446,0.474,0.34,0.402,0.426,6
"No sabe",0.026,0.018,0.033,0.042,0.028,0.011,0.019,0.045,0.022,0.01,0.033,0.006,0.02,0.019,0.033,0.06,0.025,6
"Positiva",0.166,0.169,0.164,0.203,0.139,0.174,0.161,0.201,0.163,0.127,0.241,0.097,0.186,0.158,0.163,0.156,0.175,4
"Neutra",0.186,0.163,0.208,0.223,0.183,0.16,0.171,0.232,0.179,0.142,0.317,0.055,0.182,0.162,0.217,0.189,0.191,4
"Negativa",0.622,0.65,0.595,0.532,0.65,0.655,0.649,0.522,0.636,0.721,0.409,0.842,0.612,0.661,0.587,0.595,0.609,4
"No sabe",0.026,0.018,0.033,0.042,0.028,0.011,0.019,0.045,0.022,0.01,0.033,0.006,0.02,0.019,0.033,0.06,0.025,4
"Positiva",0.243,0.237,0.247,0.283,0.203,0.257,0.255,0.295,0.23,0.197,0.39,0.112,0.22,0.213,0.245,0.268,0.262,2
"Negativa",0.731,0.744,0.719,0.676,0.77,0.732,0.725,0.66,0.748,0.793,0.577,0.882,0.76,0.768,0.722,0.672,0.713,2
"No sabe",0.026,0.019,0.034,0.041,0.027,0.011,0.02,0.045,0.022,0.01,0.033,0.006,0.02,0.019,0.033,0.06,0.025,2
