"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.04,0.041,0.038,0.072,0.029,0.024,0.033,0.061,0.034,0.022,0.056,0.024,0.06,0.048,0.016,0.022,0.046,6
"Buena",0.065,0.069,0.062,0.064,0.055,0.075,0.08,0.067,0.067,0.062,0.136,0.013,0.022,0.055,0.079,0.102,0.063,6
"Ni buena ni mala",0.177,0.153,0.199,0.17,0.186,0.176,0.168,0.218,0.169,0.14,0.308,0.059,0.178,0.141,0.205,0.198,0.191,6
"Mala",0.229,0.219,0.239,0.214,0.246,0.211,0.239,0.248,0.226,0.211,0.273,0.185,0.206,0.221,0.274,0.177,0.223,6
"Muy mala",0.451,0.494,0.411,0.405,0.458,0.492,0.452,0.35,0.468,0.548,0.187,0.702,0.504,0.502,0.386,0.439,0.44,6
"No sabe",0.038,0.024,0.051,0.075,0.026,0.022,0.028,0.056,0.036,0.017,0.04,0.017,0.03,0.033,0.04,0.062,0.037,6
"Positiva",0.105,0.11,0.1,0.136,0.084,0.099,0.113,0.128,0.101,0.084,0.192,0.037,0.082,0.103,0.095,0.124,0.109,4
"Neutra",0.177,0.153,0.199,0.17,0.186,0.176,0.168,0.218,0.169,0.14,0.308,0.059,0.178,0.141,0.205,0.198,0.191,4
"Negativa",0.68,0.713,0.65,0.619,0.704,0.703,0.691,0.598,0.694,0.759,0.46,0.887,0.71,0.723,0.66,0.616,0.663,4
"No sabe",0.038,0.024,0.051,0.075,0.026,0.022,0.028,0.056,0.036,0.017,0.04,0.017,0.03,0.033,0.04,0.062,0.037,4
