"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.048,0.044,0.051,0.068,0.037,0.032,0.063,0.059,0.051,0.031,0.045,0.055,0.073,0.044,0.051,0.031,0.052,6
"Buena",0.09,0.105,0.076,0.065,0.075,0.099,0.148,0.077,0.083,0.115,0.054,0.147,0.068,0.102,0.108,0.078,0.073,6
"Ni buena ni mala",0.232,0.22,0.244,0.253,0.209,0.215,0.281,0.261,0.233,0.2,0.173,0.3,0.256,0.24,0.227,0.196,0.233,6
"Mala",0.234,0.229,0.238,0.191,0.233,0.269,0.249,0.227,0.23,0.246,0.231,0.234,0.249,0.218,0.239,0.246,0.243,6
"Muy mala",0.36,0.38,0.341,0.384,0.406,0.356,0.226,0.314,0.376,0.387,0.462,0.236,0.321,0.361,0.317,0.436,0.368,6
"No sabe",0.036,0.022,0.05,0.039,0.04,0.029,0.033,0.062,0.027,0.021,0.035,0.028,0.033,0.035,0.058,0.013,0.031,6
"Positiva",0.138,0.149,0.127,0.133,0.112,0.131,0.211,0.136,0.134,0.146,0.099,0.202,0.141,0.146,0.159,0.109,0.125,4
"Neutra",0.232,0.22,0.244,0.253,0.209,0.215,0.281,0.261,0.233,0.2,0.173,0.3,0.256,0.24,0.227,0.196,0.233,4
"Negativa",0.594,0.609,0.579,0.575,0.639,0.625,0.475,0.541,0.606,0.633,0.693,0.47,0.57,0.579,0.556,0.682,0.611,4
"No sabe",0.036,0.022,0.05,0.039,0.04,0.029,0.033,0.062,0.027,0.021,0.035,0.028,0.033,0.035,0.058,0.013,0.031,4
