"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.176,0.244,0.11,0.25,0.187,0.134,0.1,0.2,0.182,0.139,0.092,0.221,0.175,0.188,0.2,0.119,0.163,6
"Buena",0.122,0.137,0.106,0.114,0.12,0.136,0.114,0.117,0.119,0.13,0.076,0.172,0.137,0.136,0.108,0.115,0.116,6
"Ni buena ni mala",0.228,0.212,0.245,0.185,0.208,0.255,0.303,0.226,0.232,0.226,0.161,0.312,0.215,0.219,0.281,0.233,0.212,6
"Mala",0.151,0.126,0.175,0.111,0.146,0.159,0.212,0.165,0.136,0.158,0.188,0.127,0.164,0.126,0.175,0.169,0.159,6
"Muy mala",0.276,0.249,0.303,0.282,0.293,0.287,0.216,0.227,0.279,0.33,0.436,0.14,0.202,0.281,0.186,0.33,0.307,6
"No sabe",0.047,0.032,0.061,0.058,0.046,0.029,0.055,0.065,0.052,0.017,0.047,0.028,0.107,0.05,0.05,0.034,0.043,6
"Positiva",0.298,0.381,0.216,0.364,0.307,0.27,0.214,0.317,0.301,0.269,0.168,0.393,0.312,0.324,0.308,0.234,0.279,4
"Neutra",0.228,0.212,0.245,0.185,0.208,0.255,0.303,0.226,0.232,0.226,0.161,0.312,0.215,0.219,0.281,0.233,0.212,4
"Negativa",0.427,0.375,0.478,0.393,0.439,0.446,0.428,0.392,0.415,0.488,0.624,0.267,0.366,0.407,0.361,0.499,0.466,4
"No sabe",0.047,0.032,0.061,0.058,0.046,0.029,0.055,0.065,0.052,0.017,0.047,0.028,0.107,0.05,0.05,0.034,0.043,4
"Positiva",0.387,0.476,0.3,0.432,0.398,0.362,0.328,0.402,0.389,0.365,0.219,0.524,0.399,0.411,0.415,0.334,0.361,2
"Negativa",0.567,0.492,0.639,0.51,0.556,0.609,0.618,0.533,0.559,0.618,0.734,0.448,0.494,0.539,0.535,0.632,0.596,2
"No sabe",0.046,0.032,0.061,0.058,0.046,0.029,0.054,0.065,0.052,0.017,0.047,0.028,0.107,0.05,0.05,0.034,0.043,2
