"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.049,0.05,0.049,0.02,0.046,0.071,0.071,0.052,0.045,0.053,0.024,0.079,0.074,0.047,0.072,0.039,0.042,6
"Buena",0.109,0.123,0.096,0.059,0.073,0.143,0.219,0.106,0.1,0.126,0.046,0.182,0.134,0.111,0.121,0.077,0.106,6
"Ni buena ni mala",0.315,0.28,0.347,0.274,0.321,0.326,0.345,0.339,0.302,0.305,0.27,0.357,0.373,0.299,0.321,0.289,0.328,6
"Mala",0.142,0.166,0.12,0.107,0.155,0.161,0.14,0.151,0.121,0.164,0.191,0.106,0.178,0.134,0.143,0.183,0.144,6
"Muy mala",0.223,0.258,0.19,0.262,0.233,0.224,0.142,0.17,0.247,0.25,0.306,0.151,0.113,0.227,0.171,0.22,0.244,6
"No sabe",0.162,0.123,0.198,0.278,0.172,0.075,0.083,0.182,0.185,0.102,0.163,0.125,0.128,0.182,0.172,0.192,0.136,6
"Positiva",0.158,0.173,0.145,0.079,0.119,0.214,0.29,0.158,0.145,0.179,0.07,0.261,0.208,0.158,0.193,0.116,0.148,4
"Neutra",0.315,0.28,0.347,0.274,0.321,0.326,0.345,0.339,0.302,0.305,0.27,0.357,0.373,0.299,0.321,0.289,0.328,4
"Negativa",0.365,0.424,0.31,0.369,0.388,0.385,0.282,0.321,0.368,0.414,0.497,0.257,0.291,0.361,0.314,0.403,0.388,4
"No sabe",0.162,0.123,0.198,0.278,0.172,0.075,0.083,0.182,0.185,0.102,0.163,0.125,0.128,0.182,0.172,0.192,0.136,4
"Positiva",0.279,0.256,0.301,0.165,0.224,0.361,0.461,0.277,0.269,0.296,0.136,0.449,0.354,0.284,0.311,0.192,0.272,2
"Negativa",0.56,0.621,0.501,0.557,0.604,0.564,0.456,0.541,0.546,0.601,0.701,0.426,0.518,0.534,0.517,0.616,0.593,2
"No sabe",0.161,0.123,0.198,0.278,0.172,0.075,0.083,0.182,0.185,0.103,0.163,0.125,0.128,0.182,0.172,0.192,0.135,2
