"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P08","Inflación",0.32,0.377,0.302,0.287
"P08","Desempleo",0.074,0.083,0.091,0.084
"P08","Corrupción",0.255,0.277,0.276,0.272
"P08","Inseguridad",0.134,0.098,0.117,0.094
"P08","Precio del dólar",0.038,0.026,0.035,0.045
"P08","Pobreza",0.06,0.064,0.078,0.085
"P08","Narcotráfico",0.017,0.016,0.023,0.038
"P08","Tarifas",0.01,0.01,0.012,0.014
"P08","Otro",0.059,0.037,0.043,0.056
"P08","No sabe",0.033,0.012,0.023,0.025
"P12","Sin deuda",0.346,0.303,0.283,0.291
"P12","Menos de 10%",0.173,0.173,0.142,0.112
"P12","Entre 10 y 20%",0.134,0.154,0.145,0.147
"P12","Entre 20 y 30%",0.074,0.094,0.104,0.094
"P12","Entre 30 y 40%",0.073,0.086,0.093,0.082
"P12","Mas del 40%",0.167,0.151,0.174,0.187
"P12","No sabe",0.033,0.039,0.059,0.087
"P13","Gran excedente habitual",0.013,0.005,0.009,0.013
"P13","Gran excedente excepcional",0.007,0.008,0.014,0.01
"P13","Pequeño excedente habitual",0.065,0.071,0.06,0.048
"P13","Pequeño excedente excepcional",0.053,0.062,0.053,0.05
"P13","Alcanza gastos familia",0.106,0.137,0.125,0.099
"P13","No alcanza gastos familia",0.133,0.143,0.164,0.166
"P13","Solo NBFamiliares",0.245,0.262,0.233,0.22
"P13","No alcanza NBFamiliares",0.356,0.303,0.322,0.355
"P13","No sabe",0.022,0.009,0.02,0.039
"P14","Muy buena",0.069,0.037,0.056,0.045
"P14","Buena",0.16,0.171,0.138,0.083
"P14","Ni buena ni mala",0.392,0.422,0.416,0.391
"P14","Mala",0.241,0.266,0.258,0.273
"P14","Muy mala",0.116,0.089,0.108,0.177
"P14","No sabe",0.022,0.015,0.024,0.031
"P15","Mejor",0.113,0.1,0.11,0.081
"P15","Igual",0.234,0.247,0.221,0.208
"P15","Peor",0.591,0.619,0.613,0.648
"P15","No sabe",0.062,0.034,0.056,0.063
"P16","Mejor",0.114,0.089,0.095,0.082
"P16","Igual",0.274,0.231,0.22,0.204
"P16","Peor",0.499,0.534,0.522,0.522
"P16","No sabe",0.113,0.146,0.163,0.192
"P17","Muy buena",0.106,0.054,0.073,0.054
"P17","Buena",0.1,0.064,0.057,0.038
"P17","Ni buena ni mala",0.147,0.16,0.13,0.114
"P17","Mala",0.248,0.277,0.304,0.273
"P17","Muy mala",0.371,0.434,0.416,0.479
"P17","No sabe",0.028,0.011,0.02,0.042
"P18","Mejor",0.084,0.059,0.066,0.068
"P18","Igual",0.179,0.171,0.158,0.138
"P18","Peor",0.685,0.722,0.703,0.698
"P18","No sabe",0.052,0.048,0.073,0.096
"P19","Mejor",0.15,0.071,0.072,0.054
"P19","Igual",0.19,0.187,0.193,0.174
"P19","Peor",0.576,0.622,0.606,0.623
"P19","No sabe",0.084,0.12,0.129,0.149
"P20","Muy buena",0.113,0.07,0.086,0.062
"P20","Buena",0.11,0.091,0.078,0.061
"P20","Ni buena ni mala",0.169,0.183,0.184,0.214
"P20","Mala",0.171,0.212,0.2,0.191
"P20","Muy mala",0.405,0.435,0.424,0.429
"P20","No sabe",0.032,0.009,0.028,0.043
"P22","Muy buena",0.063,0.03,0.042,0.025
"P22","Buena",0.1,0.076,0.053,0.044
"P22","Ni buena ni mala",0.185,0.178,0.171,0.18
"P22","Mala",0.176,0.237,0.246,0.231
"P22","Muy mala",0.433,0.461,0.449,0.459
"P22","No sabe",0.043,0.018,0.039,0.061
"P23","Muy buena",0.065,0.044,0.055,0.039
"P23","Buena",0.133,0.138,0.088,0.071
"P23","Ni buena ni mala",0.188,0.189,0.187,0.203
"P23","Mala",0.186,0.215,0.24,0.202
"P23","Muy mala",0.397,0.397,0.397,0.402
"P23","No sabe",0.031,0.017,0.033,0.083
"P24","Muy buena",0.039,0.025,0.028,0.022
"P24","Buena",0.09,0.095,0.059,0.049
"P24","Ni buena ni mala",0.183,0.142,0.158,0.179
"P24","Mala",0.181,0.223,0.243,0.174
"P24","Muy mala",0.473,0.497,0.485,0.522
"P24","No sabe",0.034,0.018,0.027,0.054
"P25","Frente de Todos y el peronismo",0.266,0.266,0.222,0.18
