"var","categoria","Si","No","No sabe"
"P10","Siempre",0.283,0.168,0.102
"P10","Casi siempre",0.265,0.333,0.222
"P10","Casi nunca",0.248,0.332,0.445
"P10","Nunca, pero esta es una excepción",0.204,0.167,0.231
"P12","Javier Milei",0.765,0.189,0.494
"P12","Mauricio Macri",0.083,0.589,0.117
"P12","Ambos",0.1,0.128,0.201
"P12","No sabe",0.052,0.094,0.188
"P13","Si",0.766,0.161,0.496
"P13","No",0.175,0.804,0.275
"P13","No sabe",0.059,0.035,0.229
"P14","Florencio Randazzo",0.264,0.318,0.273
"P14","Cristian Ritondo",0.372,0.164,0.2
"P14","Algun diputado del bloque de Milei",0.252,0.143,0.221
"P14","No sabe",0.112,0.375,0.306
"P15","Si",0.827,0.231,0.491
"P15","No",0.125,0.713,0.35
"P15","No sabe",0.048,0.056,0.159
"P16","Si",0.425,0.691,0.463
"P16","No",0.485,0.178,0.318
"P16","No sabe",0.09,0.131,0.219
"P17","Si",0.424,0.564,0.414
"P17","No",0.467,0.347,0.399
"P17","No sabe",0.109,0.089,0.187
"P18","Los cargos públicos",0.504,0.404,0.412
"P18","El empleo público",0.223,0.134,0.143
"P18","Los planes sociales",0.17,0.135,0.237
"P18","Las tarifas de los servicios públicos",0.042,0.079,0.076
"P18","No sabe",0.061,0.248,0.132
"P19","Si",0.58,0.191,0.297
"P19","No",0.225,0.64,0.208
"P19","No sabe",0.195,0.169,0.495
"P20","Si",0.771,0.291,0.63
"P20","No",0.165,0.624,0.157
"P20","No sabe",0.064,0.085,0.213
"P21","Inflación",0.347,0.327,0.253
"P21","Desempleo",0.04,0.132,0.13
"P21","Corrupción",0.393,0.217,0.372
"P21","Inseguridad",0.117,0.132,0.149
"P21","Precio del dólar",0.004,0.028,0.005
"P21","Pobreza",0.028,0.075,0.033
"P21","Narcotráfico",0.019,0.014,0.001
"P21","Tarifas",0.006,0.014,0.002
"P21","Otro",0.032,0.054,0.033
"P21","No sabe",0.014,0.007,0.022
"P25","Sin deuda",0.342,0.329,0.369
"P25","Menos de 10%",0.164,0.179,0.212
"P25","Entre 10 y 20%",0.141,0.148,0.068
"P25","Entre 20 y 30%",0.112,0.085,0.099
"P25","Entre 30 y 40%",0.078,0.086,0.061
"P25","Mas del 40%",0.128,0.131,0.105
"P25","No sabe",0.035,0.042,0.086
"P26","Gran excedente habitual",0.023,0.002,0.002
"P26","Gran excedente excepcional",0,0.016,0.009
"P26","Pequeño excedente habitual",0.041,0.048,0.03
"P26","Pequeño excedente excepcional",0.054,0.054,0.024
"P26","Alcanza gastos familia",0.128,0.136,0.157
"P26","No alcanza gastos familia",0.118,0.114,0.131
"P26","Solo NBFamiliares",0.332,0.285,0.29
"P26","No alcanza NBFamiliares",0.282,0.338,0.335
"P26","No sabe",0.022,0.007,0.022
"P27","Muy buena",0.076,0.044,0.027
"P27","Buena",0.158,0.197,0.17
"P27","Ni buena ni mala",0.484,0.427,0.378
"P27","Mala",0.206,0.263,0.335
"P27","Muy mala",0.061,0.066,0.087
"P27","No sabe",0.015,0.003,0.003
"P28","Mejor",0.055,0.093,0.096
"P28","Igual",0.172,0.381,0.203
"P28","Peor",0.741,0.472,0.657
"P28","No sabe",0.032,0.054,0.044
"P29","Mejor",0.287,0.048,0.222
"P29","Igual",0.323,0.149,0.319
"P29","Peor",0.241,0.654,0.226
"P29","No sabe",0.149,0.149,0.233
"P30","Muy buena",0.083,0.071,0.03
"P30","Buena",0.051,0.1,0.059
"P30","Ni buena ni mala",0.127,0.303,0.1
"P30","Mala",0.33,0.371,0.504
"P30","Muy mala",0.396,0.149,0.29
"P30","No sabe",0.013,0.006,0.017
"P31","Mejor",0.01,0.069,0.05
"P31","Igual",0.066,0.301,0.089
"P31","Peor",0.874,0.575,0.778
"P31","No sabe",0.05,0.055,0.083
"P32","Mejor",0.339,0.058,0.169
"P32","Igual",0.299,0.112,0.26
"P32","Peor",0.255,0.704,0.365
"P32","No sabe",0.107,0.126,0.206
"P33","Muy buena",0.049,0.079,0.096
"P33","Buena",0.106,0.195,0.044
"P33","Ni buena ni mala",0.156,0.379,0.167
"P33","Mala",0.222,0.235,0.301
"P33","Muy mala",0.46,0.088,0.338
"P33","No sabe",0.007,0.024,0.054
"P34","Muy buena",0.092,0.326,0.132
"P34","Buena",0.057,0.216,0.098
"P34","Ni buena ni mala",0.135,0.229,0.237
"P34","Mala",0.256,0.13,0.217
"P34","Muy mala",0.429,0.062,0.271
"P34","No sabe",0.031,0.037,0.045
"P35","Muy buena",0.059,0.109,0.033
"P35","Buena",0.044,0.19,0.054
"P35","Ni buena ni mala",0.121,0.317,0.168
"P35","Mala",0.236,0.243,0.286
"P35","Muy mala",0.521,0.099,0.394
"P35","No sabe",0.019,0.042,0.065
"P36","Muy buena",0.069,0.124,0.018
"P36","Buena",0.034,0.278,0.089
"P36","Ni buena ni mala",0.12,0.343,0.204
"P36","Mala",0.293,0.165,0.321
"P36","Muy mala",0.466,0.072,0.318
"P36","No sabe",0.018,0.018,0.05
"P37","Muy buena",0.039,0.056,0.018
"P37","Buena",0.053,0.155,0.067
"P37","Ni buena ni mala",0.078,0.364,0.215
"P37","Mala",0.249,0.271,0.272
"P37","Muy mala",0.578,0.127,0.409
"P37","No sabe",0.003,0.027,0.019
"P38","Muy buena",0.048,0.117,0.03
"P38","Buena",0.031,0.159,0.057
"P38","Ni buena ni mala",0.111,0.282,0.223
"P38","Mala",0.238,0.259,0.233
"P38","Muy mala",0.57,0.173,0.447
"P38","No sabe",0.002,0.01,0.01
"P39","Muy buena",0.06,0.465,0.183
"P39","Buena",0.054,0.17,0.066
"P39","Ni buena ni mala",0.058,0.136,0.103
"P39","Mala",0.167,0.114,0.16
"P39","Muy mala",0.661,0.11,0.477
"P39","No sabe",0,0.005,0.011
"P40","Muy buena",0.223,0.059,0.054
"P40","Buena",0.264,0.069,0.16
"P40","Ni buena ni mala",0.316,0.073,0.337
"P40","Mala",0.107,0.343,0.273
"P40","Muy mala",0.089,0.449,0.164
"P40","No sabe",0.001,0.007,0.012
"P41","Muy buena",0.092,0.104,0.056
"P41","Buena",0.2,0.12,0.152
"P41","Ni buena ni mala",0.292,0.311,0.369
"P41","Mala",0.154,0.294,0.212
"P41","Muy mala",0.26,0.163,0.17
"P41","No sabe",0.002,0.008,0.041
"P42","Muy buena",0.037,0.26,0.066
"P42","Buena",0.049,0.277,0.066
"P42","Ni buena ni mala",0.086,0.235,0.234
"P42","Mala",0.214,0.124,0.173
"P42","Muy mala",0.612,0.1,0.445
"P42","No sabe",0.002,0.004,0.016
"P43","Muy buena",0.157,0.05,0.098
"P43","Buena",0.258,0.074,0.145
"P43","Ni buena ni mala",0.298,0.201,0.396
"P43","Mala",0.19,0.343,0.17
"P43","Muy mala",0.096,0.322,0.172
"P43","No sabe",0.001,0.01,0.019
"P44","Muy buena",0.069,0.476,0.102
"P44","Buena",0.067,0.159,0.132
"P44","Ni buena ni mala",0.107,0.16,0.173
"P44","Mala",0.165,0.084,0.149
"P44","Muy mala",0.592,0.11,0.436
"P44","No sabe",0,0.011,0.008
"P45","Muy buena",0.133,0.092,0.062
"P45","Buena",0.129,0.112,0.141
"P45","Ni buena ni mala",0.422,0.337,0.443
"P45","Mala",0.102,0.183,0.1
"P45","Muy mala",0.156,0.195,0.1
"P45","No sabe",0.058,0.081,0.154
"P46","Muy buena",0.491,0.113,0.268
"P46","Buena",0.27,0.091,0.19
"P46","Ni buena ni mala",0.152,0.151,0.264
"P46","Mala",0.023,0.248,0.103
"P46","Muy mala",0.063,0.387,0.096
"P46","No sabe",0.001,0.01,0.079
"P47","Muy buena",0.412,0.058,0.203
"P47","Buena",0.285,0.088,0.259
"P47","Ni buena ni mala",0.219,0.115,0.203
"P47","Mala",0.054,0.298,0.185
"P47","Muy mala",0.03,0.43,0.134
"P47","No sabe",0,0.011,0.016
"P48","Muy buena",0.101,0.257,0.037
"P48","Buena",0.074,0.219,0.064
"P48","Ni buena ni mala",0.262,0.272,0.416
"P48","Mala",0.162,0.108,0.169
"P48","Muy mala",0.34,0.088,0.186
"P48","No sabe",0.061,0.056,0.128
"P49","Muy buena",0.042,0.153,0.007
"P49","Buena",0.087,0.168,0.059
"P49","Ni buena ni mala",0.207,0.358,0.353
"P49","Mala",0.147,0.118,0.111
"P49","Muy mala",0.476,0.14,0.327
"P49","No sabe",0.041,0.063,0.143
"P50","Muy buena",0.055,0.078,0.021
"P50","Buena",0.124,0.144,0.218
"P50","Ni buena ni mala",0.331,0.369,0.379
"P50","Mala",0.182,0.244,0.126
"P50","Muy mala",0.272,0.141,0.149
"P50","No sabe",0.036,0.024,0.107
"P52","Muy buena",0.476,0.059,0.234
"P52","Buena",0.175,0.084,0.179
"P52","Ni buena ni mala",0.194,0.158,0.383
"P52","Mala",0.03,0.233,0.079
"P52","Muy mala",0.104,0.443,0.077
"P52","No sabe",0.021,0.023,0.048
"P53","Muy buena",0.173,0.056,0.147
"P53","Buena",0.247,0.127,0.202
"P53","Ni buena ni mala",0.41,0.355,0.38
"P53","Mala",0.037,0.221,0.075
"P53","Muy mala",0.077,0.2,0.053
"P53","No sabe",0.056,0.041,0.143
"P54","Radio",0.139,0.132,0.142
"P54","Televisión",0.391,0.377,0.529
"P54","Diario",0.108,0.061,0.051
"P54","Medio digital",0.187,0.22,0.13
"P54","Redes Sociales",0.128,0.153,0.096
"P54","Ninguno en particular",0.046,0.053,0.052
"P54","No sabe",0.001,0.004,0
"P55","Muy buena",0.061,0.067,0.052
"P55","Buena",0.077,0.16,0.077
"P55","Ni buena ni mala",0.24,0.48,0.281
"P55","Mala",0.283,0.216,0.314
"P55","Muy mala",0.333,0.067,0.203
"P55","No sabe",0.006,0.01,0.073
"P56","Muy buena",0.064,0.018,0.06
"P56","Buena",0.089,0.065,0.059
"P56","Ni buena ni mala",0.207,0.246,0.338
"P56","Mala",0.283,0.355,0.311
"P56","Muy mala",0.344,0.306,0.205
"P56","No sabe",0.013,0.01,0.027
