"var","categoria","Sergio Massa","Javier Milei"
"P10","Siempre",0.208,0.203
"P10","Casi siempre",0.267,0.295
"P10","Casi nunca",0.347,0.33
"P10","Nunca, pero esta es una excepción",0.178,0.172
"P11","Unión por la Patria",0.707,0.043
"P11","La Libertad Avanza",0.147,0.831
"P11","En blanco",0.079,0.07
"P11","No sabe",0.067,0.056
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.734,0.056
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.165,0.883
"P13","En blanco",0.054,0.033
"P13","No sabe",0.047,0.028
"P15","Totalmente seguro",0.747,0.773
"P15","Bastante seguro",0.122,0.117
"P15","Algo seguro",0.066,0.057
"P15","Para nada seguro",0.065,0.053
"P16","Tiene Decidido que va a ir a votar",0.918,0.942
"P16","Tiene dudas sobre si va a ir a  votar",0.047,0.041
"P16","Tiene Decidido que no va a ir a votar",0.035,0.017
"P17","Lo votaría",0.789,0.08
"P17","Puede que lo vote",0.067,0.039
"P17","Nunca lo votaría",0.118,0.866
"P17","No sabe",0.026,0.015
"P18","Lo votaría",0.157,0.754
"P18","Puede que lo vote",0.084,0.102
"P18","Nunca lo votaría",0.73,0.125
"P18","No sabe",0.029,0.019
"P19","Si",0.883,0.881
"P19","No",0.117,0.119
"P20","Sergio Massa",0.923,0.246
"P20","Javier Milei",0.077,0.754
"P21","Sergio Massa",0.93,0.079
"P21","Javier Milei",0.07,0.921
"P22","Sergio Massa",0.901,0.108
"P22","Javier Milei",0.099,0.892
"P24","Si",0.769,0.078
"P24","No",0.231,0.922
"P25","Si",0.319,0.879
"P25","No",0.681,0.121
"P28","Inflación",0.413,0.314
"P28","Desempleo",0.097,0.035
"P28","Corrupción",0.135,0.479
"P28","Inseguridad",0.099,0.086
"P28","Precio del dólar",0.017,0.009
"P28","Pobreza",0.126,0.034
"P28","Narcotráfico",0.006,0.009
"P28","Tarifas",0.011,0.002
"P28","Otro",0.079,0.026
"P28","No sabe",0.017,0.006
"P32","Sin deuda",0.481,0.4
"P32","Menos de 10%",0.168,0.16
"P32","Entre 10 y 20%",0.111,0.15
"P32","Entre 20 y 30%",0.074,0.081
"P32","Entre 30 y 40%",0.049,0.053
"P32","Mas del 40%",0.084,0.114
"P32","No sabe",0.033,0.042
"P33","Gran excedente habitual",0.022,0.009
"P33","Gran excedente excepcional",0.005,0.008
"P33","Pequeño excedente habitual",0.106,0.053
"P33","Pequeño excedente excepcional",0.095,0.053
"P33","Alcanza gastos familia",0.191,0.139
"P33","No alcanza gastos familia",0.093,0.111
"P33","Solo NBFamiliares",0.216,0.298
"P33","No alcanza NBFamiliares",0.255,0.314
"P33","No sabe",0.017,0.015
