"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.244,0.183,0.192,0.198
"P10","Casi siempre",0.321,0.324,0.284,0.28
"P10","Casi nunca",0.329,0.314,0.346,0.364
"P10","Nunca, pero esta es una excepción",0.106,0.179,0.178,0.158
"P11","Unión por la Patria",0.732,0.791,0.182,0.481
"P11","La Libertad Avanza",0.157,0.107,0.686,0.355
"P11","En blanco",0.082,0.063,0.072,0.084
"P11","No sabe",0.029,0.039,0.06,0.08
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.717,0.818,0.196,0.488
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.225,0.132,0.727,0.403
"P13","En blanco",0.018,0.027,0.043,0.058
"P13","No sabe",0.04,0.023,0.034,0.051
"P15","Totalmente seguro",0.841,0.815,0.754,0.765
"P15","Bastante seguro",0.095,0.105,0.116,0.106
"P15","Algo seguro",0.028,0.046,0.066,0.064
"P15","Para nada seguro",0.036,0.034,0.064,0.065
"P16","Tiene Decidido que va a ir a votar",0.932,0.944,0.942,0.83
"P16","Tiene dudas sobre si va a ir a  votar",0.011,0.024,0.04,0.113
"P16","Tiene Decidido que no va a ir a votar",0.057,0.032,0.018,0.057
"P17","Lo votaría",0.816,0.87,0.216,0.512
"P17","Puede que lo vote",0.039,0.055,0.045,0.105
"P17","Nunca lo votaría",0.145,0.051,0.713,0.345
"P17","No sabe",0,0.024,0.026,0.038
"P18","Lo votaría",0.199,0.165,0.611,0.34
"P18","Puede que lo vote",0.096,0.054,0.108,0.064
"P18","Nunca lo votaría",0.705,0.754,0.254,0.575
"P18","No sabe",0,0.027,0.027,0.021
"P19","Si",0.917,0.869,0.898,0.81
"P19","No",0.083,0.131,0.102,0.19
"P20","Sergio Massa",0.86,0.931,0.405,0.758
"P20","Javier Milei",0.14,0.069,0.595,0.242
"P21","Sergio Massa",0.815,0.923,0.283,0.688
"P21","Javier Milei",0.185,0.077,0.717,0.312
"P22","Sergio Massa",0.868,0.905,0.294,0.637
"P22","Javier Milei",0.132,0.095,0.706,0.363
"P23","Sergio Massa",0.826,0.903,0.271,0.613
"P23","Javier Milei",0.174,0.097,0.729,0.387
"P24","Si",0.713,0.798,0.229,0.539
"P24","No",0.287,0.202,0.771,0.461
"P25","Si",0.251,0.208,0.804,0.445
"P25","No",0.749,0.792,0.196,0.555
"P28","Inflación",0.379,0.413,0.347,0.42
"P28","Desempleo",0.07,0.089,0.048,0.088
"P28","Corrupción",0.097,0.108,0.414,0.186
"P28","Inseguridad",0.086,0.106,0.085,0.115
"P28","Precio del dólar",0.035,0.015,0.004,0.032
"P28","Pobreza",0.153,0.131,0.054,0.041
"P28","Narcotráfico",0.022,0.009,0.007,0
"P28","Tarifas",0.005,0.009,0.005,0.031
"P28","Otro",0.13,0.103,0.031,0.052
"P28","No sabe",0.023,0.017,0.005,0.035
"P32","Sin deuda",0.453,0.505,0.408,0.471
"P32","Menos de 10%",0.135,0.18,0.161,0.118
"P32","Entre 10 y 20%",0.103,0.097,0.149,0.092
"P32","Entre 20 y 30%",0.063,0.103,0.074,0.062
"P32","Entre 30 y 40%",0.079,0.024,0.053,0.054
"P32","Mas del 40%",0.142,0.052,0.112,0.127
"P32","No sabe",0.025,0.039,0.043,0.076
"P33","Gran excedente habitual",0.038,0.033,0.009,0.016
"P33","Gran excedente excepcional",0.005,0.004,0.006,0.028
"P33","Pequeño excedente habitual",0.124,0.139,0.062,0.066
"P33","Pequeño excedente excepcional",0.088,0.091,0.065,0.074
"P33","Alcanza gastos familia",0.15,0.24,0.141,0.187
"P33","No alcanza gastos familia",0.09,0.09,0.107,0.053
"P33","Solo NBFamiliares",0.198,0.202,0.292,0.215
"P33","No alcanza NBFamiliares",0.273,0.191,0.303,0.335
"P33","No sabe",0.034,0.01,0.015,0.026
"P34","Muy buena",0.138,0.073,0.063,0.043
"P34","Buena",0.32,0.384,0.178,0.171
"P34","Ni buena ni mala",0.365,0.432,0.454,0.424
"P34","Mala",0.084,0.071,0.239,0.192
"P34","Muy mala",0.074,0.021,0.051,0.086
"P34","No sabe",0.019,0.019,0.015,0.084
"P35","Mejor",0.383,0.132,0.066,0.204
"P35","Igual",0.388,0.648,0.131,0.293
"P35","Peor",0.175,0.189,0.779,0.404
"P35","No sabe",0.054,0.031,0.024,0.099
"P36","Mejor",0.431,0.31,0.118,0.125
"P36","Igual",0.266,0.411,0.205,0.214
"P36","Peor",0.078,0.097,0.504,0.307
"P36","No sabe",0.225,0.182,0.173,0.354
"P37","Muy buena",0.137,0.023,0.069,0.06
"P37","Buena",0.165,0.183,0.035,0.064
"P37","Ni buena ni mala",0.383,0.346,0.066,0.137
