"var","categoria","Sergio Massa","Javier Milei"
"P10","Siempre",0.207,0.201
"P10","Casi siempre",0.279,0.286
"P10","Casi nunca",0.34,0.333
"P10","Nunca, pero esta es una excepción",0.174,0.18
"P11","Unión por la Patria",0.678,0.048
"P11","La Libertad Avanza",0.157,0.833
"P11","En blanco",0.089,0.064
"P11","No sabe",0.076,0.055
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.712,0.053
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.167,0.888
"P13","En blanco",0.068,0.03
"P13","No sabe",0.053,0.029
"P15","Totalmente seguro",0.744,0.769
"P15","Bastante seguro",0.125,0.114
"P15","Algo seguro",0.065,0.064
"P15","Para nada seguro",0.066,0.053
"P16","Tiene Decidido que va a ir a votar",0.92,0.933
"P16","Tiene dudas sobre si va a ir a  votar",0.049,0.041
"P16","Tiene Decidido que no va a ir a votar",0.031,0.026
"P17","Lo votaría",0.766,0.077
"P17","Puede que lo vote",0.072,0.041
"P17","Nunca lo votaría",0.132,0.867
"P17","No sabe",0.03,0.015
"P18","Lo votaría",0.156,0.756
"P18","Puede que lo vote",0.095,0.099
"P18","Nunca lo votaría",0.71,0.129
"P18","No sabe",0.039,0.016
"P19","Si",0.871,0.88
"P19","No",0.129,0.12
"P20","Sergio Massa",0.929,0.225
"P20","Javier Milei",0.071,0.775
"P22","Sergio Massa",0.895,0.099
"P22","Javier Milei",0.105,0.901
"P23","Sergio Massa",0.908,0.06
"P23","Javier Milei",0.092,0.94
"P24","Si",0.752,0.078
"P24","No",0.248,0.922
"P25","Si",0.335,0.877
"P25","No",0.665,0.123
"P28","Inflación",0.418,0.307
"P28","Desempleo",0.093,0.037
"P28","Corrupción",0.134,0.487
"P28","Inseguridad",0.1,0.086
"P28","Precio del dólar",0.016,0.009
"P28","Pobreza",0.128,0.031
"P28","Narcotráfico",0.006,0.01
"P28","Tarifas",0.011,0.002
"P28","Otro",0.077,0.026
"P28","No sabe",0.017,0.005
"P32","Sin deuda",0.478,0.401
"P32","Menos de 10%",0.167,0.161
"P32","Entre 10 y 20%",0.112,0.15
"P32","Entre 20 y 30%",0.081,0.075
"P32","Entre 30 y 40%",0.05,0.052
"P32","Mas del 40%",0.083,0.116
"P32","No sabe",0.029,0.045
"P33","Gran excedente habitual",0.022,0.009
"P33","Gran excedente excepcional",0.005,0.008
"P33","Pequeño excedente habitual",0.101,0.056
"P33","Pequeño excedente excepcional",0.093,0.053
"P33","Alcanza gastos familia",0.197,0.132
"P33","No alcanza gastos familia",0.097,0.108
"P33","Solo NBFamiliares",0.219,0.298
"P33","No alcanza NBFamiliares",0.25,0.32
"P33","No sabe",0.016,0.016
"P34","Muy buena",0.091,0.059
"P34","Buena",0.293,0.164
"P34","Ni buena ni mala",0.441,0.448
"P34","Mala",0.133,0.24
"P34","Muy mala",0.023,0.071
"P34","No sabe",0.019,0.018
"P35","Mejor",0.167,0.075
"P35","Igual",0.431,0.088
"P35","Peor",0.367,0.808
"P35","No sabe",0.035,0.029
"P36","Mejor",0.254,0.122
"P36","Igual",0.31,0.192
"P36","Peor",0.25,0.492
"P36","No sabe",0.186,0.194
"P37","Muy buena",0.073,0.066
"P37","Buena",0.118,0.035
"P37","Ni buena ni mala",0.259,0.057
"P37","Mala",0.392,0.294
"P37","Muy mala",0.145,0.538
"P37","No sabe",0.013,0.01
"P38","Mejor",0.181,0.035
"P38","Igual",0.321,0.023
"P38","Peor",0.425,0.914
"P38","No sabe",0.073,0.028
"P39","Mejor",0.323,0.111
"P39","Igual",0.214,0.143
"P39","Peor",0.277,0.606
"P39","No sabe",0.186,0.14
"P40","Muy buena",0.103,0.046
"P40","Buena",0.147,0.014
"P40","Ni buena ni mala",0.305,0.035
"P40","Mala",0.292,0.234
"P40","Muy mala",0.144,0.665
"P40","No sabe",0.009,0.006
"P42","Muy buena",0.076,0.021
"P42","Buena",0.195,0.017
"P42","Ni buena ni mala",0.334,0.031
"P42","Mala",0.243,0.23
"P42","Muy mala",0.131,0.695
"P42","No sabe",0.021,0.006
"P43","Muy buena",0.176,0.021
"P43","Buena",0.346,0.014
"P43","Ni buena ni mala",0.248,0.069
"P43","Mala",0.143,0.283
"P43","Muy mala",0.081,0.605
"P43","No sabe",0.006,0.008
"P44","Muy buena",0.09,0.023
"P44","Buena",0.212,0.005
"P44","Ni buena ni mala",0.324,0.029
"P44","Mala",0.235,0.216
"P44","Muy mala",0.123,0.723
"P44","No sabe",0.016,0.004
"P45","Muy buena",0.087,0.024
"P45","Buena",0.111,0.015
"P45","Ni buena ni mala",0.283,0.032
"P45","Mala",0.328,0.206
"P45","Muy mala",0.188,0.721
"P45","No sabe",0.003,0.002
"P46","Muy buena",0.401,0.027
"P46","Buena",0.156,0.017
"P46","Ni buena ni mala",0.152,0.038
"P46","Mala",0.124,0.162
"P46","Muy mala",0.164,0.749
"P46","No sabe",0.003,0.007
"P47","Muy buena",0.057,0.316
"P47","Buena",0.069,0.271
"P47","Ni buena ni mala",0.135,0.212
"P47","Mala",0.29,0.098
"P47","Muy mala",0.442,0.102
"P47","No sabe",0.007,0.001
"P48","Muy buena",0.114,0.111
"P48","Buena",0.144,0.196
"P48","Ni buena ni mala",0.247,0.267
"P48","Mala",0.304,0.191
"P48","Muy mala",0.184,0.23
"P48","No sabe",0.007,0.005
"P49","Muy buena",0.286,0.022
"P49","Buena",0.267,0.017
"P49","Ni buena ni mala",0.221,0.047
"P49","Mala",0.122,0.212
"P49","Muy mala",0.098,0.696
"P49","No sabe",0.006,0.006
"P50","Muy buena",0.075,0.178
"P50","Buena",0.07,0.239
"P50","Ni buena ni mala",0.159,0.309
"P50","Mala",0.354,0.124
"P50","Muy mala",0.329,0.138
"P50","No sabe",0.013,0.012
"P51","Muy buena",0.438,0.025
"P51","Buena",0.166,0.013
"P51","Ni buena ni mala",0.142,0.066
"P51","Mala",0.113,0.185
"P51","Muy mala",0.126,0.699
"P51","No sabe",0.015,0.012
"P53","Muy buena",0.074,0.326
"P53","Buena",0.061,0.28
"P53","Ni buena ni mala",0.151,0.246
"P53","Mala",0.217,0.052
"P53","Muy mala",0.488,0.089
"P53","No sabe",0.009,0.007
"P54","Muy buena",0.077,0.381
"P54","Buena",0.074,0.344
"P54","Ni buena ni mala",0.121,0.179
"P54","Mala",0.258,0.051
"P54","Muy mala",0.461,0.042
"P54","No sabe",0.009,0.003
"P55","Muy buena",0.285,0.056
"P55","Buena",0.185,0.052
"P55","Ni buena ni mala",0.277,0.17
"P55","Mala",0.12,0.18
"P55","Muy mala",0.105,0.479
"P55","No sabe",0.028,0.063
"P56","Muy buena",0.116,0.013
"P56","Buena",0.201,0.028
"P56","Ni buena ni mala",0.39,0.123
"P56","Mala",0.147,0.177
"P56","Muy mala",0.107,0.602
"P56","No sabe",0.039,0.057
"P57","Muy buena",0.069,0.054
"P57","Buena",0.15,0.118
"P57","Ni buena ni mala",0.377,0.248
"P57","Mala",0.277,0.212
"P57","Muy mala",0.107,0.336
"P57","No sabe",0.02,0.032
"P58","Muy buena",0.364,0.027
"P58","Buena",0.242,0.077
"P58","Ni buena ni mala",0.206,0.282
"P58","Mala",0.094,0.202
"P58","Muy mala",0.063,0.384
"P58","No sabe",0.031,0.028
"P59","Radio",0.24,0.17
"P59","Televisión",0.31,0.369
"P59","Diario",0.057,0.061
"P59","Medio digital",0.214,0.157
"P59","Redes Sociales",0.122,0.152
"P59","Ninguno en particular",0.057,0.088
"P59","No sabe",0,0.003
"P60","Muy buena",0.136,0.023
"P60","Buena",0.246,0.075
"P60","Ni buena ni mala",0.3,0.184
"P60","Mala",0.237,0.349
"P60","Muy mala",0.069,0.346
"P60","No sabe",0.012,0.023
"P61","Muy buena",0.04,0.027
"P61","Buena",0.116,0.115
"P61","Ni buena ni mala",0.242,0.271
"P61","Mala",0.311,0.261
"P61","Muy mala",0.283,0.313
"P61","No sabe",0.008,0.013
