"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Siempre",0.2,0.211,0.344
"P10","Casi siempre",0.285,0.26,0.164
"P10","Casi nunca",0.338,0.372,0.245
"P10","Nunca, pero esta es una excepción",0.177,0.157,0.247
"P11","Unión por la Patria",0.353,0.179,0.173
"P11","La Libertad Avanza",0.515,0.347,0.284
"P11","En blanco",0.069,0.245,0.351
"P11","No sabe",0.063,0.229,0.192
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.373,0.196,0.192
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.548,0.421,0.246
"P13","En blanco",0.043,0.172,0.377
"P13","No sabe",0.036,0.211,0.185
"P15","Totalmente seguro",0.775,0.294,0.334
"P15","Bastante seguro",0.113,0.24,0.131
"P15","Algo seguro",0.059,0.196,0.309
"P15","Para nada seguro",0.053,0.27,0.226
"P17","Lo votaría",0.417,0.152,0.163
"P17","Puede que lo vote",0.044,0.263,0.138
"P17","Nunca lo votaría",0.516,0.379,0.64
"P17","No sabe",0.023,0.206,0.059
"P18","Lo votaría",0.485,0.214,0.113
"P18","Puede que lo vote",0.091,0.317,0.226
"P18","Nunca lo votaría",0.398,0.289,0.616
"P18","No sabe",0.026,0.18,0.045
"P19","Si",0.88,0.62,0.58
"P19","No",0.12,0.38,0.42
"P20","Sergio Massa",0.555,0.536,0.665
"P20","Javier Milei",0.445,0.464,0.335
"P21","Sergio Massa",0.463,0.508,0.514
"P21","Javier Milei",0.537,0.492,0.486
"P22","Sergio Massa",0.463,0.495,0.644
"P22","Javier Milei",0.537,0.505,0.356
"P23","Sergio Massa",0.449,0.49,0.631
"P23","Javier Milei",0.551,0.51,0.369
"P24","Si",0.386,0.374,0.594
"P24","No",0.614,0.626,0.406
"P25","Si",0.625,0.664,0.571
"P25","No",0.375,0.336,0.429
"P28","Inflación",0.369,0.243,0.112
"P28","Desempleo",0.057,0.144,0.126
"P28","Corrupción",0.322,0.346,0.327
