"var","categoria","Si","No","No sabe"
"P04","Gran excedente habitual",0.166,0.176,0.187
"P04","Gran excedente excepcional",0.164,0.208,0.216
"P04","Pequeño excedente habitual",0.128,0.131,0.122
"P04","Pequeño excedente excepcional",0.191,0.141,0.19
"P04","Alcanza gastos familia",0.112,0.081,0.057
"P04","No alcanza gastos familia",0.083,0.124,0.053
"P04","Solo NBFamiliares",0.052,0.044,0.065
"P04","No alcanza NBFamiliares",0.049,0.062,0.064
"P04","No sabe",0.055,0.033,0.046
"P06","Menos de 5 años ",0.229,0.212,0.14
"P06","Entre 6 y 10 años",0.178,0.244,0.276
"P06","Entre 11 y 20 años",0.223,0.286,0.221
"P06","Mas de 20 años",0.37,0.258,0.363
"P07","Medico clínico",0.489,0.445,0.355
"P07","Pediatra",0.168,0.133,0.265
"P07","Cardiólogo",0.157,0.201,0.126
"P07","Neumólogos",0.142,0.178,0.202
"P07","Otra especialidad",0.044,0.043,0.052
"P08","En una institución pública",0.378,0.409,0.312
"P08","En una institución privada",0.252,0.258,0.258
"P08","Ambas",0.213,0.225,0.261
"P08","Solo consultorio",0.1,0.058,0.103
"P08","Institución publica o privada y consultorio",0.057,0.05,0.066
"P09","Si",0.881,0.687,0.742
"P09","No",0.119,0.313,0.258
"P10","1 dosis",0.111,0.153,0.19
"P10","2 dosis.",0.065,0.152,0.143
"P10","3 dosis o más",0.824,0.695,0.667
"P11","Si",0.582,0.399,0.449
"P11","No",0.418,0.601,0.551
"P12","Para protegerse de la enfermedad",0.529,0.456,0.301
"P12","Porque soy personal de riesgo",0.4,0.387,0.398
"P12","Porque colegas se vacunaron",0.01,0.042,0.085
"P12","Me lo recomendó la institución donde trabajo",0.051,0.075,0.087
"P12","No sabe",0.01,0.04,0.129
"P13","Si",0.362,0.358,0.349
"P13","No",0.638,0.642,0.651
"P14","Si",0.619,0.606,0.744
"P14","No",0.381,0.394,0.256
"P15","Si, a todos sus pacientes",0.549,0.362,0.34
"P15","Depende el caso del paciente",0.393,0.383,0.407
"P15","No la recomiendo",0.058,0.255,0.253
"P16","Dos dosis",0.155,0.119,0.287
"P16","Tres dosis",0.119,0.102,0.198
"P16","Cuatros o mas dosis",0.726,0.779,0.515
"P17","Porque ya no hay casos de COVID",0.09,0.068,0.015
"P17","Porque ha disminuido de forma significativa el contagio",0.337,0.2,0.245
"P17","Por los efectos secundarios",0.279,0.56,0.561
"P17","No sabe",0.294,0.172,0.179
"P18","Si",0.443,0.327,0.392
"P18","No",0.458,0.506,0.276
"P18","No sabe",0.099,0.167,0.332
"P19","Si",0.579,0.354,0.18
"P19","No",0.365,0.614,0.508
"P19","No sabe",0.056,0.032,0.312
"P21","Si",0.597,0.308,0.196
"P21","No",0.315,0.637,0.367
"P21","No sabe",0.088,0.055,0.437
"P22","Sinopharm",0.143,0.074,0.037
"P22","Sputnik",0.34,0.388,0.148
"P22","Aztra-Zeneca",0.096,0.082,0.118
"P22","Moderna",0.1,0.077,0.037
"P22","Pfizer",0.235,0.149,0.212
"P22","No sabe",0.086,0.23,0.448
"P23","Si",0.739,0.447,0.405
"P23","No",0.19,0.495,0.39
"P23","A veces",0.071,0.058,0.205
"P24","Si",0.74,0.463,0.334
"P24","No",0.203,0.501,0.436
"P24","No sabe",0.057,0.036,0.23
"P25","Si",0.73,0.468,0.366
"P25","No",0.198,0.472,0.446
"P25","No sabe",0.072,0.06,0.188
"P26","Si",0.559,0.476,0.239
"P26","No",0.402,0.505,0.594
"P26","No sabe",0.039,0.019,0.167
"P27","Si",0.589,0.518,0.436
"P27","No",0.37,0.444,0.433
"P27","No sabe",0.041,0.038,0.131
"P28","Si",0.496,0.336,0.274
"P28","No",0.393,0.547,0.278
"P28","No sabe",0.111,0.117,0.448
"P29","Si",0.763,0.628,0.465
"P29","No",0.199,0.34,0.389
"P29","No sabe",0.038,0.032,0.146
"P30","No tengo información suficiente",0.344,0.234,0.374
"P30","No tengo tiempo en la consulta",0.205,0.403,0.163
"P30","No es un tema importante en la consulta médica",0.2,0.192,0.27
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.033,0.095,0.137
"P30","No sabe",0.218,0.076,0.056
"P31","Nunca",0.218,0.252,0.313
"P31","Pocas veces",0.487,0.442,0.416
"P31","Muchas veces",0.243,0.247,0.21
"P31","Siempre",0.027,0.046,0.043
"P31","No sabe",0.025,0.013,0.018
"P32","adultos mayores sanos",0.53,0.342,0.262
"P32","Adultos jóvenes sanos",0.209,0.304,0.252
"P32","Madres de niños pequeños",0.163,0.17,0.247
"P32","No sabe",0.098,0.184,0.239
