"var","categoria","Si, a todos sus pacientes","Depende el caso del paciente","No la recomiendo"
"P04","Gran excedente habitual",0.179,0.165,0.241
"P04","Gran excedente excepcional",0.179,0.182,0.171
"P04","Pequeño excedente habitual",0.127,0.104,0.161
"P04","Pequeño excedente excepcional",0.187,0.18,0.126
"P04","Alcanza gastos familia",0.101,0.109,0.05
"P04","No alcanza gastos familia",0.085,0.108,0.1
"P04","Solo NBFamiliares",0.045,0.052,0.041
"P04","No alcanza NBFamiliares",0.048,0.057,0.064
"P04","No sabe",0.049,0.043,0.046
"P06","Menos de 5 años ",0.186,0.264,0.221
"P06","Entre 6 y 10 años",0.213,0.2,0.274
"P06","Entre 11 y 20 años",0.24,0.235,0.243
"P06","Mas de 20 años",0.361,0.301,0.262
"P07","Medico clínico",0.501,0.439,0.432
"P07","Pediatra",0.184,0.176,0.124
"P07","Cardiólogo",0.125,0.188,0.186
"P07","Neumólogos",0.142,0.164,0.196
"P07","Otra especialidad",0.048,0.033,0.062
"P08","En una institución pública",0.443,0.314,0.347
"P08","En una institución privada",0.243,0.29,0.294
"P08","Ambas",0.184,0.264,0.201
"P08","Solo consultorio",0.076,0.093,0.078
"P08","Institución publica o privada y consultorio",0.054,0.039,0.08
"P09","Si",0.902,0.79,0.465
"P09","No",0.098,0.21,0.535
"P10","1 dosis",0.098,0.155,0.219
"P10","2 dosis.",0.05,0.101,0.298
"P10","3 dosis o más",0.852,0.744,0.483
"P11","Si",0.664,0.44,0.22
"P11","No",0.336,0.56,0.78
"P12","Para protegerse de la enfermedad",0.598,0.432,0.221
"P12","Porque soy personal de riesgo",0.338,0.457,0.35
"P12","Porque colegas se vacunaron",0.023,0.018,0.095
"P12","Me lo recomendó la institución donde trabajo",0.029,0.059,0.21
"P12","No sabe",0.012,0.034,0.124
"P13","Si",0.351,0.343,0.473
"P13","No",0.649,0.657,0.527
"P14","Si",0.669,0.548,0.655
"P14","No",0.331,0.452,0.345
"P18","Si",0.436,0.377,0.355
"P18","No",0.49,0.456,0.363
"P18","No sabe",0.074,0.167,0.282
"P19","Si",0.693,0.357,0.101
"P19","No",0.257,0.544,0.859
"P19","No sabe",0.05,0.099,0.04
"P20","Si",0.729,0.641,0.285
"P20","No",0.228,0.296,0.597
"P20","No sabe",0.043,0.063,0.118
"P21","Si",0.638,0.415,0.123
"P21","No",0.275,0.464,0.8
"P21","No sabe",0.087,0.121,0.077
"P22","Sinopharm",0.134,0.109,0.073
"P22","Sputnik",0.375,0.354,0.186
"P22","Aztra-Zeneca",0.086,0.111,0.062
"P22","Moderna",0.095,0.093,0.054
"P22","Pfizer",0.221,0.211,0.147
"P22","No sabe",0.089,0.122,0.478
"P23","Si",0.84,0.518,0.161
"P23","No",0.122,0.353,0.791
"P23","A veces",0.038,0.129,0.048
"P24","Si",0.801,0.588,0.099
"P24","No",0.154,0.328,0.854
"P24","No sabe",0.045,0.084,0.047
"P25","Si",0.773,0.592,0.17
"P25","No",0.168,0.305,0.784
"P25","No sabe",0.059,0.103,0.046
"P26","Si",0.622,0.451,0.295
"P26","No",0.343,0.505,0.656
"P26","No sabe",0.035,0.044,0.049
"P27","Si",0.661,0.469,0.443
"P27","No",0.306,0.468,0.521
"P27","No sabe",0.033,0.063,0.036
"P28","Si",0.492,0.418,0.272
"P28","No",0.426,0.432,0.454
"P28","No sabe",0.082,0.15,0.274
"P29","Si",0.833,0.636,0.42
"P29","No",0.142,0.303,0.529
"P29","No sabe",0.025,0.061,0.051
"P30","No tengo información suficiente",0.442,0.277,0.205
"P30","No tengo tiempo en la consulta",0.228,0.342,0.214
"P30","No es un tema importante en la consulta médica",0.125,0.189,0.313
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.019,0.037,0.178
"P30","No sabe",0.186,0.155,0.09
"P31","Nunca",0.189,0.24,0.39
"P31","Pocas veces",0.466,0.525,0.307
"P31","Muchas veces",0.29,0.191,0.216
"P31","Siempre",0.036,0.014,0.087
"P31","No sabe",0.019,0.03,0
"P32","adultos mayores sanos",0.514,0.463,0.234
"P32","Adultos jóvenes sanos",0.249,0.226,0.238
"P32","Madres de niños pequeños",0.155,0.179,0.198
"P32","No sabe",0.082,0.132,0.33
