"var","categoria","Sinopharm","Sputnik","Aztra-Zeneca","Moderna","Pfizer","No sabe"
"P04","Gran excedente habitual",0.257,0.131,0.313,0.117,0.132,0.182
"P04","Gran excedente excepcional",0.143,0.143,0.235,0.232,0.189,0.178
"P04","Pequeño excedente habitual",0.141,0.126,0.1,0.145,0.155,0.138
"P04","Pequeño excedente excepcional",0.104,0.229,0.155,0.134,0.174,0.147
"P04","Alcanza gastos familia",0.065,0.104,0.081,0.104,0.127,0.095
"P04","No alcanza gastos familia",0.067,0.096,0.04,0.077,0.112,0.103
"P04","Solo NBFamiliares",0.07,0.058,0.01,0.134,0.027,0.052
"P04","No alcanza NBFamiliares",0.106,0.056,0.04,0.026,0.045,0.043
"P04","No sabe",0.047,0.057,0.026,0.031,0.039,0.062
"P06","Menos de 5 años ",0.435,0.246,0.263,0.145,0.121,0.198
"P06","Entre 6 y 10 años",0.216,0.251,0.112,0.155,0.153,0.2
"P06","Entre 11 y 20 años",0.162,0.245,0.255,0.269,0.235,0.253
"P06","Mas de 20 años",0.187,0.258,0.37,0.431,0.491,0.349
"P07","Medico clínico",0.552,0.416,0.444,0.509,0.481,0.479
"P07","Pediatra",0.179,0.181,0.177,0.128,0.13,0.176
"P07","Cardiólogo",0.108,0.202,0.193,0.098,0.203,0.136
"P07","Neumólogos",0.126,0.148,0.148,0.2,0.167,0.176
"P07","Otra especialidad",0.035,0.053,0.038,0.065,0.019,0.033
"P08","En una institución pública",0.48,0.442,0.413,0.321,0.259,0.347
"P08","En una institución privada",0.299,0.2,0.248,0.225,0.302,0.27
"P08","Ambas",0.127,0.232,0.205,0.229,0.258,0.234
"P08","Solo consultorio",0.076,0.067,0.114,0.126,0.128,0.079
"P08","Institución publica o privada y consultorio",0.018,0.059,0.02,0.099,0.053,0.07
"P09","Si",0.745,0.841,0.859,0.835,0.925,0.596
"P09","No",0.255,0.159,0.141,0.165,0.075,0.404
"P10","1 dosis",0.222,0.164,0.078,0.125,0.061,0.165
"P10","2 dosis.",0.106,0.086,0.111,0.027,0.098,0.034
"P10","3 dosis o más",0.672,0.75,0.811,0.848,0.841,0.801
"P11","Si",0.679,0.546,0.478,0.612,0.507,0.333
"P11","No",0.321,0.454,0.522,0.388,0.493,0.667
"P12","Para protegerse de la enfermedad",0.712,0.497,0.531,0.434,0.469,0.409
"P12","Porque soy personal de riesgo",0.19,0.43,0.384,0.493,0.416,0.423
"P12","Porque colegas se vacunaron",0.035,0.026,0.018,0.004,0.016,0.017
"P12","Me lo recomendó la institución donde trabajo",0.044,0.033,0.045,0.058,0.079,0.075
"P12","No sabe",0.019,0.014,0.022,0.011,0.02,0.076
"P13","Si",0.511,0.358,0.328,0.334,0.296,0.338
"P13","No",0.489,0.642,0.672,0.666,0.704,0.662
"P14","Si",0.765,0.636,0.568,0.486,0.493,0.624
"P14","No",0.235,0.364,0.432,0.514,0.507,0.376
"P15","Si, a todos sus pacientes",0.559,0.533,0.455,0.52,0.518,0.29
"P15","Depende el caso del paciente",0.364,0.401,0.463,0.405,0.395,0.317
"P15","No la recomiendo",0.077,0.066,0.082,0.075,0.087,0.393
"P16","Dos dosis",0.385,0.153,0.063,0.066,0.121,0.145
