"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P06","Menos de 5 años ",0.251,0.204,0.225,0.211,0.173,0.197,0.287,0.226,0.216
"P06","Entre 6 y 10 años",0.263,0.214,0.192,0.191,0.178,0.214,0.171,0.221,0.265
"P06","Entre 11 y 20 años",0.217,0.272,0.241,0.23,0.258,0.25,0.239,0.231,0.295
"P06","Mas de 20 años",0.269,0.31,0.342,0.368,0.391,0.339,0.303,0.322,0.224
"P07","Medico clínico",0.457,0.502,0.512,0.425,0.446,0.426,0.389,0.468,0.438
"P07","Pediatra",0.218,0.169,0.132,0.201,0.174,0.167,0.167,0.112,0.166
"P07","Cardiólogo",0.142,0.151,0.168,0.168,0.216,0.152,0.204,0.166,0.158
"P07","Neumólogos",0.141,0.13,0.161,0.158,0.117,0.219,0.155,0.17,0.169
"P07","Otra especialidad",0.042,0.048,0.027,0.048,0.047,0.036,0.085,0.084,0.069
"P08","En una institución pública",0.415,0.379,0.376,0.371,0.335,0.352,0.34,0.395,0.375
"P08","En una institución privada",0.274,0.29,0.269,0.268,0.292,0.238,0.216,0.3,0.248
"P08","Ambas",0.169,0.221,0.215,0.223,0.246,0.258,0.306,0.247,0.206
"P08","Solo consultorio",0.104,0.053,0.114,0.082,0.071,0.079,0.109,0.041,0.08
"P08","Institución publica o privada y consultorio",0.038,0.057,0.026,0.056,0.056,0.073,0.029,0.017,0.091
"P09","Si",0.703,0.808,0.803,0.857,0.854,0.832,0.781,0.735,0.804
"P09","No",0.297,0.192,0.197,0.143,0.146,0.168,0.219,0.265,0.196
"P10","1 dosis",0.158,0.134,0.138,0.095,0.082,0.138,0.22,0.085,0.177
"P10","2 dosis.",0.13,0.099,0.084,0.086,0.081,0.054,0.093,0.131,0.074
"P10","3 dosis o más",0.712,0.767,0.778,0.819,0.837,0.808,0.687,0.784,0.749
"P11","Si",0.495,0.528,0.507,0.536,0.564,0.532,0.573,0.43,0.44
"P11","No",0.505,0.472,0.493,0.464,0.436,0.468,0.427,0.57,0.56
"P12","Para protegerse de la enfermedad",0.474,0.53,0.472,0.481,0.527,0.506,0.513,0.512,0.563
"P12","Porque soy personal de riesgo",0.355,0.356,0.399,0.458,0.372,0.378,0.356,0.358,0.348
"P12","Porque colegas se vacunaron",0.03,0.025,0.041,0.011,0.035,0.024,0.021,0.035,0.022
"P12","Me lo recomendó la institución donde trabajo",0.095,0.063,0.034,0.034,0.048,0.066,0.072,0.095,0.019
"P12","No sabe",0.046,0.026,0.054,0.016,0.018,0.026,0.038,0,0.048
"P13","Si",0.441,0.348,0.389,0.383,0.314,0.367,0.31,0.302,0.36
"P13","No",0.559,0.652,0.611,0.617,0.686,0.633,0.69,0.698,0.64
"P14","Si",0.764,0.555,0.652,0.576,0.409,0.544,0.414,0.681,0.78
"P14","No",0.236,0.445,0.348,0.424,0.591,0.456,0.586,0.319,0.22
"P15","Si, a todos sus pacientes",0.456,0.463,0.482,0.493,0.481,0.408,0.444,0.416,0.49
"P15","Depende el caso del paciente",0.37,0.412,0.346,0.413,0.452,0.456,0.442,0.428,0.38
"P15","No la recomiendo",0.174,0.125,0.172,0.094,0.067,0.136,0.114,0.156,0.13
"P16","Dos dosis",0.25,0.175,0.116,0.116,0.163,0.202,0.266,0.083,0.124
"P16","Tres dosis",0.226,0.087,0.07,0.131,0.073,0.109,0.131,0.286,0.084
"P16","Cuatros o mas dosis",0.524,0.738,0.814,0.753,0.764,0.689,0.603,0.631,0.792
"P17","Porque ya no hay casos de COVID",0.12,0.053,0.062,0.109,0.05,0.06,0.052,0.093,0.039
"P17","Porque ha disminuido de forma significativa el contagio",0.2,0.314,0.249,0.321,0.323,0.295,0.181,0.275,0.261
"P17","Por los efectos secundarios",0.493,0.452,0.564,0.349,0.285,0.327,0.156,0.384,0.471
"P17","No sabe",0.187,0.181,0.125,0.221,0.342,0.318,0.611,0.248,0.229
"P18","Si",0.431,0.373,0.44,0.429,0.332,0.382,0.506,0.362,0.319
"P18","No",0.434,0.492,0.409,0.444,0.522,0.464,0.407,0.479,0.541
"P18","No sabe",0.135,0.135,0.151,0.127,0.146,0.154,0.087,0.159,0.14
"P19","Si",0.471,0.472,0.484,0.528,0.427,0.462,0.597,0.408,0.557
"P19","No",0.479,0.467,0.46,0.43,0.443,0.46,0.309,0.493,0.363
"P19","No sabe",0.05,0.061,0.056,0.042,0.13,0.078,0.094,0.099,0.08
"P20","Si",0.62,0.579,0.633,0.693,0.718,0.566,0.657,0.579,0.738
"P20","No",0.314,0.349,0.31,0.242,0.248,0.4,0.265,0.349,0.205
"P20","No sabe",0.066,0.072,0.057,0.065,0.034,0.034,0.078,0.072,0.057
"P21","Si",0.468,0.471,0.442,0.56,0.455,0.484,0.603,0.428,0.462
"P21","No",0.474,0.422,0.473,0.361,0.352,0.394,0.338,0.486,0.399
"P21","No sabe",0.058,0.107,0.085,0.079,0.193,0.122,0.059,0.086,0.139
"P22","Sinopharm",0.177,0.096,0.122,0.069,0.076,0.087,0.151,0.23,0.116
"P22","Sputnik",0.267,0.282,0.321,0.449,0.354,0.366,0.366,0.363,0.408
"P22","Aztra-Zeneca",0.172,0.125,0.069,0.082,0.075,0.041,0.016,0.069,0.051
"P22","Moderna",0.061,0.119,0.096,0.068,0.091,0.076,0.22,0.043,0.058
"P22","Pfizer",0.162,0.225,0.239,0.207,0.262,0.259,0.103,0.176,0.171
"P22","No sabe",0.161,0.153,0.153,0.125,0.142,0.171,0.144,0.119,0.196
"P23","Si",0.611,0.605,0.577,0.684,0.727,0.613,0.654,0.577,0.66
"P23","No",0.347,0.311,0.298,0.238,0.238,0.316,0.273,0.349,0.238
"P23","A veces",0.042,0.084,0.125,0.078,0.035,0.071,0.073,0.074,0.102
"P24","Si",0.578,0.588,0.531,0.712,0.804,0.684,0.634,0.498,0.701
"P24","No",0.392,0.327,0.378,0.225,0.164,0.255,0.287,0.459,0.248
"P24","No sabe",0.03,0.085,0.091,0.063,0.032,0.061,0.079,0.043,0.051
"P25","Si",0.54,0.605,0.606,0.698,0.689,0.664,0.731,0.624,0.604
"P25","No",0.387,0.311,0.331,0.225,0.209,0.238,0.255,0.354,0.3
"P25","No sabe",0.073,0.084,0.063,0.077,0.102,0.098,0.014,0.022,0.096
"P26","Si",0.441,0.497,0.477,0.58,0.542,0.563,0.437,0.611,0.547
"P26","No",0.493,0.478,0.484,0.366,0.432,0.388,0.563,0.363,0.43
"P26","No sabe",0.066,0.025,0.039,0.054,0.026,0.049,0,0.026,0.023
"P27","Si",0.456,0.532,0.534,0.621,0.581,0.636,0.462,0.65,0.65
"P27","No",0.488,0.402,0.42,0.335,0.373,0.33,0.538,0.322,0.331
"P27","No sabe",0.056,0.066,0.046,0.044,0.046,0.034,0,0.028,0.019
"P28","Si",0.509,0.359,0.366,0.503,0.504,0.362,0.465,0.482,0.291
"P28","No",0.396,0.487,0.51,0.369,0.394,0.477,0.458,0.379,0.425
"P28","No sabe",0.095,0.154,0.124,0.128,0.102,0.161,0.077,0.139,0.284
"P29","Si",0.613,0.74,0.721,0.756,0.787,0.641,0.748,0.677,0.629
"P29","No",0.355,0.216,0.254,0.211,0.168,0.307,0.223,0.252,0.256
"P29","No sabe",0.032,0.044,0.025,0.033,0.045,0.052,0.029,0.071,0.115
"P30","No tengo información suficiente",0.349,0.337,0.607,0.141,0.277,0.225,0.225,0.257,0.111
"P30","No tengo tiempo en la consulta",0.232,0.314,0.27,0.351,0.33,0.187,0.446,0.408,0.14
"P30","No es un tema importante en la consulta médica",0.187,0.23,0.058,0.26,0.218,0.255,0.027,0.215,0.334
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.082,0.023,0.043,0.109,0.101,0.1,0,0.028,0
"P30","No sabe",0.15,0.096,0.022,0.139,0.074,0.233,0.302,0.092,0.415
"P31","Nunca",0.327,0.197,0.272,0.201,0.145,0.271,0.191,0.261,0.203
"P31","Pocas veces",0.458,0.458,0.442,0.546,0.517,0.394,0.578,0.392,0.355
"P31","Muchas veces",0.147,0.302,0.241,0.219,0.301,0.256,0.231,0.262,0.278
"P31","Siempre",0.031,0.037,0.037,0.02,0.032,0.035,0,0.067,0.064
"P31","No sabe",0.037,0.006,0.008,0.014,0.005,0.044,0,0.018,0.1
"P32","adultos mayores sanos",0.452,0.468,0.546,0.46,0.402,0.421,0.45,0.464,0.459
"P32","Adultos jóvenes sanos",0.264,0.202,0.221,0.238,0.231,0.209,0.469,0.278,0.141
"P32","Madres de niños pequeños",0.162,0.212,0.115,0.18,0.24,0.165,0.04,0.11,0.2
"P32","No sabe",0.122,0.118,0.118,0.122,0.127,0.205,0.041,0.148,0.2
