"var","categoria","Para protegerse de la enfermedad","Porque soy personal de riesgo","Porque colegas se vacunaron","Me lo recomendó la institución donde trabajo","No sabe"
"P04","Gran excedente habitual",0.15,0.147,0.178,0.261,0.241
"P04","Gran excedente excepcional",0.197,0.173,0.18,0.202,0.162
"P04","Pequeño excedente habitual",0.116,0.129,0.193,0.073,0.222
"P04","Pequeño excedente excepcional",0.176,0.22,0.079,0.109,0.095
"P04","Alcanza gastos familia",0.107,0.099,0.137,0.085,0.059
"P04","No alcanza gastos familia",0.1,0.097,0.088,0.113,0.086
"P04","Solo NBFamiliares",0.048,0.044,0.038,0.059,0.059
"P04","No alcanza NBFamiliares",0.051,0.047,0.067,0.082,0
"P04","No sabe",0.055,0.044,0.04,0.016,0.076
"P06","Menos de 5 años ",0.226,0.2,0.234,0.143,0.29
"P06","Entre 6 y 10 años",0.223,0.193,0.327,0.181,0.31
"P06","Entre 11 y 20 años",0.241,0.229,0.342,0.304,0.213
"P06","Mas de 20 años",0.31,0.378,0.097,0.372,0.187
"P07","Medico clínico",0.501,0.463,0.438,0.354,0.512
"P07","Pediatra",0.151,0.208,0.184,0.107,0.103
"P07","Cardiólogo",0.167,0.142,0.166,0.285,0.181
"P07","Neumólogos",0.146,0.151,0.156,0.237,0.135
"P07","Otra especialidad",0.035,0.036,0.056,0.017,0.069
"P08","En una institución pública",0.449,0.368,0.399,0.286,0.232
"P08","En una institución privada",0.213,0.255,0.255,0.271,0.337
"P08","Ambas",0.2,0.243,0.229,0.301,0.226
"P08","Solo consultorio",0.083,0.09,0.102,0.07,0.11
"P08","Institución publica o privada y consultorio",0.055,0.044,0.015,0.072,0.095
"P10","1 dosis",0.133,0.117,0.099,0.137,0.334
"P10","2 dosis.",0.073,0.087,0.225,0.242,0.075
"P10","3 dosis o más",0.794,0.796,0.676,0.621,0.591
"P11","Si",0.666,0.517,0.499,0.505,0.47
"P11","No",0.334,0.483,0.501,0.495,0.53
"P13","Si",0.387,0.313,0.539,0.507,0.462
"P13","No",0.613,0.687,0.461,0.493,0.538
"P14","Si",0.533,0.644,0.684,0.554,0.674
"P14","No",0.467,0.356,0.316,0.446,0.326
