"var","categoria","Porque ya no hay casos de COVID","Porque ha disminuido de forma significativa el contagio","Por los efectos secundarios","No sabe"
"P04","Gran excedente habitual",0.286,0.135,0.222,0.145
"P04","Gran excedente excepcional",0.123,0.21,0.201,0.138
"P04","Pequeño excedente habitual",0.101,0.115,0.173,0.066
"P04","Pequeño excedente excepcional",0.232,0.194,0.14,0.152
"P04","Alcanza gastos familia",0.057,0.105,0.062,0.127
"P04","No alcanza gastos familia",0.078,0.109,0.08,0.134
"P04","Solo NBFamiliares",0.037,0.036,0.021,0.14
"P04","No alcanza NBFamiliares",0.063,0.053,0.049,0.054
"P04","No sabe",0.023,0.043,0.052,0.044
"P06","Menos de 5 años ",0.31,0.329,0.188,0.297
"P06","Entre 6 y 10 años",0.328,0.206,0.216,0.182
"P06","Entre 11 y 20 años",0.111,0.157,0.29,0.25
"P06","Mas de 20 años",0.251,0.308,0.306,0.271
"P07","Medico clínico",0.519,0.415,0.445,0.457
"P07","Pediatra",0.209,0.208,0.162,0.095
"P07","Cardiólogo",0.12,0.218,0.162,0.227
"P07","Neumólogos",0.138,0.128,0.186,0.175
"P07","Otra especialidad",0.014,0.031,0.045,0.046
"P08","En una institución pública",0.383,0.327,0.292,0.334
"P08","En una institución privada",0.317,0.256,0.307,0.249
"P08","Ambas",0.178,0.306,0.205,0.308
"P08","Solo consultorio",0.108,0.069,0.119,0.07
"P08","Institución publica o privada y consultorio",0.014,0.042,0.077,0.039
"P09","Si",0.714,0.794,0.575,0.753
"P09","No",0.286,0.206,0.425,0.247
"P10","1 dosis",0.252,0.177,0.139,0.179
"P10","2 dosis.",0.152,0.121,0.264,0.051
"P10","3 dosis o más",0.596,0.702,0.597,0.77
"P11","Si",0.518,0.351,0.308,0.476
"P11","No",0.482,0.649,0.692,0.524
"P12","Para protegerse de la enfermedad",0.488,0.345,0.335,0.48
"P12","Porque soy personal de riesgo",0.404,0.591,0.38,0.359
"P12","Porque colegas se vacunaron",0,0.013,0.05,0.02
"P12","Me lo recomendó la institución donde trabajo",0,0.043,0.171,0.088
"P12","No sabe",0.108,0.008,0.064,0.053
"P13","Si",0.638,0.315,0.486,0.21
"P13","No",0.362,0.685,0.514,0.79
"P14","Si",0.539,0.579,0.691,0.274
"P14","No",0.461,0.421,0.309,0.726
"P18","Si",0.644,0.38,0.332,0.349
"P18","No",0.33,0.474,0.359,0.523
"P18","No sabe",0.026,0.146,0.309,0.128
"P19","Si",0.271,0.343,0.169,0.429
"P19","No",0.684,0.563,0.785,0.44
"P19","No sabe",0.045,0.094,0.046,0.131
"P20","Si",0.656,0.671,0.385,0.681
"P20","No",0.329,0.264,0.512,0.264
"P20","No sabe",0.015,0.065,0.103,0.055
"P21","Si",0.61,0.416,0.175,0.482
"P21","No",0.342,0.457,0.73,0.388
"P21","No sabe",0.048,0.127,0.095,0.13
"P22","Sinopharm",0.242,0.098,0.064,0.12
"P22","Sputnik",0.396,0.379,0.261,0.267
"P22","Aztra-Zeneca",0.032,0.132,0.109,0.068
"P22","Moderna",0.061,0.077,0.073,0.123
"P22","Pfizer",0.165,0.244,0.185,0.189
"P22","No sabe",0.104,0.07,0.308,0.233
"P23","Si",0.411,0.507,0.324,0.542
"P23","No",0.554,0.366,0.574,0.332
"P23","A veces",0.035,0.127,0.102,0.126
"P24","Si",0.316,0.622,0.314,0.617
"P24","No",0.616,0.333,0.62,0.254
"P24","No sabe",0.068,0.045,0.066,0.129
"P25","Si",0.604,0.614,0.283,0.65
"P25","No",0.37,0.29,0.636,0.227
"P25","No sabe",0.026,0.096,0.081,0.123
"P26","Si",0.275,0.471,0.36,0.459
"P26","No",0.588,0.485,0.612,0.493
"P26","No sabe",0.137,0.044,0.028,0.048
"P27","Si",0.254,0.512,0.444,0.473
"P27","No",0.621,0.454,0.505,0.452
"P27","No sabe",0.125,0.034,0.051,0.075
"P28","Si",0.523,0.401,0.319,0.414
"P28","No",0.458,0.463,0.444,0.398
"P28","No sabe",0.019,0.136,0.237,0.188
"P29","Si",0.389,0.616,0.552,0.644
"P29","No",0.597,0.293,0.389,0.319
"P29","No sabe",0.014,0.091,0.059,0.037
"P30","No tengo información suficiente",0.072,0.226,0.288,0.315
"P30","No tengo tiempo en la consulta",0.318,0.387,0.259,0.252
"P30","No es un tema importante en la consulta médica",0.45,0.131,0.276,0.156
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0,0.062,0.129,0.105
"P30","No sabe",0.16,0.194,0.048,0.172
"P31","Nunca",0.513,0.24,0.265,0.268
"P31","Pocas veces",0.466,0.533,0.41,0.504
"P31","Muchas veces",0.021,0.183,0.248,0.186
"P31","Siempre",0,0,0.062,0.024
"P31","No sabe",0,0.044,0.015,0.018
"P32","adultos mayores sanos",0.403,0.447,0.36,0.446
"P32","Adultos jóvenes sanos",0.26,0.254,0.229,0.193
"P32","Madres de niños pequeños",0.183,0.169,0.202,0.176
"P32","No sabe",0.154,0.13,0.209,0.185
