"var","categoria","adultos mayores sanos","Adultos jóvenes sanos","Madres de niños pequeños","No sabe"
"P04","Gran excedente habitual",0.161,0.182,0.157,0.153
"P04","Gran excedente excepcional",0.175,0.145,0.215,0.155
"P04","Pequeño excedente habitual",0.155,0.121,0.089,0.119
"P04","Pequeño excedente excepcional",0.179,0.179,0.191,0.169
"P04","Alcanza gastos familia",0.093,0.103,0.15,0.102
"P04","No alcanza gastos familia",0.093,0.089,0.099,0.159
"P04","Solo NBFamiliares",0.047,0.095,0.011,0.015
"P04","No alcanza NBFamiliares",0.051,0.058,0.033,0.057
"P04","No sabe",0.046,0.028,0.055,0.071
"P06","Menos de 5 años ",0.192,0.291,0.181,0.237
"P06","Entre 6 y 10 años",0.179,0.198,0.169,0.18
"P06","Entre 11 y 20 años",0.245,0.195,0.214,0.279
"P06","Mas de 20 años",0.384,0.316,0.436,0.304
"P07","Medico clínico",0.502,0.466,0.298,0.504
"P07","Pediatra",0.11,0.136,0.336,0.113
"P07","Cardiólogo",0.169,0.182,0.184,0.142
"P07","Neumólogos",0.176,0.165,0.172,0.181
"P07","Otra especialidad",0.043,0.051,0.01,0.06
"P08","En una institución pública",0.377,0.405,0.353,0.324
"P08","En una institución privada",0.222,0.272,0.247,0.237
"P08","Ambas",0.21,0.267,0.251,0.258
"P08","Solo consultorio",0.123,0.032,0.093,0.13
"P08","Institución publica o privada y consultorio",0.068,0.024,0.056,0.051
"P09","Si",0.872,0.799,0.801,0.684
"P09","No",0.128,0.201,0.199,0.316
"P10","1 dosis",0.135,0.164,0.096,0.11
"P10","2 dosis.",0.047,0.056,0.08,0.079
"P10","3 dosis o más",0.818,0.78,0.824,0.811
"P11","Si",0.551,0.502,0.544,0.39
"P11","No",0.449,0.498,0.456,0.61
"P12","Para protegerse de la enfermedad",0.544,0.476,0.473,0.352
"P12","Porque soy personal de riesgo",0.366,0.427,0.468,0.49
"P12","Porque colegas se vacunaron",0.028,0.018,0.008,0.023
"P12","Me lo recomendó la institución donde trabajo",0.043,0.044,0.046,0.082
"P12","No sabe",0.019,0.035,0.005,0.053
"P13","Si",0.362,0.331,0.334,0.323
"P13","No",0.638,0.669,0.666,0.677
"P14","Si",0.614,0.575,0.633,0.739
"P14","No",0.386,0.425,0.367,0.261
"P15","Si, a todos sus pacientes",0.544,0.509,0.445,0.307
"P15","Depende el caso del paciente",0.397,0.375,0.419,0.399
"P15","No la recomiendo",0.059,0.116,0.136,0.294
"P16","Dos dosis",0.151,0.155,0.221,0.164
"P16","Tres dosis",0.11,0.147,0.04,0.079
"P16","Cuatros o mas dosis",0.739,0.698,0.739,0.757
"P17","Porque ya no hay casos de COVID",0.066,0.076,0.066,0.059
"P17","Porque ha disminuido de forma significativa el contagio",0.329,0.335,0.279,0.224
"P17","Por los efectos secundarios",0.333,0.378,0.416,0.453
"P17","No sabe",0.272,0.211,0.239,0.264
"P18","Si",0.434,0.346,0.339,0.264
"P18","No",0.466,0.535,0.526,0.496
"P18","No sabe",0.1,0.119,0.135,0.24
"P19","Si",0.567,0.538,0.394,0.303
"P19","No",0.38,0.392,0.547,0.585
"P19","No sabe",0.053,0.07,0.059,0.112
"P20","Si",0.754,0.574,0.631,0.495
"P20","No",0.216,0.371,0.293,0.411
"P20","No sabe",0.03,0.055,0.076,0.094
"P21","Si",0.517,0.461,0.53,0.364
"P21","No",0.394,0.476,0.321,0.534
"P21","No sabe",0.089,0.063,0.149,0.102
"P22","Sinopharm",0.14,0.059,0.114,0.045
"P22","Sputnik",0.324,0.457,0.288,0.274
"P22","Aztra-Zeneca",0.082,0.117,0.133,0.023
"P22","Moderna",0.102,0.054,0.082,0.086
"P22","Pfizer",0.25,0.171,0.208,0.198
"P22","No sabe",0.102,0.142,0.175,0.374
"P23","Si",0.713,0.611,0.627,0.401
"P23","No",0.22,0.315,0.26,0.54
"P23","A veces",0.067,0.074,0.113,0.059
"P24","Si",0.716,0.651,0.661,0.49
"P24","No",0.241,0.303,0.275,0.443
"P24","No sabe",0.043,0.046,0.064,0.067
"P25","Si",0.674,0.621,0.674,0.483
"P25","No",0.263,0.308,0.221,0.444
"P25","No sabe",0.063,0.071,0.105,0.073
"P26","Si",0.563,0.508,0.543,0.384
"P26","No",0.409,0.46,0.414,0.549
"P26","No sabe",0.028,0.032,0.043,0.067
"P27","Si",0.616,0.565,0.537,0.412
"P27","No",0.359,0.404,0.403,0.511
"P27","No sabe",0.025,0.031,0.06,0.077
"P28","Si",0.5,0.414,0.368,0.242
"P28","No",0.403,0.466,0.477,0.521
"P28","No sabe",0.097,0.12,0.155,0.237
"P29","Si",0.796,0.69,0.696,0.485
"P29","No",0.18,0.271,0.226,0.455
"P29","No sabe",0.024,0.039,0.078,0.06
"P30","No tengo información suficiente",0.361,0.232,0.344,0.284
"P30","No tengo tiempo en la consulta",0.299,0.476,0.21,0.131
"P30","No es un tema importante en la consulta médica",0.169,0.12,0.263,0.289
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.071,0.035,0.031,0.121
"P30","No sabe",0.1,0.137,0.152,0.175
"P31","Nunca",0.269,0.162,0.128,0.407
"P31","Pocas veces",0.485,0.571,0.35,0.345
"P31","Muchas veces",0.204,0.218,0.411,0.203
"P31","Siempre",0.027,0.036,0.062,0.016
"P31","No sabe",0.015,0.013,0.049,0.029
