"var","categoria","1 dosis","2 dosis.","3 dosis o más"
"P04","Gran excedente habitual",0.192,0.221,0.145
"P04","Gran excedente excepcional",0.187,0.193,0.18
"P04","Pequeño excedente habitual",0.135,0.114,0.127
"P04","Pequeño excedente excepcional",0.132,0.167,0.19
"P04","Alcanza gastos familia",0.065,0.089,0.111
"P04","No alcanza gastos familia",0.109,0.06,0.107
"P04","Solo NBFamiliares",0.079,0.047,0.041
"P04","No alcanza NBFamiliares",0.032,0.069,0.05
"P04","No sabe",0.069,0.04,0.049
"P06","Menos de 5 años ",0.565,0.213,0.157
"P06","Entre 6 y 10 años",0.174,0.332,0.222
"P06","Entre 11 y 20 años",0.126,0.229,0.259
"P06","Mas de 20 años",0.135,0.226,0.362
"P07","Medico clínico",0.529,0.437,0.475
"P07","Pediatra",0.155,0.163,0.172
"P07","Cardiólogo",0.184,0.226,0.156
"P07","Neumólogos",0.115,0.134,0.157
"P07","Otra especialidad",0.017,0.04,0.04
"P08","En una institución pública",0.484,0.431,0.392
"P08","En una institución privada",0.152,0.246,0.251
"P08","Ambas",0.225,0.214,0.217
"P08","Solo consultorio",0.083,0.07,0.09
"P08","Institución publica o privada y consultorio",0.056,0.039,0.05
"P11","Si",0.642,0.302,0.616
"P11","No",0.358,0.698,0.384
"P12","Para protegerse de la enfermedad",0.505,0.399,0.514
"P12","Porque soy personal de riesgo",0.339,0.36,0.394
"P12","Porque colegas se vacunaron",0.02,0.064,0.023
"P12","Me lo recomendó la institución donde trabajo",0.06,0.152,0.046
"P12","No sabe",0.076,0.025,0.023
"P13","Si",0.552,0.516,0.323
"P13","No",0.448,0.484,0.677
"P14","Si",0.759,0.662,0.516
"P14","No",0.241,0.338,0.484
"P15","Si, a todos sus pacientes",0.392,0.291,0.568
"P15","Depende el caso del paciente",0.48,0.456,0.385
"P15","No la recomiendo",0.128,0.253,0.047
"P16","Dos dosis",0.751,0.223,0.081
"P16","Tres dosis",0.014,0.357,0.118
"P16","Cuatros o mas dosis",0.235,0.42,0.801
"P17","Porque ya no hay casos de COVID",0.126,0.083,0.075
"P17","Porque ha disminuido de forma significativa el contagio",0.328,0.246,0.329
"P17","Por los efectos secundarios",0.283,0.588,0.308
"P17","No sabe",0.263,0.083,0.288
"P18","Si",0.47,0.462,0.427
"P18","No",0.43,0.349,0.474
"P18","No sabe",0.1,0.189,0.099
"P19","Si",0.444,0.33,0.587
"P19","No",0.485,0.59,0.347
"P19","No sabe",0.071,0.08,0.066
"P20","Si",0.604,0.484,0.722
"P20","No",0.312,0.428,0.23
"P20","No sabe",0.084,0.088,0.048
"P21","Si",0.536,0.368,0.546
"P21","No",0.357,0.505,0.344
"P21","No sabe",0.107,0.127,0.11
"P22","Sinopharm",0.176,0.137,0.091
"P22","Sputnik",0.437,0.374,0.342
"P22","Aztra-Zeneca",0.057,0.133,0.102
"P22","Moderna",0.086,0.03,0.099
"P22","Pfizer",0.107,0.281,0.253
"P22","No sabe",0.137,0.045,0.113
"P23","Si",0.499,0.588,0.754
"P23","No",0.436,0.357,0.174
"P23","A veces",0.065,0.055,0.072
"P24","Si",0.656,0.352,0.746
"P24","No",0.303,0.563,0.187
"P24","No sabe",0.041,0.085,0.067
"P25","Si",0.704,0.452,0.72
"P25","No",0.217,0.497,0.192
"P25","No sabe",0.079,0.051,0.088
"P26","Si",0.528,0.395,0.561
"P26","No",0.416,0.569,0.403
"P26","No sabe",0.056,0.036,0.036
"P27","Si",0.587,0.427,0.595
"P27","No",0.387,0.482,0.361
"P27","No sabe",0.026,0.091,0.044
"P28","Si",0.614,0.437,0.435
"P28","No",0.319,0.443,0.436
"P28","No sabe",0.067,0.12,0.129
"P29","Si",0.651,0.646,0.789
"P29","No",0.297,0.332,0.168
"P29","No sabe",0.052,0.022,0.043
"P30","No tengo información suficiente",0.068,0.182,0.382
"P30","No tengo tiempo en la consulta",0.233,0.35,0.242
"P30","No es un tema importante en la consulta médica",0.305,0.181,0.209
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.042,0.13,0.038
"P30","No sabe",0.352,0.157,0.129
"P31","Nunca",0.434,0.135,0.18
"P31","Pocas veces",0.322,0.535,0.508
"P31","Muchas veces",0.153,0.217,0.278
"P31","Siempre",0.014,0.044,0.024
"P31","No sabe",0.077,0.069,0.01
"P32","adultos mayores sanos",0.496,0.393,0.493
"P32","Adultos jóvenes sanos",0.293,0.228,0.228
"P32","Madres de niños pequeños",0.12,0.229,0.169
"P32","No sabe",0.091,0.15,0.11
