"var","categoria","Medico clínico","Pediatra","Cardiólogo","Neumólogos","Otra especialidad"
"P04","Gran excedente habitual",0.178,0.222,0.154,0.164,0.157
"P04","Gran excedente excepcional",0.198,0.174,0.166,0.153,0.182
"P04","Pequeño excedente habitual",0.139,0.093,0.127,0.129,0.069
"P04","Pequeño excedente excepcional",0.156,0.193,0.172,0.174,0.169
"P04","Alcanza gastos familia",0.093,0.095,0.126,0.073,0.095
"P04","No alcanza gastos familia",0.094,0.096,0.094,0.145,0.078
"P04","Solo NBFamiliares",0.041,0.046,0.06,0.049,0.086
"P04","No alcanza NBFamiliares",0.053,0.033,0.053,0.058,0.091
"P04","No sabe",0.048,0.048,0.048,0.055,0.073
"P06","Menos de 5 años ",0.297,0.149,0.207,0.129,0.128
"P06","Entre 6 y 10 años",0.223,0.376,0.192,0.185,0.28
"P06","Entre 11 y 20 años",0.205,0.166,0.401,0.245,0.298
"P06","Mas de 20 años",0.275,0.309,0.2,0.441,0.294
"P08","En una institución pública",0.495,0.319,0.287,0.202,0.297
"P08","En una institución privada",0.235,0.34,0.253,0.313,0.27
"P08","Ambas",0.168,0.237,0.323,0.247,0.276
"P08","Solo consultorio",0.068,0.056,0.077,0.177,0.031
"P08","Institución publica o privada y consultorio",0.034,0.048,0.06,0.061,0.126
"P09","Si",0.824,0.796,0.811,0.759,0.642
"P09","No",0.176,0.204,0.189,0.241,0.358
"P10","1 dosis",0.144,0.119,0.143,0.1,0.06
"P10","2 dosis.",0.085,0.09,0.127,0.084,0.101
"P10","3 dosis o más",0.771,0.791,0.73,0.816,0.839
"P11","Si",0.557,0.504,0.486,0.468,0.448
"P11","No",0.443,0.496,0.514,0.532,0.552
"P12","Para protegerse de la enfermedad",0.528,0.446,0.51,0.478,0.487
"P12","Porque soy personal de riesgo",0.373,0.47,0.33,0.379,0.386
"P12","Porque colegas se vacunaron",0.024,0.029,0.027,0.027,0.041
"P12","Me lo recomendó la institución donde trabajo",0.043,0.036,0.1,0.09,0.028
"P12","No sabe",0.032,0.019,0.033,0.026,0.058
"P13","Si",0.375,0.392,0.348,0.335,0.458
"P13","No",0.625,0.608,0.652,0.665,0.542
"P14","Si",0.618,0.669,0.519,0.658,0.548
"P14","No",0.382,0.331,0.481,0.342,0.452
"P15","Si, a todos sus pacientes",0.498,0.494,0.365,0.416,0.51
"P15","Depende el caso del paciente",0.381,0.412,0.481,0.422,0.306
"P15","No la recomiendo",0.121,0.094,0.154,0.162,0.184
"P16","Dos dosis",0.18,0.195,0.109,0.161,0.115
"P16","Tres dosis",0.104,0.206,0.124,0.129,0.131
"P16","Cuatros o mas dosis",0.716,0.599,0.767,0.71,0.754
"P17","Porque ya no hay casos de COVID",0.091,0.1,0.049,0.065,0.027
"P17","Porque ha disminuido de forma significativa el contagio",0.254,0.35,0.314,0.214,0.217
"P17","Por los efectos secundarios",0.41,0.41,0.351,0.465,0.472
"P17","No sabe",0.245,0.14,0.286,0.256,0.284
"P18","Si",0.407,0.463,0.349,0.405,0.304
"P18","No",0.459,0.397,0.5,0.456,0.579
"P18","No sabe",0.134,0.14,0.151,0.139,0.117
"P19","Si",0.504,0.475,0.443,0.491,0.448
"P19","No",0.432,0.459,0.474,0.451,0.457
"P19","No sabe",0.064,0.066,0.083,0.058,0.095
"P20","Si",0.666,0.656,0.594,0.577,0.634
"P20","No",0.288,0.246,0.361,0.345,0.294
"P20","No sabe",0.046,0.098,0.045,0.078,0.072
"P21","Si",0.513,0.508,0.474,0.431,0.363
"P21","No",0.409,0.416,0.396,0.422,0.522
"P21","No sabe",0.078,0.076,0.13,0.147,0.115
"P22","Sinopharm",0.138,0.127,0.074,0.093,0.101
"P22","Sputnik",0.307,0.378,0.405,0.321,0.449
"P22","Aztra-Zeneca",0.089,0.1,0.105,0.087,0.088
"P22","Moderna",0.097,0.07,0.051,0.113,0.142
"P22","Pfizer",0.215,0.164,0.246,0.219,0.099
"P22","No sabe",0.154,0.161,0.119,0.167,0.121
"P23","Si",0.67,0.644,0.54,0.617,0.648
"P23","No",0.267,0.283,0.36,0.29,0.32
"P23","A veces",0.063,0.073,0.1,0.093,0.032
"P24","Si",0.69,0.597,0.576,0.591,0.604
"P24","No",0.272,0.305,0.349,0.343,0.317
"P24","No sabe",0.038,0.098,0.075,0.066,0.079
"P25","Si",0.68,0.572,0.598,0.618,0.548
"P25","No",0.256,0.334,0.322,0.301,0.384
"P25","No sabe",0.064,0.094,0.08,0.081,0.068
"P26","Si",0.55,0.527,0.485,0.422,0.628
"P26","No",0.416,0.415,0.475,0.541,0.322
"P26","No sabe",0.034,0.058,0.04,0.037,0.05
"P27","Si",0.57,0.616,0.509,0.493,0.719
"P27","No",0.402,0.322,0.429,0.453,0.22
"P27","No sabe",0.028,0.062,0.062,0.054,0.061
"P28","Si",0.452,0.43,0.413,0.386,0.596
"P28","No",0.44,0.442,0.386,0.465,0.361
"P28","No sabe",0.108,0.128,0.201,0.149,0.043
"P29","Si",0.746,0.691,0.706,0.63,0.652
"P29","No",0.221,0.268,0.246,0.31,0.29
"P29","No sabe",0.033,0.041,0.048,0.06,0.058
"P30","No tengo información suficiente",0.361,0.326,0.259,0.205,0.274
"P30","No tengo tiempo en la consulta",0.231,0.244,0.397,0.296,0.39
"P30","No es un tema importante en la consulta médica",0.203,0.245,0.191,0.203,0.111
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.061,0.084,0.039,0.059,0.171
"P30","No sabe",0.144,0.101,0.114,0.237,0.054
"P31","Nunca",0.225,0.211,0.168,0.309,0.36
"P31","Pocas veces",0.471,0.503,0.514,0.416,0.378
"P31","Muchas veces",0.252,0.217,0.277,0.211,0.221
"P31","Siempre",0.033,0.048,0.032,0.022,0.041
"P31","No sabe",0.019,0.021,0.009,0.042,0
"P32","adultos mayores sanos",0.504,0.327,0.455,0.468,0.48
"P32","Adultos jóvenes sanos",0.243,0.21,0.254,0.227,0.292
"P32","Madres de niños pequeños",0.11,0.368,0.182,0.168,0.04
"P32","No sabe",0.143,0.095,0.109,0.137,0.188
