"var","categoria","Si","No","No sabe"
"P04","Gran excedente habitual",0.024,0.006,0.017
"P04","Gran excedente excepcional",0.007,0.005,0
"P04","Pequeño excedente habitual",0.074,0.036,0.019
"P04","Pequeño excedente excepcional",0.077,0.039,0.05
"P04","Alcanza gastos familia",0.185,0.097,0.106
"P04","No alcanza gastos familia",0.135,0.171,0.162
"P04","Solo NBFamiliares",0.226,0.342,0.239
"P04","No alcanza NBFamiliares",0.264,0.3,0.354
"P04","No sabe",0.008,0.004,0.053
"P05","Sin deuda",0.334,0.262,0.281
"P05","Menos de 10%",0.17,0.216,0.107
"P05","Entre 10 y 20%",0.162,0.142,0.166
"P05","Entre 20 y 30%",0.113,0.101,0.096
"P05","Entre 30 y 40%",0.064,0.1,0.106
"P05","Mas del 40%",0.151,0.157,0.146
"P05","No sabe",0.006,0.022,0.098
"P06","Mucho",0.188,0.176,0.199
"P06","Algo",0.43,0.455,0.379
"P06","Poco",0.247,0.242,0.245
"P06","Nada",0.135,0.127,0.177
"P07","La nación",0.406,0.381,0.325
"P07","La provincia",0.21,0.219,0.149
"P07","El municipio",0.243,0.256,0.188
"P07","No sabe",0.141,0.144,0.338
"P08","La nación",0.173,0.199,0.142
"P08","La provincia",0.176,0.211,0.188
"P08","El municipio",0.586,0.539,0.475
"P08","No sabe",0.065,0.051,0.195
"P09","La nación",0.38,0.345,0.294
"P09","La provincia",0.312,0.277,0.26
"P09","El municipio",0.247,0.331,0.248
"P09","No sabe",0.061,0.047,0.198
"P10","La nación",0.411,0.394,0.313
"P10","La provincia",0.33,0.338,0.355
"P10","El municipio",0.183,0.186,0.117
"P10","No sabe",0.076,0.082,0.215
"P11","La nación",0.477,0.458,0.338
"P11","La provincia",0.345,0.343,0.288
"P11","El municipio",0.116,0.111,0.105
"P11","No sabe",0.062,0.088,0.269
"P12","Si",0.2,0.183,0.129
"P12","No",0.8,0.817,0.871
"P13","Si",0.128,0.077,0.047
"P13","No",0.71,0.764,0.62
"P13","No sabe",0.162,0.159,0.333
"P14","La falta de gestión de los residuos",0.228,0.147,0.178
"P14","La contaminación del agua",0.276,0.343,0.222
"P14","Los incendios descontrolados",0.197,0.211,0.204
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.223,0.242,0.206
"P14","No sabe",0.076,0.057,0.19
"P15","Si",0.628,0.651,0.615
"P15","No",0.28,0.211,0.127
"P15","No sabe",0.092,0.138,0.258
"P16","Estaría de acuerdo con esta medida",0.255,0.235,0.233
"P16","No estaría de acuerdo con esta medida",0.666,0.672,0.361
"P16","No sabe",0.079,0.093,0.406
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.403,0.077,0.112
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.517,0.872,0.463
"P18","No sabe",0.08,0.051,0.425
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.428,0.12,0.145
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.48,0.797,0.465
"P19","No sabe",0.092,0.083,0.39
"P20","Las montañas",0.309,0.138,0.097
"P20","El campo",0.371,0.363,0.282
"P20","El agua",0.069,0.064,0.082
"P20","El aire",0.052,0.078,0.037
"P20","Los bosques",0.01,0.017,0.032
"P20","Los humedales",0.021,0.021,0.012
"P20","No sabe",0.168,0.319,0.458
"P21","El desempleo",0.065,0.072,0.023
"P21","La corrupción",0.351,0.376,0.298
"P21","La inseguridad",0.089,0.12,0.14
"P21","La inflación",0.31,0.235,0.229
"P21","El precio del dólar",0.026,0.024,0.021
"P21","La pobreza",0.065,0.032,0.088
"P21","El narcotráfico",0.042,0.065,0.093
"P21","Las tarifas",0.012,0.019,0.019
"P21","Otro",0.036,0.046,0.048
"P21","No sabe",0.004,0.011,0.041
"P24","Si",0.696,0.738,0.579
"P24","No",0.158,0.161,0.064
"P24","No sabe",0.146,0.101,0.357
"P25","Mucho",0.65,0.813,0.625
"P25","Algo",0.227,0.14,0.147
"P25","Poco",0.076,0.038,0.12
"P25","Nada",0.047,0.009,0.108
