"var","categoria","La nación","La provincia","El municipio","No sabe"
"P04","Gran excedente habitual",0.008,0.005,0.02,0.032
"P04","Gran excedente excepcional",0.002,0.006,0.008,0.013
"P04","Pequeño excedente habitual",0.059,0.047,0.046,0.017
"P04","Pequeño excedente excepcional",0.045,0.075,0.066,0.015
"P04","Alcanza gastos familia",0.145,0.149,0.133,0.111
"P04","No alcanza gastos familia",0.158,0.134,0.138,0.106
"P04","Solo NBFamiliares",0.28,0.255,0.287,0.29
"P04","No alcanza NBFamiliares",0.283,0.326,0.295,0.381
"P04","No sabe",0.02,0.003,0.007,0.035
"P05","Sin deuda",0.277,0.296,0.325,0.307
"P05","Menos de 10%",0.178,0.191,0.151,0.206
"P05","Entre 10 y 20%",0.147,0.131,0.161,0.188
"P05","Entre 20 y 30%",0.102,0.113,0.113,0.063
"P05","Entre 30 y 40%",0.089,0.085,0.104,0.059
"P05","Mas del 40%",0.181,0.158,0.116,0.14
"P05","No sabe",0.026,0.026,0.03,0.037
"P06","Mucho",0.183,0.17,0.204,0.14
"P06","Algo",0.416,0.444,0.413,0.272
"P06","Poco",0.233,0.24,0.271,0.254
"P06","Nada",0.168,0.146,0.112,0.334
"P07","La nación",0.58,0.316,0.265,0.158
"P07","La provincia",0.158,0.294,0.178,0.163
"P07","El municipio",0.125,0.25,0.387,0.165
"P07","No sabe",0.137,0.14,0.17,0.514
"P08","La nación",0.39,0.084,0.063,0.024
"P08","La provincia",0.17,0.347,0.102,0.13
"P08","El municipio",0.398,0.542,0.795,0.234
"P08","No sabe",0.042,0.027,0.04,0.612
"P10","La nación",0.673,0.325,0.213,0.137
"P10","La provincia",0.193,0.502,0.349,0.172
"P10","El municipio",0.084,0.103,0.392,0.037
"P10","No sabe",0.05,0.07,0.046,0.654
"P11","La nación",0.611,0.401,0.325,0.206
"P11","La provincia",0.251,0.445,0.366,0.208
"P11","El municipio",0.074,0.084,0.229,0.051
"P11","No sabe",0.064,0.07,0.08,0.535
"P12","Si",0.189,0.177,0.181,0.173
"P12","No",0.811,0.823,0.819,0.827
"P13","Si",0.105,0.082,0.087,0.081
"P13","No",0.747,0.73,0.724,0.462
"P13","No sabe",0.148,0.188,0.189,0.457
"P14","La falta de gestión de los residuos",0.216,0.209,0.169,0.075
"P14","La contaminación del agua",0.332,0.296,0.262,0.206
"P14","Los incendios descontrolados",0.171,0.223,0.221,0.168
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.209,0.177,0.287,0.236
"P14","No sabe",0.072,0.095,0.061,0.315
"P15","Si",0.703,0.635,0.594,0.432
"P15","No",0.195,0.247,0.246,0.212
"P15","No sabe",0.102,0.118,0.16,0.356
"P16","Estaría de acuerdo con esta medida",0.253,0.211,0.261,0.232
"P16","No estaría de acuerdo con esta medida",0.638,0.678,0.587,0.401
"P16","No sabe",0.109,0.111,0.152,0.367
"P17","Si",0.465,0.465,0.379,0.336
"P17","No",0.398,0.388,0.477,0.246
"P17","No sabe",0.137,0.147,0.144,0.418
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.207,0.246,0.226,0.235
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.712,0.631,0.649,0.469
"P18","No sabe",0.081,0.123,0.125,0.296
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.228,0.285,0.302,0.192
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.661,0.589,0.588,0.46
"P19","No sabe",0.111,0.126,0.11,0.348
"P20","Las montañas",0.194,0.215,0.234,0.161
"P20","El campo",0.344,0.366,0.377,0.273
"P20","El agua",0.068,0.063,0.07,0.094
"P20","El aire",0.049,0.066,0.078,0.03
"P20","Los bosques",0.008,0.026,0.008,0.048
"P20","Los humedales",0.026,0.022,0.013,0.003
"P20","No sabe",0.311,0.242,0.22,0.391
"P21","El desempleo",0.062,0.046,0.076,0.065
"P21","La corrupción",0.361,0.355,0.369,0.253
"P21","La inseguridad",0.134,0.083,0.088,0.169
"P21","La inflación",0.269,0.306,0.226,0.273
"P21","El precio del dólar",0.02,0.026,0.032,0.005
"P21","La pobreza",0.04,0.081,0.055,0.034
"P21","El narcotráfico",0.064,0.034,0.073,0.076
"P21","Las tarifas",0.004,0.005,0.034,0.05
"P21","Otro",0.042,0.061,0.024,0.031
"P21","No sabe",0.004,0.003,0.023,0.044
"P24","Si",0.755,0.709,0.706,0.347
"P24","No",0.131,0.185,0.115,0.166
"P24","No sabe",0.114,0.106,0.179,0.487
"P25","Mucho",0.743,0.717,0.736,0.46
"P25","Algo",0.175,0.171,0.189,0.212
"P25","Poco",0.057,0.072,0.055,0.143
"P25","Nada",0.025,0.04,0.02,0.185
