"var","categoria","La falta de gestión de los residuos","La contaminación del agua","Los incendios descontrolados","El uso desmedido de fertilizantes y químicos para los cultivos","No sabe"
"P04","Gran excedente habitual",0.016,0.002,0.011,0.013,0.057
"P04","Gran excedente excepcional",0.001,0.008,0.01,0.001,0
"P04","Pequeño excedente habitual",0.053,0.037,0.053,0.067,0.029
"P04","Pequeño excedente excepcional",0.039,0.032,0.082,0.075,0.072
"P04","Alcanza gastos familia",0.13,0.11,0.15,0.174,0.178
"P04","No alcanza gastos familia",0.138,0.163,0.169,0.151,0.117
"P04","Solo NBFamiliares",0.252,0.276,0.297,0.255,0.269
"P04","No alcanza NBFamiliares",0.332,0.37,0.218,0.257,0.255
"P04","No sabe",0.039,0.002,0.01,0.007,0.023
"P05","Sin deuda",0.282,0.252,0.315,0.318,0.399
"P05","Menos de 10%",0.133,0.197,0.171,0.182,0.169
"P05","Entre 10 y 20%",0.178,0.17,0.138,0.138,0.114
"P05","Entre 20 y 30%",0.083,0.131,0.123,0.094,0.074
"P05","Entre 30 y 40%",0.086,0.071,0.119,0.106,0.039
"P05","Mas del 40%",0.199,0.16,0.108,0.149,0.124
"P05","No sabe",0.039,0.019,0.026,0.013,0.081
"P06","Mucho",0.189,0.196,0.154,0.223,0.103
"P06","Algo",0.423,0.472,0.423,0.432,0.287
"P06","Poco",0.239,0.226,0.286,0.253,0.221
"P06","Nada",0.149,0.106,0.137,0.092,0.389
"P07","La nación",0.413,0.423,0.338,0.375,0.333
"P07","La provincia",0.166,0.268,0.221,0.159,0.156
"P07","El municipio",0.283,0.218,0.267,0.23,0.118
"P07","No sabe",0.138,0.091,0.174,0.236,0.393
"P08","La nación",0.215,0.217,0.159,0.124,0.13
"P08","La provincia",0.24,0.252,0.188,0.128,0.118
"P08","El municipio",0.498,0.49,0.575,0.636,0.513
"P08","No sabe",0.047,0.041,0.078,0.112,0.239
"P09","La nación",0.401,0.4,0.3,0.329,0.264
"P09","La provincia",0.322,0.296,0.327,0.231,0.289
"P09","El municipio",0.244,0.246,0.303,0.352,0.174
"P09","No sabe",0.033,0.058,0.07,0.088,0.273
"P10","La nación",0.475,0.427,0.443,0.29,0.263
"P10","La provincia",0.347,0.351,0.284,0.353,0.32
"P10","El municipio",0.117,0.168,0.182,0.224,0.149
"P10","No sabe",0.061,0.054,0.091,0.133,0.268
"P11","La nación",0.508,0.485,0.421,0.404,0.323
"P11","La provincia",0.289,0.362,0.334,0.377,0.264
"P11","El municipio",0.118,0.085,0.132,0.126,0.106
"P11","No sabe",0.085,0.068,0.113,0.093,0.307
"P12","Si",0.2,0.208,0.167,0.189,0.098
"P12","No",0.8,0.792,0.833,0.811,0.902
"P13","Si",0.134,0.075,0.095,0.082,0.081
"P13","No",0.748,0.827,0.612,0.722,0.534
"P13","No sabe",0.118,0.098,0.293,0.196,0.385
"P15","Si",0.709,0.618,0.572,0.69,0.501
"P15","No",0.202,0.302,0.179,0.205,0.183
"P15","No sabe",0.089,0.08,0.249,0.105,0.316
"P16","Estaría de acuerdo con esta medida",0.238,0.264,0.219,0.254,0.188
"P16","No estaría de acuerdo con esta medida",0.666,0.631,0.644,0.573,0.526
"P16","No sabe",0.096,0.105,0.137,0.173,0.286
"P17","Si",0.526,0.404,0.416,0.421,0.376
"P17","No",0.318,0.472,0.42,0.431,0.267
"P17","No sabe",0.156,0.124,0.164,0.148,0.357
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.332,0.213,0.196,0.183,0.223
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.567,0.707,0.649,0.721,0.474
"P18","No sabe",0.101,0.08,0.155,0.096,0.303
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.353,0.22,0.277,0.21,0.308
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.515,0.686,0.595,0.685,0.323
"P19","No sabe",0.132,0.094,0.128,0.105,0.369
"P20","Las montañas",0.247,0.2,0.255,0.175,0.133
"P20","El campo",0.339,0.431,0.306,0.344,0.265
"P20","El agua",0.083,0.057,0.063,0.074,0.083
"P20","El aire",0.059,0.052,0.065,0.071,0.052
"P20","Los bosques",0.02,0.004,0.022,0.022,0.02
"P20","Los humedales",0.044,0.012,0.025,0.009,0.008
"P20","No sabe",0.208,0.244,0.264,0.305,0.439
"P21","El desempleo",0.076,0.081,0.067,0.031,0.032
"P21","La corrupción",0.377,0.378,0.313,0.346,0.334
"P21","La inseguridad",0.107,0.146,0.085,0.089,0.099
"P21","La inflación",0.294,0.232,0.298,0.264,0.275
"P21","El precio del dólar",0.019,0.019,0.022,0.038,0.02
"P21","La pobreza",0.035,0.041,0.07,0.078,0.051
"P21","El narcotráfico",0.038,0.057,0.077,0.054,0.076
"P21","Las tarifas",0.006,0.027,0.017,0.014,0.007
"P21","Otro",0.044,0.019,0.037,0.059,0.08
"P21","No sabe",0.004,0,0.014,0.027,0.026
"P24","Si",0.734,0.724,0.688,0.731,0.439
"P24","No",0.158,0.12,0.136,0.143,0.225
"P24","No sabe",0.108,0.156,0.176,0.126,0.336
"P25","Mucho",0.752,0.737,0.698,0.729,0.517
"P25","Algo",0.134,0.18,0.194,0.201,0.193
"P25","Poco",0.079,0.066,0.075,0.054,0.069
"P25","Nada",0.035,0.017,0.033,0.016,0.221
