"var","categoria","Las montañas","El campo","El agua","El aire","Los bosques","Los humedales","No sabe"
"P04","Gran excedente habitual",0.044,0.006,0.03,0.006,0,0,0.012
"P04","Gran excedente excepcional",0.013,0.001,0,0.002,0,0,0
"P04","Pequeño excedente habitual",0.072,0.058,0.019,0.049,0.015,0.013,0.04
"P04","Pequeño excedente excepcional",0.085,0.069,0.072,0.061,0,0.013,0.035
"P04","Alcanza gastos familia",0.123,0.164,0.141,0.096,0.094,0.215,0.126
"P04","No alcanza gastos familia",0.148,0.139,0.185,0.079,0.303,0.235,0.161
"P04","Solo NBFamiliares",0.227,0.298,0.215,0.411,0.229,0.375,0.278
"P04","No alcanza NBFamiliares",0.288,0.252,0.303,0.276,0.359,0.149,0.324
"P04","No sabe",0,0.013,0.035,0.02,0,0,0.024
"P05","Sin deuda",0.308,0.282,0.279,0.317,0.223,0.414,0.287
"P05","Menos de 10%",0.173,0.228,0.088,0.127,0.038,0.182,0.176
"P05","Entre 10 y 20%",0.169,0.157,0.201,0.178,0.221,0.078,0.137
"P05","Entre 20 y 30%",0.108,0.103,0.135,0.064,0.059,0.082,0.108
"P05","Entre 30 y 40%",0.065,0.073,0.134,0.128,0.232,0.207,0.088
"P05","Mas del 40%",0.17,0.136,0.159,0.17,0.125,0.037,0.142
"P05","No sabe",0.007,0.021,0.004,0.016,0.102,0,0.062
"P06","Mucho",0.207,0.175,0.198,0.261,0.447,0.174,0.127
"P06","Algo",0.451,0.451,0.33,0.423,0.311,0.453,0.432
"P06","Poco",0.216,0.247,0.335,0.222,0.095,0.192,0.26
"P06","Nada",0.126,0.127,0.137,0.094,0.147,0.181,0.181
"P07","La nación",0.406,0.39,0.352,0.367,0.39,0.227,0.372
"P07","La provincia",0.23,0.234,0.264,0.105,0.184,0.406,0.156
"P07","El municipio",0.241,0.231,0.257,0.443,0.17,0.281,0.197
"P07","No sabe",0.123,0.145,0.127,0.085,0.256,0.086,0.275
"P08","La nación",0.211,0.171,0.183,0.111,0.094,0.272,0.18
"P08","La provincia",0.187,0.234,0.194,0.142,0.302,0.091,0.162
"P08","El municipio",0.526,0.54,0.572,0.684,0.454,0.592,0.529
"P08","No sabe",0.076,0.055,0.051,0.063,0.15,0.045,0.129
"P09","La nación",0.33,0.346,0.348,0.287,0.174,0.484,0.406
"P09","La provincia",0.294,0.295,0.262,0.311,0.457,0.316,0.253
"P09","El municipio",0.314,0.297,0.28,0.362,0.131,0.188,0.225
"P09","No sabe",0.062,0.062,0.11,0.04,0.238,0.012,0.116
"P10","La nación",0.435,0.354,0.372,0.461,0.211,0.497,0.376
"P10","La provincia",0.345,0.382,0.373,0.19,0.478,0.359,0.299
"P10","El municipio",0.142,0.175,0.143,0.249,0.104,0.119,0.181
"P10","No sabe",0.078,0.089,0.112,0.1,0.207,0.025,0.144
"P11","La nación",0.479,0.451,0.405,0.455,0.4,0.45,0.401
"P11","La provincia",0.347,0.347,0.412,0.341,0.382,0.463,0.306
