"var","categoria","La nación","La provincia","El municipio","No sabe"
"P04","Gran excedente habitual",0.015,0.005,0.017,0.026
"P04","Gran excedente excepcional",0.005,0.002,0.016,0
"P04","Pequeño excedente habitual",0.051,0.052,0.051,0.026
"P04","Pequeño excedente excepcional",0.05,0.069,0.047,0.027
"P04","Alcanza gastos familia",0.149,0.142,0.136,0.102
"P04","No alcanza gastos familia",0.137,0.148,0.157,0.155
"P04","Solo NBFamiliares",0.287,0.258,0.275,0.286
"P04","No alcanza NBFamiliares",0.296,0.316,0.296,0.328
"P04","No sabe",0.01,0.008,0.005,0.05
"P05","Sin deuda",0.277,0.305,0.369,0.288
"P05","Menos de 10%",0.154,0.2,0.164,0.186
"P05","Entre 10 y 20%",0.176,0.125,0.141,0.161
"P05","Entre 20 y 30%",0.102,0.101,0.135,0.098
"P05","Entre 30 y 40%",0.098,0.102,0.075,0.051
"P05","Mas del 40%",0.168,0.143,0.093,0.15
"P05","No sabe",0.025,0.024,0.023,0.066
"P06","Mucho",0.192,0.173,0.214,0.143
"P06","Algo",0.407,0.443,0.426,0.317
"P06","Poco",0.254,0.257,0.212,0.218
"P06","Nada",0.147,0.127,0.148,0.322
"P07","La nación",0.523,0.341,0.189,0.163
"P07","La provincia",0.165,0.275,0.223,0.137
"P07","El municipio",0.179,0.243,0.447,0.204
"P07","No sabe",0.133,0.141,0.141,0.496
"P08","La nación",0.28,0.089,0.096,0.109
"P08","La provincia",0.202,0.229,0.169,0.156
"P08","El municipio",0.465,0.627,0.679,0.368
"P08","No sabe",0.053,0.055,0.056,0.367
"P09","La nación",0.485,0.258,0.219,0.197
"P09","La provincia",0.27,0.39,0.211,0.185
"P09","El municipio",0.203,0.297,0.532,0.195
"P09","No sabe",0.042,0.055,0.038,0.423
"P10","La nación",0.646,0.226,0.193,0.151
"P10","La provincia",0.243,0.571,0.136,0.147
"P10","El municipio",0.073,0.156,0.598,0.131
"P10","No sabe",0.038,0.047,0.073,0.571
"P12","Si",0.232,0.152,0.188,0.065
"P12","No",0.768,0.848,0.812,0.935
"P13","Si",0.082,0.099,0.129,0.063
"P13","No",0.759,0.737,0.671,0.48
"P13","No sabe",0.159,0.164,0.2,0.457
"P14","La falta de gestión de los residuos",0.217,0.163,0.2,0.148
"P14","La contaminación del agua",0.32,0.314,0.221,0.183
"P14","Los incendios descontrolados",0.189,0.198,0.236,0.208
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.204,0.25,0.252,0.191
"P14","No sabe",0.07,0.075,0.091,0.27
"P15","Si",0.65,0.622,0.63,0.586
"P15","No",0.233,0.24,0.229,0.144
"P15","No sabe",0.117,0.138,0.141,0.27
"P16","Estaría de acuerdo con esta medida",0.241,0.225,0.281,0.255
"P16","No estaría de acuerdo con esta medida",0.672,0.613,0.6,0.419
"P16","No sabe",0.087,0.162,0.119,0.326
"P17","Si",0.46,0.444,0.444,0.252
"P17","No",0.416,0.415,0.403,0.334
"P17","No sabe",0.124,0.141,0.153,0.414
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.243,0.231,0.252,0.108
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.689,0.639,0.646,0.545
"P18","No sabe",0.068,0.13,0.102,0.347
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.262,0.284,0.282,0.166
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.647,0.601,0.581,0.454
"P19","No sabe",0.091,0.115,0.137,0.38
"P20","Las montañas",0.227,0.211,0.172,0.159
"P20","El campo",0.363,0.358,0.423,0.223
"P20","El agua",0.064,0.083,0.072,0.042
"P20","El aire",0.062,0.06,0.086,0.024
"P20","Los bosques",0.015,0.018,0.02,0.012
"P20","Los humedales",0.02,0.027,0.007,0.009
"P20","No sabe",0.249,0.243,0.22,0.531
"P21","El desempleo",0.055,0.072,0.077,0.038
"P21","La corrupción",0.395,0.326,0.375,0.236
"P21","La inseguridad",0.094,0.117,0.088,0.173
"P21","La inflación",0.257,0.28,0.229,0.317
"P21","El precio del dólar",0.024,0.027,0.026,0.016
"P21","La pobreza",0.047,0.075,0.027,0.058
"P21","El narcotráfico",0.06,0.049,0.076,0.064
"P21","Las tarifas",0.023,0.007,0.033,0.002
"P21","Otro",0.041,0.035,0.042,0.067
"P21","No sabe",0.004,0.012,0.027,0.029
"P24","Si",0.738,0.741,0.619,0.452
"P24","No",0.142,0.146,0.159,0.137
"P24","No sabe",0.12,0.113,0.222,0.411
"P25","Mucho",0.772,0.703,0.69,0.502
"P25","Algo",0.155,0.195,0.216,0.199
"P25","Poco",0.055,0.062,0.034,0.176
"P25","Nada",0.018,0.04,0.06,0.123
