"var","categoria","La nación","La provincia","El municipio","No sabe"
"P04","Gran excedente habitual",0.011,0.006,0.022,0.028
"P04","Gran excedente excepcional",0.001,0.006,0.012,0.003
"P04","Pequeño excedente habitual",0.047,0.053,0.062,0.022
"P04","Pequeño excedente excepcional",0.046,0.085,0.044,0.047
"P04","Alcanza gastos familia",0.135,0.151,0.147,0.123
"P04","No alcanza gastos familia",0.133,0.159,0.138,0.131
"P04","Solo NBFamiliares",0.307,0.245,0.272,0.244
"P04","No alcanza NBFamiliares",0.31,0.28,0.3,0.369
"P04","No sabe",0.01,0.015,0.003,0.033
"P05","Sin deuda",0.279,0.264,0.398,0.325
"P05","Menos de 10%",0.156,0.202,0.175,0.175
"P05","Entre 10 y 20%",0.156,0.173,0.118,0.123
"P05","Entre 20 y 30%",0.113,0.103,0.099,0.093
"P05","Entre 30 y 40%",0.099,0.102,0.087,0.028
"P05","Mas del 40%",0.172,0.124,0.104,0.216
"P05","No sabe",0.025,0.032,0.019,0.04
"P06","Mucho",0.21,0.152,0.191,0.163
"P06","Algo",0.408,0.446,0.424,0.31
"P06","Poco",0.217,0.285,0.243,0.228
"P06","Nada",0.165,0.117,0.142,0.299
"P07","La nación",0.542,0.348,0.231,0.128
"P07","La provincia",0.187,0.281,0.171,0.103
"P07","El municipio",0.165,0.234,0.411,0.231
"P07","No sabe",0.106,0.137,0.187,0.538
"P08","La nación",0.325,0.095,0.065,0.061
"P08","La provincia",0.218,0.26,0.114,0.076
"P08","El municipio",0.412,0.6,0.777,0.427
"P08","No sabe",0.045,0.045,0.044,0.436
"P09","La nación",0.583,0.205,0.173,0.158
"P09","La provincia",0.243,0.461,0.183,0.191
"P09","El municipio",0.143,0.287,0.624,0.114
"P09","No sabe",0.031,0.047,0.02,0.537
"P11","La nación",0.709,0.321,0.188,0.158
"P11","La provincia",0.191,0.581,0.31,0.152
"P11","El municipio",0.057,0.048,0.415,0.081
"P11","No sabe",0.043,0.05,0.087,0.609
"P12","Si",0.214,0.16,0.185,0.122
"P12","No",0.786,0.84,0.815,0.878
"P13","Si",0.079,0.104,0.098,0.085
"P13","No",0.79,0.721,0.67,0.437
"P13","No sabe",0.131,0.175,0.232,0.478
"P14","La falta de gestión de los residuos",0.229,0.197,0.129,0.114
"P14","La contaminación del agua",0.318,0.307,0.285,0.157
"P14","Los incendios descontrolados",0.224,0.169,0.211,0.181
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.165,0.236,0.292,0.294
"P14","No sabe",0.064,0.091,0.083,0.254
"P15","Si",0.649,0.64,0.654,0.496
"P15","No",0.224,0.221,0.255,0.192
"P15","No sabe",0.127,0.139,0.091,0.312
"P16","Estaría de acuerdo con esta medida",0.236,0.25,0.268,0.185
"P16","No estaría de acuerdo con esta medida",0.659,0.613,0.598,0.504
"P16","No sabe",0.105,0.137,0.134,0.311
"P17","Si",0.456,0.422,0.455,0.324
"P17","No",0.411,0.406,0.435,0.327
"P17","No sabe",0.133,0.172,0.11,0.349
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.243,0.232,0.214,0.163
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.686,0.637,0.689,0.51
"P18","No sabe",0.071,0.131,0.097,0.327
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.265,0.269,0.305,0.154
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.644,0.58,0.618,0.507
"P19","No sabe",0.091,0.151,0.077,0.339
"P20","Las montañas",0.235,0.211,0.175,0.155
"P20","El campo",0.325,0.397,0.364,0.302
"P20","El agua",0.067,0.076,0.058,0.074
"P20","El aire",0.072,0.034,0.089,0.057
"P20","Los bosques",0.009,0.023,0.01,0.032
"P20","Los humedales",0.025,0.02,0.013,0.005
"P20","No sabe",0.267,0.239,0.291,0.375
"P21","El desempleo",0.059,0.049,0.11,0.033
"P21","La corrupción",0.429,0.299,0.338,0.269
"P21","La inseguridad",0.102,0.113,0.106,0.13
"P21","La inflación",0.23,0.309,0.223,0.348
"P21","El precio del dólar",0.027,0.022,0.028,0.013
"P21","La pobreza",0.027,0.101,0.04,0.04
"P21","El narcotráfico",0.068,0.046,0.068,0.052
"P21","Las tarifas",0.019,0.006,0.033,0.012
"P21","Otro",0.036,0.046,0.032,0.066
"P21","No sabe",0.003,0.009,0.022,0.037
"P24","Si",0.742,0.719,0.713,0.419
"P24","No",0.125,0.168,0.135,0.161
"P24","No sabe",0.133,0.113,0.152,0.42
"P25","Mucho",0.763,0.699,0.739,0.512
"P25","Algo",0.173,0.185,0.171,0.21
"P25","Poco",0.045,0.087,0.03,0.145
"P25","Nada",0.019,0.029,0.06,0.133
