"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"El desempleo",0.061,0.052,0.071,0.093,0.049,0.07,0.041,0.088,0.057,0.037,0.049,0.089,0.113,0.054
"La corrupción",0.353,0.362,0.344,0.294,0.367,0.36,0.38,0.317,0.364,0.379,0.354,0.396,0.36,0.335
"La inseguridad",0.109,0.121,0.098,0.068,0.112,0.125,0.129,0.171,0.087,0.069,0.091,0.111,0.024,0.134
"La inflación",0.268,0.288,0.248,0.313,0.279,0.249,0.218,0.224,0.273,0.31,0.29,0.181,0.298,0.279
"El precio del dólar",0.024,0.024,0.024,0.012,0.027,0.03,0.023,0.023,0.03,0.017,0.024,0.013,0.051,0.025
"La pobreza",0.056,0.061,0.05,0.077,0.052,0.045,0.052,0.053,0.057,0.056,0.054,0.061,0.048,0.055
"El narcotráfico",0.059,0.047,0.071,0.054,0.05,0.047,0.097,0.056,0.064,0.055,0.056,0.087,0.006,0.057
"Las tarifas",0.016,0.016,0.016,0.016,0.016,0.014,0.021,0.031,0.01,0.009,0.018,0.024,0.062,0.007
"Otro",0.042,0.025,0.058,0.059,0.037,0.051,0.021,0.025,0.047,0.054,0.053,0.019,0.038,0.042
"No sabe",0.012,0.004,0.02,0.014,0.011,0.009,0.018,0.012,0.011,0.014,0.011,0.019,0,0.012
