"var","categoria","La nación","La provincia","El municipio","No sabe"
"P04","Gran excedente habitual",0.011,0.006,0.013,0.022
"P04","Gran excedente excepcional",0.002,0.007,0.008,0.006
"P04","Pequeño excedente habitual",0.054,0.046,0.052,0.032
"P04","Pequeño excedente excepcional",0.056,0.057,0.063,0.043
"P04","Alcanza gastos familia",0.141,0.152,0.123,0.133
"P04","No alcanza gastos familia",0.114,0.171,0.163,0.19
"P04","Solo NBFamiliares",0.257,0.31,0.267,0.255
"P04","No alcanza NBFamiliares",0.355,0.242,0.309,0.285
"P04","No sabe",0.01,0.009,0.002,0.034
"P05","Sin deuda",0.297,0.244,0.303,0.352
"P05","Menos de 10%",0.172,0.248,0.128,0.156
"P05","Entre 10 y 20%",0.159,0.127,0.162,0.148
"P05","Entre 20 y 30%",0.099,0.151,0.101,0.074
"P05","Entre 30 y 40%",0.103,0.08,0.095,0.05
"P05","Mas del 40%",0.153,0.132,0.195,0.148
"P05","No sabe",0.017,0.018,0.016,0.072
"P06","Mucho",0.257,0.136,0.147,0.099
"P06","Algo",0.406,0.62,0.353,0.279
"P06","Poco",0.221,0.126,0.366,0.28
"P06","Nada",0.116,0.118,0.134,0.342
"P08","La nación",0.345,0.094,0.068,0.064
"P08","La provincia",0.204,0.38,0.125,0.091
"P08","El municipio",0.424,0.477,0.768,0.503
"P08","No sabe",0.027,0.049,0.039,0.342
"P09","La nación",0.529,0.267,0.183,0.26
"P09","La provincia",0.246,0.425,0.313,0.228
"P09","El municipio",0.187,0.234,0.439,0.251
"P09","No sabe",0.038,0.074,0.065,0.261
"P10","La nación",0.566,0.362,0.279,0.24
"P10","La provincia",0.296,0.444,0.322,0.252
"P10","El municipio",0.102,0.14,0.292,0.177
"P10","No sabe",0.036,0.054,0.107,0.331
"P11","La nación",0.595,0.349,0.333,0.327
"P11","La provincia",0.299,0.45,0.347,0.267
"P11","El municipio",0.058,0.127,0.223,0.094
"P11","No sabe",0.048,0.074,0.097,0.312
"P12","Si",0.204,0.176,0.184,0.135
"P12","No",0.796,0.824,0.816,0.865
"P13","Si",0.061,0.081,0.126,0.125
"P13","No",0.786,0.816,0.63,0.528
"P13","No sabe",0.153,0.103,0.244,0.347
"P14","La falta de gestión de los residuos",0.203,0.154,0.23,0.147
"P14","La contaminación del agua",0.321,0.383,0.274,0.149
"P14","Los incendios descontrolados",0.175,0.216,0.228,0.196
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.218,0.174,0.22,0.297
"P14","No sabe",0.083,0.073,0.048,0.211
"P15","Si",0.704,0.599,0.609,0.541
"P15","No",0.197,0.271,0.247,0.206
"P15","No sabe",0.099,0.13,0.144,0.253
"P16","Estaría de acuerdo con esta medida",0.25,0.312,0.214,0.176
"P16","No estaría de acuerdo con esta medida",0.649,0.558,0.674,0.543
"P16","No sabe",0.101,0.13,0.112,0.281
"P17","Si",0.457,0.444,0.437,0.349
"P17","No",0.404,0.436,0.434,0.334
"P17","No sabe",0.139,0.12,0.129,0.317
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.221,0.243,0.246,0.189
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.692,0.667,0.653,0.542
"P18","No sabe",0.087,0.09,0.101,0.269
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.27,0.234,0.291,0.236
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.635,0.647,0.564,0.537
"P19","No sabe",0.095,0.119,0.145,0.227
"P20","Las montañas",0.222,0.23,0.211,0.149
"P20","El campo",0.362,0.396,0.343,0.3
"P20","El agua",0.064,0.088,0.074,0.051
"P20","El aire",0.058,0.03,0.112,0.03
"P20","Los bosques",0.016,0.014,0.012,0.024
"P20","Los humedales",0.012,0.038,0.023,0.01
"P20","No sabe",0.266,0.204,0.225,0.436
"P21","El desempleo",0.046,0.066,0.088,0.054
"P21","La corrupción",0.415,0.312,0.323,0.306
"P21","La inseguridad",0.094,0.157,0.075,0.132
"P21","La inflación",0.252,0.286,0.282,0.261
"P21","El precio del dólar",0.016,0.018,0.034,0.037
"P21","La pobreza",0.062,0.041,0.047,0.07
"P21","El narcotráfico",0.042,0.088,0.063,0.054
"P21","Las tarifas",0.02,0.004,0.026,0.01
"P21","Otro",0.05,0.028,0.034,0.052
"P21","No sabe",0.003,0,0.028,0.024
"P24","Si",0.757,0.668,0.71,0.567
"P24","No",0.117,0.218,0.123,0.153
"P24","No sabe",0.126,0.114,0.167,0.28
"P25","Mucho",0.752,0.673,0.739,0.624
"P25","Algo",0.161,0.227,0.157,0.202
"P25","Poco",0.056,0.066,0.066,0.096
"P25","Nada",0.031,0.034,0.038,0.078
