"var","categoria","Si","No"
"P04","Gran excedente habitual",0.03,0.01
"P04","Gran excedente excepcional",0,0.005
"P04","Pequeño excedente habitual",0.05,0.049
"P04","Pequeño excedente excepcional",0.08,0.05
"P04","Alcanza gastos familia",0.135,0.143
"P04","No alcanza gastos familia",0.171,0.141
"P04","Solo NBFamiliares",0.158,0.3
"P04","No alcanza NBFamiliares",0.375,0.287
"P04","No sabe",0.001,0.015
"P05","Sin deuda",0.323,0.294
"P05","Menos de 10%",0.12,0.181
"P05","Entre 10 y 20%",0.191,0.148
"P05","Entre 20 y 30%",0.091,0.108
"P05","Entre 30 y 40%",0.096,0.09
"P05","Mas del 40%",0.166,0.148
"P05","No sabe",0.013,0.031
"P06","Mucho",0.395,0.135
"P06","Algo",0.386,0.42
"P06","Poco",0.159,0.269
"P06","Nada",0.06,0.176
"P07","La nación",0.434,0.375
"P07","La provincia",0.198,0.206
"P07","El municipio",0.237,0.234
"P07","No sabe",0.131,0.185
"P08","La nación",0.229,0.167
"P08","La provincia",0.238,0.194
"P08","El municipio",0.477,0.545
"P08","No sabe",0.056,0.094
"P09","La nación",0.363,0.346
"P09","La provincia",0.285,0.295
"P09","El municipio",0.267,0.269
"P09","No sabe",0.085,0.09
"P10","La nación",0.467,0.381
"P10","La provincia",0.293,0.341
"P10","El municipio",0.171,0.168
"P10","No sabe",0.069,0.11
"P11","La nación",0.56,0.411
"P11","La provincia",0.282,0.349
"P11","El municipio",0.119,0.115
"P11","No sabe",0.039,0.125
"P13","Si",0.207,0.065
"P13","No",0.7,0.714
"P13","No sabe",0.093,0.221
"P14","La falta de gestión de los residuos",0.206,0.186
"P14","La contaminación del agua",0.331,0.283
"P14","Los incendios descontrolados",0.182,0.203
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.23,0.222
"P14","No sabe",0.051,0.106
"P15","Si",0.685,0.62
"P15","No",0.239,0.222
"P15","No sabe",0.076,0.158
"P16","Estaría de acuerdo con esta medida",0.318,0.224
"P16","No estaría de acuerdo con esta medida",0.601,0.621
"P16","No sabe",0.081,0.155
"P17","Si",0.475,0.421
"P17","No",0.409,0.405
"P17","No sabe",0.116,0.174
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.339,0.2
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.601,0.663
"P18","No sabe",0.06,0.137
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.298,0.253
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.638,0.596
"P19","No sabe",0.064,0.151
"P20","Las montañas",0.222,0.205
"P20","El campo",0.383,0.347
"P20","El agua",0.075,0.068
"P20","El aire",0.096,0.052
"P20","Los bosques",0.037,0.011
"P20","Los humedales",0.019,0.02
"P20","No sabe",0.168,0.297
"P21","El desempleo",0.049,0.064
"P21","La corrupción",0.349,0.354
"P21","La inseguridad",0.092,0.113
"P21","La inflación",0.251,0.272
"P21","El precio del dólar",0.024,0.024
"P21","La pobreza",0.078,0.051
"P21","El narcotráfico",0.075,0.055
"P21","Las tarifas",0.027,0.014
"P21","Otro",0.048,0.04
"P21","No sabe",0.007,0.013
"P24","Si",0.684,0.698
"P24","No",0.17,0.139
"P24","No sabe",0.146,0.163
"P25","Mucho",0.724,0.708
"P25","Algo",0.196,0.177
"P25","Poco",0.042,0.073
"P25","Nada",0.038,0.042
