"var","categoria","Mucho","Algo","Poco","Nada"
"P04","Gran excedente habitual",0.042,0.006,0.009,0.003
"P04","Gran excedente excepcional",0.012,0.004,0.006,0
"P04","Pequeño excedente habitual",0.047,0.052,0.057,0.026
"P04","Pequeño excedente excepcional",0.043,0.062,0.056,0.049
"P04","Alcanza gastos familia",0.138,0.137,0.15,0.114
"P04","No alcanza gastos familia",0.098,0.159,0.167,0.16
"P04","Solo NBFamiliares",0.2,0.303,0.274,0.265
"P04","No alcanza NBFamiliares",0.417,0.269,0.259,0.361
"P04","No sabe",0.003,0.008,0.022,0.022
"P05","Sin deuda",0.478,0.261,0.231,0.292
"P05","Menos de 10%",0.108,0.219,0.158,0.159
"P05","Entre 10 y 20%",0.106,0.132,0.236,0.123
"P05","Entre 20 y 30%",0.079,0.127,0.078,0.118
"P05","Entre 30 y 40%",0.072,0.093,0.107,0.052
"P05","Mas del 40%",0.142,0.144,0.162,0.208
"P05","No sabe",0.015,0.024,0.028,0.048
"P07","La nación",0.545,0.368,0.337,0.267
"P07","La provincia",0.157,0.306,0.105,0.148
"P07","El municipio",0.192,0.197,0.342,0.188
"P07","No sabe",0.106,0.129,0.216,0.397
"P08","La nación",0.23,0.162,0.15,0.196
"P08","La provincia",0.217,0.232,0.164,0.156
"P08","El municipio",0.481,0.547,0.573,0.472
"P08","No sabe",0.072,0.059,0.113,0.176
"P09","La nación",0.35,0.35,0.325,0.358
"P09","La provincia",0.277,0.319,0.286,0.267
"P09","El municipio",0.302,0.27,0.294,0.185
"P09","No sabe",0.071,0.061,0.095,0.19
"P10","La nación",0.457,0.395,0.354,0.411
"P10","La provincia",0.27,0.351,0.378,0.238
"P10","El municipio",0.176,0.172,0.167,0.148
"P10","No sabe",0.097,0.082,0.101,0.203
"P11","La nación",0.458,0.431,0.45,0.4
"P11","La provincia",0.318,0.361,0.35,0.267
"P11","El municipio",0.137,0.122,0.101,0.109
"P11","No sabe",0.087,0.086,0.099,0.224
"P12","Si",0.393,0.17,0.116,0.07
"P12","No",0.607,0.83,0.884,0.93
"P13","Si",0.13,0.099,0.072,0.055
"P13","No",0.731,0.769,0.644,0.639
"P13","No sabe",0.139,0.132,0.284,0.306
"P14","La falta de gestión de los residuos",0.195,0.188,0.184,0.196
"P14","La contaminación del agua",0.313,0.323,0.268,0.215
"P14","Los incendios descontrolados",0.167,0.198,0.232,0.189
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.271,0.227,0.23,0.142
"P14","No sabe",0.054,0.064,0.086,0.258
"P15","Si",0.687,0.673,0.589,0.506
"P15","No",0.233,0.202,0.213,0.311
"P15","No sabe",0.08,0.125,0.198,0.183
"P16","Estaría de acuerdo con esta medida",0.305,0.272,0.216,0.111
"P16","No estaría de acuerdo con esta medida",0.584,0.615,0.62,0.664
"P16","No sabe",0.111,0.113,0.164,0.225
"P17","Si",0.437,0.429,0.435,0.42
"P17","No",0.387,0.427,0.401,0.371
"P17","No sabe",0.176,0.144,0.164,0.209
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.288,0.206,0.212,0.229
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.618,0.693,0.639,0.591
"P18","No sabe",0.094,0.101,0.149,0.18
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.252,0.256,0.264,0.289
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.63,0.666,0.529,0.51
"P19","No sabe",0.118,0.078,0.207,0.201
"P20","Las montañas",0.24,0.216,0.184,0.185
"P20","El campo",0.345,0.368,0.356,0.317
"P20","El agua",0.076,0.053,0.094,0.067
"P20","El aire",0.088,0.059,0.055,0.04
"P20","Los bosques",0.04,0.012,0.006,0.017
"P20","Los humedales",0.019,0.02,0.015,0.025
"P20","No sabe",0.192,0.272,0.29,0.349
"P21","El desempleo",0.036,0.072,0.063,0.059
"P21","La corrupción",0.4,0.354,0.358,0.278
"P21","La inseguridad",0.095,0.119,0.086,0.139
"P21","La inflación",0.22,0.291,0.253,0.286
"P21","El precio del dólar",0.046,0.025,0.013,0.011
"P21","La pobreza",0.045,0.045,0.078,0.06
"P21","El narcotráfico",0.07,0.049,0.059,0.073
"P21","Las tarifas",0.037,0.012,0.011,0.015
"P21","Otro",0.045,0.029,0.05,0.062
"P21","No sabe",0.006,0.004,0.029,0.017
"P24","Si",0.721,0.735,0.712,0.507
"P24","No",0.147,0.14,0.108,0.224
"P24","No sabe",0.132,0.125,0.18,0.269
"P25","Mucho",0.759,0.741,0.684,0.605
"P25","Algo",0.159,0.185,0.203,0.153
"P25","Poco",0.047,0.06,0.072,0.109
"P25","Nada",0.035,0.014,0.041,0.133
