"var","categoria","Estaría de acuerdo con esta medida","No estaría de acuerdo con esta medida","No sabe"
"P04","Gran excedente habitual",0.022,0.01,0.02
"P04","Gran excedente excepcional",0,0.008,0
"P04","Pequeño excedente habitual",0.05,0.055,0.04
"P04","Pequeño excedente excepcional",0.059,0.059,0.042
"P04","Alcanza gastos familia",0.126,0.147,0.131
"P04","No alcanza gastos familia",0.114,0.16,0.193
"P04","Solo NBFamiliares",0.272,0.276,0.251
"P04","No alcanza NBFamiliares",0.343,0.279,0.273
"P04","No sabe",0.014,0.006,0.05
"P05","Sin deuda",0.245,0.312,0.324
"P05","Menos de 10%",0.242,0.154,0.153
"P05","Entre 10 y 20%",0.17,0.154,0.136
"P05","Entre 20 y 30%",0.093,0.109,0.111
"P05","Entre 30 y 40%",0.064,0.105,0.059
"P05","Mas del 40%",0.159,0.149,0.136
"P05","No sabe",0.027,0.017,0.081
"P06","Mucho",0.232,0.173,0.144
"P06","Algo",0.485,0.428,0.345
"P06","Poco",0.217,0.245,0.283
"P06","Nada",0.066,0.154,0.228
"P07","La nación",0.399,0.404,0.274
"P07","La provincia",0.264,0.184,0.188
"P07","El municipio",0.209,0.257,0.187
"P07","No sabe",0.128,0.155,0.351
"P08","La nación",0.229,0.167,0.118
"P08","La provincia",0.221,0.204,0.117
"P08","El municipio",0.49,0.567,0.569
"P08","No sabe",0.06,0.062,0.196
"P09","La nación",0.368,0.363,0.271
"P09","La provincia",0.256,0.322,0.231
"P09","El municipio",0.303,0.266,0.3
"P09","No sabe",0.073,0.049,0.198
"P10","La nación",0.38,0.415,0.289
"P10","La provincia",0.349,0.335,0.329
"P10","El municipio",0.196,0.17,0.167
"P10","No sabe",0.075,0.08,0.215
"P11","La nación",0.443,0.483,0.274
"P11","La provincia",0.316,0.337,0.388
"P11","El municipio",0.13,0.109,0.095
"P11","No sabe",0.111,0.071,0.243
"P12","Si",0.242,0.178,0.105
"P12","No",0.758,0.822,0.895
"P13","Si",0.114,0.091,0.062
"P13","No",0.754,0.733,0.587
"P13","No sabe",0.132,0.176,0.351
"P14","La falta de gestión de los residuos",0.184,0.201,0.127
"P14","La contaminación del agua",0.322,0.3,0.218
"P14","Los incendios descontrolados",0.181,0.209,0.193
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.244,0.215,0.284
"P14","No sabe",0.069,0.075,0.178
"P15","Si",0.841,0.596,0.439
"P15","No",0.116,0.285,0.156
"P15","No sabe",0.043,0.119,0.405
"P17","Si",0.451,0.464,0.247
"P17","No",0.392,0.44,0.272
"P17","No sabe",0.157,0.096,0.481
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.259,0.229,0.152
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.644,0.686,0.513
"P18","No sabe",0.097,0.085,0.335
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.251,0.288,0.164
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.668,0.606,0.479
"P19","No sabe",0.081,0.106,0.357
"P20","Las montañas",0.214,0.228,0.11
"P20","El campo",0.433,0.355,0.207
"P20","El agua",0.07,0.055,0.131
"P20","El aire",0.029,0.076,0.047
"P20","Los bosques",0.03,0.009,0.025
"P20","Los humedales",0.018,0.022,0.01
"P20","No sabe",0.206,0.255,0.47
"P21","El desempleo",0.079,0.061,0.031
"P21","La corrupción",0.291,0.379,0.346
"P21","La inseguridad",0.135,0.098,0.114
"P21","La inflación",0.258,0.282,0.22
"P21","El precio del dólar",0.017,0.026,0.029
"P21","La pobreza",0.082,0.045,0.055
"P21","El narcotráfico",0.065,0.041,0.126
"P21","Las tarifas",0.01,0.022,0.004
"P21","Otro",0.049,0.041,0.032
"P21","No sabe",0.014,0.005,0.043
"P24","Si",0.71,0.727,0.528
"P24","No",0.151,0.146,0.129
"P24","No sabe",0.139,0.127,0.343
"P25","Mucho",0.764,0.709,0.624
"P25","Algo",0.155,0.196,0.159
"P25","Poco",0.062,0.059,0.112
"P25","Nada",0.019,0.036,0.105
