"var","categoria","El desempleo","La corrupción","La inseguridad","La inflación","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P04","Gran excedente habitual",0,0.007,0.04,0.024,0,0,0.052,0,0.02,0
"P04","Gran excedente excepcional",0,0,0,0.01,0,0.009,0,0,0.004,0
"P04","Pequeño excedente habitual",0.107,0.025,0.007,0.069,0.116,0.115,0.031,0,0.102,0
"P04","Pequeño excedente excepcional",0.034,0.037,0.037,0.074,0.091,0.208,0.03,0.099,0.116,0.032
"P04","Alcanza gastos familia",0.149,0.113,0.075,0.182,0.161,0.171,0.117,0.204,0.241,0.057
"P04","No alcanza gastos familia",0.072,0.157,0.227,0.158,0.128,0.108,0.13,0.009,0.089,0.266
"P04","Solo NBFamiliares",0.286,0.307,0.342,0.238,0.349,0.183,0.28,0.442,0.207,0.21
"P04","No alcanza NBFamiliares",0.352,0.341,0.27,0.228,0.155,0.146,0.336,0.246,0.221,0.419
"P04","No sabe",0,0.013,0.002,0.017,0,0.06,0.024,0,0,0.016
"P05","Sin deuda",0.207,0.262,0.296,0.313,0.381,0.337,0.303,0.226,0.408,0.498
"P05","Menos de 10%",0.235,0.19,0.231,0.166,0.139,0.087,0.231,0.298,0.081,0.126
"P05","Entre 10 y 20%",0.137,0.15,0.223,0.141,0.047,0.246,0.118,0.259,0.124,0.316
"P05","Entre 20 y 30%",0.13,0.104,0.065,0.094,0.26,0.098,0.113,0.101,0.169,0.041
"P05","Entre 30 y 40%",0.046,0.115,0.072,0.105,0.064,0.042,0.019,0.081,0.053,0
"P05","Mas del 40%",0.244,0.146,0.076,0.163,0.057,0.135,0.167,0.018,0.154,0.019
"P05","No sabe",0.001,0.033,0.037,0.018,0.052,0.055,0.049,0.017,0.011,0
"P06","Mucho",0.106,0.203,0.156,0.147,0.345,0.147,0.213,0.402,0.192,0.082
"P06","Algo",0.508,0.436,0.472,0.471,0.458,0.354,0.364,0.307,0.305,0.134
"P06","Poco",0.252,0.25,0.194,0.232,0.134,0.348,0.247,0.161,0.296,0.581
"P06","Nada",0.134,0.111,0.178,0.15,0.063,0.151,0.176,0.13,0.207,0.203
"P07","La nación",0.283,0.448,0.329,0.359,0.253,0.425,0.273,0.463,0.452,0.112
"P07","La provincia",0.222,0.184,0.299,0.222,0.154,0.154,0.311,0.053,0.141,0
"P07","El municipio",0.343,0.218,0.164,0.251,0.331,0.203,0.257,0.38,0.195,0.551
"P07","No sabe",0.152,0.15,0.208,0.168,0.262,0.218,0.159,0.104,0.212,0.337
"P08","La nación",0.251,0.199,0.221,0.14,0.066,0.095,0.258,0.024,0.238,0.015
"P08","La provincia",0.208,0.223,0.191,0.18,0.223,0.117,0.182,0.238,0.199,0.027
"P08","El municipio",0.457,0.524,0.467,0.601,0.579,0.724,0.435,0.705,0.474,0.637
"P08","No sabe",0.084,0.054,0.121,0.079,0.132,0.064,0.125,0.033,0.089,0.321
"P09","La nación",0.356,0.363,0.433,0.356,0.3,0.258,0.384,0.087,0.358,0.111
"P09","La provincia",0.214,0.288,0.218,0.327,0.316,0.417,0.166,0.082,0.42,0.064
"P09","El municipio",0.344,0.291,0.224,0.235,0.366,0.276,0.345,0.583,0.163,0.536
"P09","No sabe",0.086,0.058,0.125,0.082,0.018,0.049,0.105,0.248,0.059,0.289
