"var","categoria","Estaría de acuerdo con la explotación de recursos naturales","No estaría de acuerdo con la explotación de recursos naturales","No sabe"
"P04","Gran excedente habitual",0.043,0.005,0.023
"P04","Gran excedente excepcional",0.011,0.001,0.003
"P04","Pequeño excedente habitual",0.079,0.047,0.02
"P04","Pequeño excedente excepcional",0.069,0.055,0.068
"P04","Alcanza gastos familia",0.142,0.141,0.097
"P04","No alcanza gastos familia",0.171,0.144,0.203
"P04","Solo NBFamiliares",0.205,0.307,0.237
"P04","No alcanza NBFamiliares",0.272,0.285,0.329
"P04","No sabe",0.008,0.015,0.02
"P05","Sin deuda",0.281,0.289,0.32
"P05","Menos de 10%",0.151,0.2,0.133
"P05","Entre 10 y 20%",0.214,0.135,0.171
"P05","Entre 20 y 30%",0.104,0.115,0.075
"P05","Entre 30 y 40%",0.075,0.088,0.09
"P05","Mas del 40%",0.163,0.145,0.151
"P05","No sabe",0.012,0.028,0.06
"P06","Mucho",0.23,0.171,0.138
"P06","Algo",0.396,0.461,0.358
"P06","Poco",0.231,0.24,0.297
"P06","Nada",0.143,0.128,0.207
"P07","La nación",0.373,0.406,0.271
"P07","La provincia",0.222,0.211,0.151
"P07","El municipio",0.26,0.239,0.197
"P07","No sabe",0.145,0.144,0.381
"P08","La nación",0.196,0.184,0.142
"P08","La provincia",0.17,0.196,0.208
"P08","El municipio",0.562,0.554,0.46
"P08","No sabe",0.072,0.066,0.19
"P09","La nación",0.326,0.389,0.236
"P09","La provincia",0.314,0.279,0.29
"P09","El municipio",0.276,0.274,0.28
"P09","No sabe",0.084,0.058,0.194
"P10","La nación",0.416,0.407,0.225
"P10","La provincia",0.347,0.331,0.362
"P10","El municipio",0.161,0.18,0.134
"P10","No sabe",0.076,0.082,0.279
"P11","La nación",0.479,0.47,0.246
"P11","La provincia",0.346,0.331,0.357
"P11","El municipio",0.124,0.109,0.092
"P11","No sabe",0.051,0.09,0.305
"P12","Si",0.275,0.169,0.09
"P12","No",0.725,0.831,0.91
"P13","Si",0.119,0.086,0.101
"P13","No",0.749,0.756,0.454
"P13","No sabe",0.132,0.158,0.445
"P14","La falta de gestión de los residuos",0.274,0.163,0.154
"P14","La contaminación del agua",0.277,0.317,0.191
"P14","Los incendios descontrolados",0.176,0.201,0.256
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.186,0.255,0.18
"P14","No sabe",0.087,0.064,0.219
"P15","Si",0.489,0.705,0.529
"P15","No",0.398,0.174,0.186
"P15","No sabe",0.113,0.121,0.285
"P16","Estaría de acuerdo con esta medida",0.281,0.242,0.193
"P16","No estaría de acuerdo con esta medida",0.626,0.649,0.429
"P16","No sabe",0.093,0.109,0.378
"P17","Si",0.784,0.349,0.286
"P17","No",0.138,0.539,0.168
"P17","No sabe",0.078,0.112,0.546
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.682,0.135,0.154
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.247,0.787,0.289
"P19","No sabe",0.071,0.078,0.557
"P20","Las montañas",0.365,0.17,0.114
"P20","El campo",0.356,0.355,0.341
"P20","El agua",0.1,0.052,0.103
"P20","El aire",0.037,0.071,0.051
"P20","Los bosques",0.01,0.018,0.018
"P20","Los humedales",0.017,0.022,0.01
"P20","No sabe",0.115,0.312,0.363
"P21","El desempleo",0.065,0.066,0.032
"P21","La corrupción",0.328,0.372,0.295
"P21","La inseguridad",0.11,0.102,0.144
"P21","La inflación",0.29,0.258,0.278
"P21","El precio del dólar",0.02,0.026,0.024
"P21","La pobreza",0.078,0.046,0.066
"P21","El narcotráfico",0.054,0.059,0.067
"P21","Las tarifas",0.028,0.014,0.006
"P21","Otro",0.025,0.048,0.039
"P21","No sabe",0.002,0.009,0.049
"P24","Si",0.61,0.756,0.53
"P24","No",0.252,0.118,0.088
"P24","No sabe",0.138,0.126,0.382
"P25","Mucho",0.521,0.796,0.611
"P25","Algo",0.271,0.146,0.197
"P25","Poco",0.124,0.037,0.125
"P25","Nada",0.084,0.021,0.067
