"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.797,0.05,0.069,0.342,0.229
"P07","Al candidato de Juntos por el Cambio",0.076,0.867,0.135,0.067,0.09
"P07","Al candidato de los liberales - libertarios",0.016,0.048,0.738,0.036,0.093
"P07","Al candidato de la Izquierda",0.024,0.001,0,0.475,0.004
"P07","A otro candidato",0.034,0.004,0.023,0.038,0.192
"P07","No sabe",0.053,0.03,0.035,0.042,0.392
"P08","A Julio Zamora por el Frente de Todos",0.614,0.093,0.098,0.29,0.259
"P08","A Malena Galmarini por el Frente de Todos",0.204,0.076,0.031,0.041,0.082
"P08","A Segundo Cernadas por Cambiemos",0.115,0.631,0.238,0.047,0.081
"P08","A Nicolás Massot por Cambiemos",0.012,0.151,0.083,0.089,0.027
"P08","Al candidato de los liberales libertarios",0.003,0.01,0.494,0.036,0.032
"P08","A Paula Akerfeld por el Frente de Izquierda",0.026,0.005,0.002,0.369,0.105
"P08","No sabe",0.026,0.034,0.054,0.128,0.414
"P10","A Julio Zamora por el Frente de Todos",0.72,0.111,0.084,0.316,0.348
"P10","A Segundo Cernadas por Cambiemos",0.086,0.769,0.156,0.038,0.128
"P10","Al candidato de los liberales libertarios",0.082,0.06,0.647,0.08,0.043
"P10","A Paula Akerfeld por el Frente de Izquierda",0.044,0.007,0,0.44,0.062
"P10","No sabe",0.068,0.053,0.113,0.126,0.419
"P12","A Malena Galmarini por el Frente de Todos",0.617,0.125,0.065,0.339,0.133
"P12","A Segundo Cernadas por Cambiemos",0.15,0.756,0.216,0.099,0.185
"P12","Al candidato de los liberales libertarios",0.03,0.036,0.62,0,0.101
"P12","A Paula Akerfeld por el Frente de Izquierda",0.051,0.003,0.009,0.33,0.014
"P12","No sabe",0.152,0.08,0.09,0.232,0.567
"P14","Muy buena",0.235,0.088,0.028,0.031,0.064
"P14","Buena",0.299,0.063,0.037,0.263,0.089
"P14","Ni buena ni mala",0.27,0.103,0.189,0.15,0.31
"P14","Mala",0.068,0.25,0.171,0.269,0.214
"P14","Muy mala",0.082,0.466,0.553,0.277,0.196
"P14","No sabe",0.046,0.03,0.022,0.01,0.127
"P15","Muy buena",0.38,0.097,0.035,0.08,0.192
"P15","Buena",0.324,0.172,0.097,0.287,0.197
"P15","Ni buena ni mala",0.197,0.225,0.219,0.155,0.306
"P15","Mala",0.04,0.254,0.325,0.172,0.153
"P15","Muy mala",0.032,0.225,0.304,0.234,0.045
"P15","No sabe",0.027,0.027,0.02,0.072,0.107
"P16","Muy buena",0.09,0.381,0.16,0.059,0.066
"P16","Buena",0.063,0.257,0.176,0.083,0.11
"P16","Ni buena ni mala",0.268,0.168,0.371,0.303,0.528
"P16","Mala",0.23,0.069,0.087,0.136,0.082
"P16","Muy mala",0.25,0.084,0.122,0.271,0.067
"P16","No sabe",0.099,0.041,0.084,0.148,0.147
"P17","Muy buena",0.02,0.019,0.022,0,0.006
"P17","Buena",0.061,0.082,0.051,0.046,0.018
"P17","Ni buena ni mala",0.353,0.358,0.357,0.237,0.29
"P17","Mala",0.079,0.097,0.049,0.061,0.073
"P17","Muy mala",0.072,0.049,0.085,0.098,0.084
"P17","No sabe",0.415,0.395,0.436,0.558,0.529
"P18","Muy buena",0.024,0.2,0.013,0.045,0.009
"P18","Buena",0.075,0.214,0.099,0.171,0.048
"P18","Ni buena ni mala",0.327,0.27,0.43,0.166,0.339
"P18","Mala",0.117,0.093,0.047,0.091,0.09
"P18","Muy mala",0.175,0.023,0.112,0.133,0.046
"P18","No sabe",0.282,0.2,0.299,0.394,0.468
"P19","Muy buena",0.364,0.074,0.06,0.125,0.147
"P19","Buena",0.342,0.159,0.099,0.296,0.222
"P19","Ni buena ni mala",0.17,0.274,0.351,0.24,0.382
"P19","Mala",0.049,0.305,0.317,0.138,0.101
"P19","Muy mala",0.051,0.184,0.154,0.199,0.089
"P19","No sabe",0.024,0.004,0.019,0.002,0.059
"P20","Que continúe el intendente Julio Zamora",0.379,0.048,0.06,0.082,0.145
"P20","Que continúe Julio Zamora pero con mejoras",0.357,0.108,0.133,0.371,0.373
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.123,0.146,0.176,0.194,0.211
"P20","Que cambie el intendente Julio Zamora",0.141,0.698,0.631,0.353,0.271
"P21","Es kirchnerista",0.211,0.215,0.184,0.035,0.081
"P21","Forma parte del Frente de Todos",0.414,0.191,0.182,0.378,0.24
"P21","Es un hombre de Massa",0.192,0.092,0.14,0.273,0.125
"P21","Es un peronista independiente de centro",0.058,0.117,0.061,0.036,0.094
"P21","Es un oportunista y está donde le conviene",0.066,0.311,0.373,0.278,0.072
"P21","No sabe",0.059,0.074,0.06,0,0.388
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.135,0.096,0.231,0.218,0.166
"P22","Son aliados tácticos pero lo ocultan",0.127,0.094,0.165,0.424,0.09
"P22","Son adversarios políticos",0.482,0.6,0.338,0.16,0.185
"P22","No sabe",0.256,0.21,0.266,0.198,0.559
"P23","Son lo mismo, ambos son de Massa",0.148,0.29,0.346,0.309,0.116
"P23","Son aliados en el Frente de Todos pero compiten",0.536,0.266,0.235,0.215,0.213
"P23","Son enemigos porque Zamora traicionó a Massa",0.157,0.296,0.244,0.318,0.235
"P23","No sabe",0.159,0.148,0.175,0.158,0.436
"P24","La seguridad",0.189,0.284,0.316,0.034,0.192
"P24","El tránsito",0.147,0.051,0.035,0.102,0.015
"P24","El arreglo de las calles",0.166,0.116,0.031,0.165,0.124
"P24","El estado de las escuelas y la educación",0.105,0.021,0.063,0.028,0.062
"P24","El sistema de salud",0.097,0.102,0.023,0.07,0.04
"P24","El deporte y la cultura",0.079,0.083,0.068,0.11,0.074
"P24","La obra pública",0.086,0.019,0.009,0.013,0.04
"P24","La luminaria",0.052,0.104,0.104,0.363,0.092
"P24","No sabe",0.079,0.22,0.351,0.115,0.361
"P25","La seguridad",0.177,0.22,0.114,0.073,0.13
"P25","El tránsito",0.079,0.147,0.125,0.172,0.12
"P25","El arreglo de las calles",0.112,0.183,0.244,0.097,0.127
"P25","El estado de las escuelas y la educación",0.152,0.109,0.17,0.273,0.111
"P25","El sistema de salud",0.254,0.153,0.154,0.247,0.184
"P25","El deporte y la cultura",0.032,0.005,0.003,0.056,0.034
"P25","La obra pública",0.004,0.063,0.082,0.036,0.024
"P25","La luminaria",0.013,0.011,0.023,0.002,0.056
"P25","No sabe",0.177,0.109,0.085,0.044,0.214
"P26","Agua corriente y cloacas",0.407,0.528,0.445,0.269,0.448
"P26","Energía eléctrica",0.082,0.107,0.097,0.178,0.102
"P26","Red de gas natural",0.119,0.099,0.073,0.025,0.05
"P26","Recolección de residuos",0.082,0.075,0.224,0.262,0.076
"P26","Ninguno",0.31,0.191,0.161,0.266,0.324
"P27","Los robos",0.355,0.256,0.277,0.219,0.285
"P27","El narcotráfico",0.259,0.376,0.389,0.061,0.155
"P27","La ausencia de patrulleros y personal policial",0.13,0.147,0.193,0.057,0.091
"P27","Otro",0.122,0.123,0.107,0.628,0.327
"P27","Ninguno",0.134,0.098,0.034,0.035,0.142
"P34","Muy buena",0.18,0.141,0.014,0,0.067
"P34","Buena",0.233,0.085,0.035,0.05,0.064
"P34","Ni buena ni mala",0.317,0.034,0.043,0.471,0.159
"P34","Mala",0.159,0.083,0.044,0.121,0.19
"P34","Muy mala",0.087,0.657,0.835,0.331,0.496
"P34","No sabe",0.024,0,0.029,0.027,0.024
"P35","Muy buena",0.045,0.336,0.171,0.009,0.085
"P35","Buena",0.034,0.268,0.147,0.067,0.178
"P35","Ni buena ni mala",0.106,0.156,0.269,0,0.21
"P35","Mala",0.211,0.105,0.266,0.08,0.215
"P35","Muy mala",0.604,0.135,0.127,0.844,0.272
"P35","No sabe",0,0,0.02,0,0.04
"P36","Muy buena",0.472,0.12,0.024,0.064,0.089
"P36","Buena",0.142,0.035,0.005,0.292,0.074
"P36","Ni buena ni mala",0.108,0.007,0.02,0.162,0.135
"P36","Mala",0.091,0.06,0.085,0.012,0.134
"P36","Muy mala",0.187,0.75,0.847,0.47,0.513
"P36","No sabe",0,0.028,0.019,0,0.055
"P37","Muy buena",0.045,0.27,0.096,0.048,0.084
"P37","Buena",0.08,0.362,0.209,0.101,0.223
"P37","Ni buena ni mala",0.18,0.202,0.176,0.056,0.292
"P37","Mala",0.236,0.093,0.149,0.41,0.123
"P37","Muy mala",0.428,0.056,0.343,0.385,0.192
"P37","No sabe",0.031,0.017,0.027,0,0.086
"P38","Muy buena",0.099,0.078,0.002,0,0.088
"P38","Buena",0.331,0.094,0.053,0.12,0.125
"P38","Ni buena ni mala",0.276,0.067,0.142,0.035,0.215
"P38","Mala",0.14,0.169,0.192,0.526,0.203
"P38","Muy mala",0.123,0.587,0.592,0.319,0.31
"P38","No sabe",0.031,0.005,0.019,0,0.059
"P39","Muy buena",0.043,0.527,0.274,0.068,0.16
"P39","Buena",0.03,0.278,0.421,0,0.153
"P39","Ni buena ni mala",0.091,0.05,0.15,0,0.248
"P39","Mala",0.245,0.012,0.056,0.154,0.125
"P39","Muy mala",0.535,0.12,0.071,0.763,0.23
"P39","No sabe",0.056,0.013,0.028,0.015,0.084
"P40","Muy buena",0.052,0.123,0.665,0.051,0.042
"P40","Buena",0.022,0.256,0.206,0.04,0.163
"P40","Ni buena ni mala",0.136,0.357,0.065,0.129,0.379
"P40","Mala",0.183,0.102,0.03,0.012,0.118
"P40","Muy mala",0.556,0.118,0.015,0.753,0.226
"P40","No sabe",0.051,0.044,0.019,0.015,0.072
