"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Al candidato del Frente de Todos",0.28,0.205,0.412,0.275,0.438
"P07","Al candidato de Juntos por el Cambio",0.398,0.355,0.45,0.251,0.228
"P07","Al candidato de los liberales - libertarios",0.167,0.19,0.057,0.268,0.123
"P07","Al candidato de la Izquierda",0.02,0.016,0,0.068,0.022
"P07","A otro candidato",0.04,0.16,0.014,0.038,0.072
"P07","No sabe",0.095,0.074,0.067,0.1,0.117
"P08","A Julio Zamora por el Frente de Todos",0.244,0.24,0.375,0.244,0.377
"P08","A Malena Galmarini por el Frente de Todos",0.12,0.085,0.119,0.089,0.095
"P08","A Segundo Cernadas por Cambiemos",0.338,0.284,0.274,0.291,0.217
"P08","A Nicolás Massot por Cambiemos",0.088,0.041,0.124,0.081,0.042
"P08","Al candidato de los liberales libertarios",0.093,0.159,0.049,0.135,0.057
"P08","A Paula Akerfeld por el Frente de Izquierda",0.04,0.075,0.007,0.034,0.036
"P08","No sabe",0.077,0.116,0.052,0.126,0.176
"P10","A Julio Zamora por el Frente de Todos",0.322,0.243,0.446,0.259,0.416
"P10","A Segundo Cernadas por Cambiemos",0.368,0.377,0.28,0.321,0.252
"P10","Al candidato de los liberales libertarios",0.169,0.208,0.111,0.196,0.125
"P10","A Paula Akerfeld por el Frente de Izquierda",0.04,0.062,0.007,0.055,0.035
"P10","No sabe",0.101,0.11,0.156,0.169,0.172
"P12","A Malena Galmarini por el Frente de Todos",0.27,0.244,0.313,0.235,0.293
"P12","A Segundo Cernadas por Cambiemos",0.379,0.473,0.389,0.356,0.287
"P12","Al candidato de los liberales libertarios",0.153,0.173,0.093,0.144,0.121
"P12","A Paula Akerfeld por el Frente de Izquierda",0.028,0.023,0.032,0.049,0.032
"P12","No sabe",0.17,0.087,0.173,0.216,0.267
"P14","Muy buena",0.124,0.05,0.088,0.123,0.141
"P14","Buena",0.138,0.253,0.094,0.108,0.155
"P14","Ni buena ni mala",0.202,0.19,0.326,0.103,0.213
"P14","Mala",0.188,0.192,0.16,0.164,0.161
"P14","Muy mala",0.314,0.285,0.21,0.437,0.284
"P14","No sabe",0.034,0.03,0.122,0.065,0.046
"P15","Muy buena",0.179,0.128,0.169,0.063,0.294
"P15","Buena",0.222,0.39,0.146,0.19,0.188
"P15","Ni buena ni mala",0.227,0.209,0.329,0.201,0.213
"P15","Mala",0.195,0.128,0.15,0.171,0.182
"P15","Muy mala",0.153,0.127,0.122,0.294,0.081
"P15","No sabe",0.024,0.018,0.084,0.081,0.042
"P16","Muy buena",0.228,0.185,0.143,0.177,0.134
"P16","Buena",0.183,0.261,0.128,0.147,0.098
"P16","Ni buena ni mala",0.294,0.396,0.25,0.26,0.299
"P16","Mala",0.101,0.079,0.264,0.136,0.132
"P16","Muy mala",0.101,0.049,0.143,0.21,0.228
"P16","No sabe",0.093,0.03,0.072,0.07,0.109
"P17","Muy buena",0.014,0.012,0.015,0.007,0.027
"P17","Buena",0.102,0.074,0.014,0.019,0.026
"P17","Ni buena ni mala",0.333,0.426,0.32,0.365,0.308
"P17","Mala",0.083,0.066,0.139,0.077,0.055
"P17","Muy mala",0.065,0.054,0.015,0.071,0.115
"P17","No sabe",0.403,0.368,0.497,0.461,0.469
"P18","Muy buena",0.107,0.038,0.123,0.028,0.042
"P18","Buena",0.099,0.245,0.108,0.241,0.085
"P18","Ni buena ni mala",0.36,0.403,0.238,0.255,0.287
"P18","Mala",0.112,0.059,0.154,0.069,0.055
"P18","Muy mala",0.054,0.099,0.125,0.123,0.131
"P18","No sabe",0.268,0.156,0.252,0.284,0.4
"P19","Muy buena",0.13,0.12,0.102,0.097,0.334
"P19","Buena",0.229,0.309,0.264,0.198,0.186
"P19","Ni buena ni mala",0.261,0.318,0.39,0.252,0.227
"P19","Mala",0.217,0.163,0.209,0.172,0.15
"P19","Muy mala",0.143,0.09,0.035,0.211,0.088
"P19","No sabe",0.02,0,0,0.07,0.015
"P20","Que continúe el intendente Julio Zamora",0.149,0.102,0.153,0.022,0.303
"P20","Que continúe Julio Zamora pero con mejoras",0.23,0.394,0.179,0.208,0.252
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.155,0.076,0.209,0.218,0.145
"P20","Que cambie el intendente Julio Zamora",0.466,0.428,0.459,0.552,0.3
"P21","Es kirchnerista",0.228,0.085,0.287,0.074,0.132
"P21","Forma parte del Frente de Todos",0.24,0.414,0.196,0.257,0.316
"P21","Es un hombre de Massa",0.134,0.123,0.133,0.149,0.16
"P21","Es un peronista independiente de centro",0.076,0.161,0.082,0.089,0.086
"P21","Es un oportunista y está donde le conviene",0.199,0.148,0.15,0.358,0.182
"P21","No sabe",0.123,0.069,0.152,0.073,0.124
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.136,0.107,0.277,0.234,0.101
"P22","Son aliados tácticos pero lo ocultan",0.083,0.113,0.166,0.198,0.185
"P22","Son adversarios políticos",0.499,0.495,0.317,0.361,0.356
"P22","No sabe",0.282,0.285,0.24,0.207,0.358
"P23","Son lo mismo, ambos son de Massa",0.254,0.249,0.192,0.216,0.18
"P23","Son aliados en el Frente de Todos pero compiten",0.33,0.359,0.352,0.357,0.337
"P23","Son enemigos porque Zamora traicionó a Massa",0.248,0.216,0.204,0.246,0.212
"P23","No sabe",0.168,0.176,0.252,0.181,0.271
"P24","La seguridad",0.244,0.299,0.116,0.286,0.217
"P24","El tránsito",0.072,0.168,0.122,0.031,0.055
"P24","El arreglo de las calles",0.07,0.07,0.266,0.108,0.186
"P24","El estado de las escuelas y la educación",0.042,0.044,0.12,0.042,0.096
"P24","El sistema de salud",0.093,0.115,0.046,0.028,0.051
"P24","El deporte y la cultura",0.11,0.067,0.088,0.028,0.052
"P24","La obra pública",0.031,0.049,0.055,0.032,0.055
"P24","La luminaria",0.085,0.044,0.026,0.174,0.116
"P24","No sabe",0.253,0.144,0.161,0.271,0.172
"P25","La seguridad",0.242,0.093,0.09,0.075,0.119
"P25","El tránsito",0.131,0.285,0.038,0.074,0.101
"P25","El arreglo de las calles",0.143,0.152,0.456,0.188,0.066
"P25","El estado de las escuelas y la educación",0.135,0.201,0.019,0.258,0.112
"P25","El sistema de salud",0.151,0.125,0.139,0.243,0.29
"P25","El deporte y la cultura",0.014,0,0,0,0.054
"P25","La obra pública",0.052,0.037,0.036,0.02,0.035
"P25","La luminaria",0.031,0,0,0.056,0.002
"P25","No sabe",0.101,0.107,0.222,0.086,0.221
"P27","Los robos",0.378,0.274,0.349,0.268,0.133
"P27","El narcotráfico",0.304,0.375,0.254,0.251,0.285
"P27","La ausencia de patrulleros y personal policial",0.125,0.108,0.202,0.205,0.117
"P27","Otro",0.155,0.201,0.174,0.253,0.149
"P27","Ninguno",0.038,0.042,0.021,0.023,0.316
"P28","Frente de Todos y el peronismo",0.277,0.256,0.408,0.235,0.387
"P28","Cambiemos",0.376,0.35,0.355,0.223,0.25
"P28","Liberales Libertarios",0.163,0.163,0.135,0.345,0.108
"P28","Izquierda",0.02,0.059,0.009,0.08,0.036
"P28","No sabe",0.164,0.172,0.093,0.117,0.219
"P30","A Alberto Fernández",0.099,0.147,0.132,0.292,0.047
"P30","A Sergio Massa",0.245,0.242,0.412,0.033,0.311
"P30","A algún candidato del peronismo",0.317,0.483,0.382,0.584,0.397
"P30","A algún candidato del kirchnerismo",0.339,0.128,0.074,0.091,0.245
"P31","A Alberto Fernández",0.172,0.046,0,0,0
"P31","A Sergio Massa",0.118,0.339,0.258,0.312,0.194
"P31","A algún candidato del peronismo",0.349,0.471,0.742,0.312,0.327
"P31","A Cristina Fernández de Kirchner",0.361,0.144,0,0.376,0.479
"P32","A Horacio Rodriguez Larreta",0.272,0.333,0,0.135,0.281
"P32","A Mauricio Macri",0.214,0.033,0,0.416,0
"P32","A Patricia Bullrich",0.227,0.399,0.83,0.038,0.344
"P32","A Facundo Manes",0.198,0.211,0.17,0.411,0.158
"P32","A Gerardo Morales",0.089,0.024,0,0,0.217
"P33","Seguro lo votaria",0.271,0.129,0.145,0.067,0.183
"P33","Quizás lo votaría",0.268,0.324,0.145,0.239,0.214
"P33","Nunca lo votaría",0.461,0.547,0.71,0.694,0.603
"P34","Muy buena",0.122,0.01,0.037,0.085,0.184
