"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P07","Al candidato del Frente de Todos",0.145,0.117,0.454
"P07","Al candidato de Juntos por el Cambio",0.393,0.472,0.342
"P07","Al candidato de los liberales - libertarios",0.365,0.195,0.028
"P07","Al candidato de la Izquierda",0.01,0.008,0.04
"P07","A otro candidato",0.006,0.112,0.069
"P07","No sabe",0.081,0.096,0.067
"P08","A Julio Zamora por el Frente de Todos",0.121,0.229,0.34
"P08","A Malena Galmarini por el Frente de Todos",0.106,0.092,0.151
"P08","A Segundo Cernadas por Cambiemos",0.448,0.312,0.247
"P08","A Nicolás Massot por Cambiemos",0.018,0.117,0.091
"P08","Al candidato de los liberales libertarios",0.279,0.088,0.012
"P08","A Paula Akerfeld por el Frente de Izquierda",0.005,0.055,0.043
"P08","No sabe",0.023,0.107,0.116
"P10","A Julio Zamora por el Frente de Todos",0.132,0.235,0.46
"P10","A Segundo Cernadas por Cambiemos",0.359,0.477,0.303
"P10","Al candidato de los liberales libertarios",0.397,0.114,0.078
"P10","A Paula Akerfeld por el Frente de Izquierda",0.01,0.058,0.044
"P10","No sabe",0.102,0.116,0.115
"P12","A Malena Galmarini por el Frente de Todos",0.064,0.209,0.424
"P12","A Segundo Cernadas por Cambiemos",0.451,0.435,0.338
"P12","Al candidato de los liberales libertarios",0.338,0.155,0.033
"P12","A Paula Akerfeld por el Frente de Izquierda",0.014,0.012,0.04
"P12","No sabe",0.133,0.189,0.165
"P14","Muy buena",0.193,0.093,0.106
"P14","Buena",0.095,0.112,0.258
"P14","Ni buena ni mala",0.139,0.185,0.21
"P14","Mala",0.159,0.259,0.149
"P14","Muy mala",0.41,0.322,0.246
"P14","No sabe",0.004,0.029,0.031
"P15","Muy buena",0.161,0.127,0.179
"P15","Buena",0.086,0.247,0.348
"P15","Ni buena ni mala",0.137,0.205,0.249
"P15","Mala",0.269,0.27,0.131
"P15","Muy mala",0.273,0.137,0.072
"P15","No sabe",0.074,0.014,0.021
"P16","Muy buena",0.236,0.235,0.167
"P16","Buena",0.179,0.179,0.219
"P16","Ni buena ni mala",0.208,0.421,0.292
"P16","Mala",0.096,0.016,0.125
"P16","Muy mala",0.14,0.065,0.095
"P16","No sabe",0.141,0.084,0.102
"P17","Muy buena",0.027,0.001,0.024
"P17","Buena",0.102,0.13,0.086
"P17","Ni buena ni mala",0.169,0.389,0.382
"P17","Mala",0.09,0.082,0.079
"P17","Muy mala",0.109,0.017,0.028
"P17","No sabe",0.503,0.381,0.401
"P18","Muy buena",0.134,0.131,0.058
"P18","Buena",0.124,0.096,0.094
"P18","Ni buena ni mala",0.251,0.391,0.393
"P18","Mala",0.072,0.082,0.127
"P18","Muy mala",0.048,0.039,0.097
"P18","No sabe",0.371,0.261,0.231
"P19","Muy buena",0.102,0.156,0.155
"P19","Buena",0.042,0.189,0.394
"P19","Ni buena ni mala",0.265,0.272,0.243
"P19","Mala",0.391,0.245,0.068
"P19","Muy mala",0.134,0.134,0.121
"P19","No sabe",0.066,0.004,0.019
"P20","Que continúe el intendente Julio Zamora",0.135,0.134,0.199
"P20","Que continúe Julio Zamora pero con mejoras",0.132,0.212,0.317
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.151,0.16,0.175
"P20","Que cambie el intendente Julio Zamora",0.582,0.494,0.309
"P21","Es kirchnerista",0.278,0.267,0.179
"P21","Forma parte del Frente de Todos",0.301,0.258,0.248
"P21","Es un hombre de Massa",0.05,0.189,0.218
"P21","Es un peronista independiente de centro",0.133,0.057,0.074
"P21","Es un oportunista y está donde le conviene",0.184,0.155,0.155
"P21","No sabe",0.054,0.074,0.126
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.217,0.116,0.118
"P22","Son aliados tácticos pero lo ocultan",0.101,0.093,0.114
"P22","Son adversarios políticos",0.357,0.525,0.496
"P22","No sabe",0.325,0.266,0.272
"P23","Son lo mismo, ambos son de Massa",0.363,0.164,0.205
"P23","Son aliados en el Frente de Todos pero compiten",0.344,0.313,0.373
"P23","Son enemigos porque Zamora traicionó a Massa",0.164,0.353,0.235
"P23","No sabe",0.129,0.17,0.187
"P24","La seguridad",0.288,0.25,0.198
"P24","El tránsito",0.047,0.047,0.101
"P24","El arreglo de las calles",0.006,0.052,0.137
