"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P08","Empleado sector publico",0.398,0.256,0.188,0.157,0.113
"P08","Empleado sector privado",0.243,0.307,0.368,0.278,0.356
"P08","Changas o trabajos eventuales",0.149,0.194,0.228,0.26,0.286
"P08","Estudiante",0.047,0.03,0.019,0.011,0.103
"P08","Amas de casa",0.048,0.07,0.021,0.071,0.017
"P08","Profesional o independiente",0.04,0.075,0.058,0.071,0.006
"P08","Comerciante, emprendedor o empresario",0.037,0.013,0.058,0.075,0.097
"P08","Trabajador informal",0.009,0.005,0.003,0.014,0
"P08","No tengo trabajo",0.029,0.05,0.057,0.063,0.022
"P09","Siempre",0.342,0.142,0.209,0.15,0.117
"P09","Casi siempre",0.316,0.413,0.311,0.37,0.476
"P09","Casi nunca",0.245,0.318,0.381,0.338,0.174
"P09","Nunca, pero esta es una excepción",0.097,0.127,0.099,0.142,0.233
"P10","Muy buena",0.33,0.125,0.115,0.09,0.131
"P10","Buena",0.195,0.268,0.16,0.223,0.216
"P10","Ni buena ni mala",0.344,0.387,0.365,0.242,0.294
"P10","Mala",0.104,0.192,0.242,0.111,0.08
"P10","Muy mala",0.026,0.025,0.099,0.274,0.007
"P10","No sabe",0.001,0.003,0.019,0.06,0.272
"P11","Muy buena",0.311,0.139,0.15,0.121,0.176
"P11","Buena",0.271,0.399,0.169,0.168,0.252
"P11","Ni buena ni mala",0.275,0.338,0.329,0.238,0.247
"P11","Mala",0.077,0.113,0.221,0.244,0.08
"P11","Muy mala",0.057,0.002,0.113,0.191,0.007
"P11","No sabe",0.009,0.009,0.018,0.038,0.238
"P13","Muy buena",0.301,0.18,0.163,0.094,0.07
"P13","Buena",0.27,0.306,0.149,0.205,0.285
"P13","Ni buena ni mala",0.295,0.312,0.286,0.281,0.322
"P13","Mala",0.096,0.194,0.23,0.145,0.078
"P13","Muy mala",0.038,0.008,0.154,0.238,0.007
"P13","No sabe",0,0,0.018,0.037,0.238
"P14","Muy buena",0.232,0.094,0.026,0.07,0.056
"P14","Buena",0.192,0.23,0.075,0.147,0.182
"P14","Ni buena ni mala",0.245,0.274,0.263,0.176,0.267
"P14","Mala",0.191,0.315,0.344,0.336,0.065
"P14","Muy mala",0.121,0.085,0.279,0.271,0.041
"P14","No sabe",0.019,0.002,0.013,0,0.389
"P15","Muy buena",0.224,0.112,0.042,0.129,0.065
"P15","Buena",0.142,0.282,0.076,0.096,0.225
"P15","Ni buena ni mala",0.355,0.308,0.384,0.211,0.213
"P15","Mala",0.145,0.189,0.285,0.181,0.108
"P15","Muy mala",0.123,0.073,0.191,0.327,0.021
"P15","No sabe",0.011,0.036,0.022,0.056,0.368
"P16","Muy buena",0.285,0.123,0.104,0.137,0.072
