"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.221,0.229,0.212,0.381,0.17,0.144,0.156,0.298,0.201,0.168,0.231,0.229,0.101,0.372,0.211,0.249,0.233,0.211,6
"Buena",0.174,0.189,0.158,0.156,0.189,0.171,0.172,0.091,0.225,0.186,0.14,0.369,0.146,0.116,0.035,0.272,0.169,0.179,6
"Ni buena ni mala",0.237,0.241,0.233,0.174,0.245,0.307,0.236,0.255,0.239,0.215,0.271,0.22,0.138,0.263,0.142,0.287,0.201,0.269,6
"Mala",0.124,0.111,0.137,0.101,0.122,0.148,0.139,0.127,0.131,0.107,0.139,0.067,0.072,0.184,0.19,0.067,0.151,0.099,6
"Muy mala",0.195,0.205,0.185,0.128,0.221,0.204,0.252,0.164,0.152,0.3,0.188,0.087,0.441,0.065,0.366,0.088,0.201,0.19,6
"No sabe",0.049,0.025,0.075,0.06,0.053,0.026,0.045,0.065,0.052,0.024,0.031,0.028,0.102,0,0.056,0.037,0.045,0.052,6
"Positiva",0.395,0.418,0.37,0.537,0.359,0.315,0.328,0.389,0.426,0.354,0.371,0.598,0.247,0.488,0.246,0.521,0.402,0.39,4
"Neutra",0.237,0.241,0.233,0.174,0.245,0.307,0.236,0.255,0.239,0.215,0.271,0.22,0.138,0.263,0.142,0.287,0.201,0.269,4
"Negativa",0.319,0.316,0.322,0.229,0.343,0.352,0.391,0.291,0.283,0.407,0.327,0.154,0.513,0.249,0.556,0.155,0.352,0.289,4
"No sabe",0.049,0.025,0.075,0.06,0.053,0.026,0.045,0.065,0.052,0.024,0.031,0.028,0.102,0,0.056,0.037,0.045,0.052,4
