"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P08","Empleado sector publico",0.395,0.22,0.291,0.013
"P08","Empleado sector privado",0.264,0.322,0.225,0.383
"P08","Changas o trabajos eventuales",0.135,0.21,0.284,0.18
"P08","Estudiante",0.034,0.032,0.085,0.045
"P08","Amas de casa",0.063,0.043,0.037,0.04
"P08","Profesional o independiente",0.026,0.071,0.029,0.028
"P08","Comerciante, emprendedor o empresario",0.04,0.04,0.007,0.311
"P08","Trabajador informal",0.011,0.005,0.01,0
"P08","No tengo trabajo",0.032,0.057,0.032,0
"P09","Siempre",0.302,0.192,0.225,0.25
"P09","Casi siempre",0.34,0.355,0.354,0.121
"P09","Casi nunca",0.258,0.327,0.306,0.243
"P09","Nunca, pero esta es una excepción",0.1,0.126,0.115,0.386
"P10","Muy buena",0.302,0.128,0.181,0.204
"P10","Buena",0.181,0.233,0.227,0.013
"P10","Ni buena ni mala",0.384,0.337,0.292,0.216
"P10","Mala",0.111,0.174,0.146,0.028
"P10","Muy mala",0.015,0.108,0.082,0.046
"P10","No sabe",0.007,0.02,0.072,0.493
"P11","Muy buena",0.272,0.165,0.302,0.013
"P11","Buena",0.286,0.254,0.206,0.087
"P11","Ni buena ni mala",0.325,0.281,0.231,0.313
"P11","Mala",0.068,0.185,0.122,0.169
"P11","Muy mala",0.037,0.096,0.064,0.046
"P11","No sabe",0.012,0.019,0.075,0.372
"P13","Muy buena",0.281,0.148,0.304,0.013
"P13","Buena",0.244,0.257,0.206,0.119
"P13","Ni buena ni mala",0.341,0.288,0.242,0.29
"P13","Mala",0.103,0.176,0.111,0.16
"P13","Muy mala",0.03,0.113,0.073,0.046
"P13","No sabe",0.001,0.018,0.064,0.372
"P14","Muy buena",0.237,0.08,0.088,0.037
"P14","Buena",0.183,0.154,0.152,0.095
"P14","Ni buena ni mala",0.274,0.244,0.201,0.266
"P14","Mala",0.175,0.296,0.336,0.16
"P14","Muy mala",0.094,0.206,0.16,0.154
"P14","No sabe",0.037,0.02,0.063,0.288
"P15","Muy buena",0.238,0.1,0.105,0.033
"P15","Buena",0.129,0.167,0.115,0.119
"P15","Ni buena ni mala",0.339,0.315,0.362,0.29
"P15","Mala",0.149,0.215,0.131,0.141
"P15","Muy mala",0.113,0.174,0.166,0.045
"P15","No sabe",0.032,0.029,0.121,0.372
"P16","Muy buena",0.314,0.105,0.167,0.013
"P16","Buena",0.2,0.172,0.153,0.216
"P16","Ni buena ni mala",0.251,0.235,0.28,0.193
"P16","Mala",0.127,0.245,0.143,0.16
"P16","Muy mala",0.059,0.207,0.195,0.046
"P16","No sabe",0.049,0.036,0.062,0.372
"P17","Muy buena",0.325,0.096,0.044,0.033
"P17","Buena",0.317,0.114,0.113,0.063
"P17","Ni buena ni mala",0.24,0.107,0.279,0.224
"P17","Mala",0.056,0.244,0.286,0.141
"P17","Muy mala",0.05,0.424,0.275,0.167
"P17","No sabe",0.012,0.015,0.003,0.372
"P18","Muy buena",0.189,0.429,0.178,0.18
"P18","Buena",0.097,0.262,0.094,0.067
"P18","Ni buena ni mala",0.104,0.141,0.164,0.196
"P18","Mala",0.224,0.083,0.261,0.16
"P18","Muy mala",0.364,0.075,0.285,0.024
"P18","No sabe",0.022,0.01,0.018,0.373
"P20","Muy buena",0.218,0.078,0.056,0.037
"P20","Buena",0.222,0.166,0.104,0.091
"P20","Ni buena ni mala",0.291,0.309,0.346,0.266
"P20","Mala",0.103,0.185,0.188,0.16
"P20","Muy mala",0.093,0.221,0.195,0.158
"P20","No sabe",0.073,0.041,0.111,0.288
"P21","Si",0.614,0.398,0.522,0.065
"P21","No",0.197,0.456,0.242,0.375
"P21","No sabe",0.189,0.146,0.236,0.56
"P23","Gobierno nacional",0.598,0.111,0.299,0.037
"P23","Gobierno provincial",0.288,0.779,0.499,0.261
"P23","No sabe",0.114,0.11,0.202,0.702
"P24","El gobierno anterior de Omar Gutierrez",0.254,0.486,0.242,0.563
"P24","El actual gobierno de Rolo Figueroa",0.33,0.231,0.188,0.346
"P24","No sabe",0.416,0.283,0.57,0.091
"P25","El gobierno anterior de Alberto Fernández",0.28,0.884,0.319,0.392
"P25","El actual gobierno de Javier Milei",0.64,0.047,0.606,0.608
"P25","No sabe",0.08,0.069,0.075,0
"P26","Si",0.86,0.858,0.812,0.424
"P26","No",0.14,0.142,0.188,0.576
"P27","Si",0.622,0.149,0.357,0.286
"P27","No estoy seguro",0.267,0.499,0.362,0.342
"P27","No",0.047,0.267,0.09,0
"P27","No sabe",0.064,0.085,0.191,0.372
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.141,0.316,0.225,0.171
"P28","Investigaciones científicas no declaradas con fines secretos",0.284,0.283,0.298,0.077
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.032,0.229,0.138,0.028
"P28","Otro",0.182,0.045,0.095,0.17
"P28","No sabe",0.361,0.127,0.244,0.554
