"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P08","Empleado sector publico",0.289,0.272,0.291
"P08","Empleado sector privado",0.27,0.33,0.258
"P08","Changas o trabajos eventuales",0.213,0.155,0.229
"P08","Estudiante",0.035,0.035,0.063
"P08","Amas de casa",0.04,0.069,0.023
"P08","Profesional o independiente",0.063,0.036,0.042
"P08","Comerciante, emprendedor o empresario",0.038,0.041,0.071
"P08","Trabajador informal",0.006,0.012,0
"P08","No tengo trabajo",0.046,0.05,0.023
"P09","Siempre",0.282,0.197,0.136
"P09","Casi siempre",0.297,0.395,0.403
"P09","Casi nunca",0.291,0.315,0.281
"P09","Nunca, pero esta es una excepción",0.13,0.093,0.18
"P10","Muy buena",0.195,0.194,0.193
"P10","Buena",0.176,0.27,0.151
"P10","Ni buena ni mala",0.331,0.381,0.279
"P10","Mala",0.164,0.128,0.136
"P10","Muy mala",0.111,0.019,0.077
"P10","No sabe",0.023,0.008,0.164
"P11","Muy buena",0.227,0.192,0.225
"P11","Buena",0.214,0.326,0.207
"P11","Ni buena ni mala",0.264,0.334,0.275
"P11","Mala",0.173,0.105,0.076
"P11","Muy mala",0.104,0.027,0.065
"P11","No sabe",0.018,0.016,0.152
"P13","Muy buena",0.214,0.193,0.226
"P13","Buena",0.236,0.282,0.145
"P13","Ni buena ni mala",0.243,0.368,0.339
"P13","Mala",0.182,0.112,0.074
"P13","Muy mala",0.109,0.042,0.065
"P13","No sabe",0.016,0.003,0.151
"P14","Muy buena",0.176,0.09,0.089
"P14","Buena",0.139,0.214,0.088
"P14","Ni buena ni mala",0.218,0.317,0.15
"P14","Mala",0.275,0.235,0.243
"P14","Muy mala",0.184,0.124,0.189
"P14","No sabe",0.008,0.02,0.241
"P15","Muy buena",0.194,0.101,0.079
"P15","Buena",0.13,0.187,0.088
"P15","Ni buena ni mala",0.277,0.398,0.322
"P15","Mala",0.207,0.164,0.133
"P15","Muy mala",0.164,0.121,0.16
"P15","No sabe",0.028,0.029,0.218
"P16","Muy buena",0.217,0.162,0.062
"P16","Buena",0.15,0.234,0.134
"P16","Ni buena ni mala",0.184,0.336,0.201
"P16","Mala",0.232,0.151,0.154
"P16","Muy mala",0.19,0.089,0.189
"P16","No sabe",0.027,0.028,0.26
"P17","Muy buena",0.203,0.162,0.007
"P17","Buena",0.082,0.331,0.12
"P17","Ni buena ni mala",0.088,0.264,0.247
"P17","Mala",0.253,0.113,0.091
"P17","Muy mala",0.362,0.119,0.445
"P17","No sabe",0.012,0.011,0.09
"P18","Muy buena",0.521,0.097,0.119
"P18","Buena",0.18,0.162,0.306
"P18","Ni buena ni mala",0.112,0.142,0.182
"P18","Mala",0.091,0.246,0.084
"P18","Muy mala",0.079,0.338,0.221
"P18","No sabe",0.017,0.015,0.088
"P20","Muy buena",0.16,0.091,0.055
"P20","Buena",0.126,0.266,0.104
"P20","Ni buena ni mala",0.282,0.338,0.305
"P20","Mala",0.176,0.133,0.151
"P20","Muy mala",0.218,0.107,0.188
"P20","No sabe",0.038,0.065,0.197
"P21","Si",0.431,0.532,0.509
"P21","No",0.417,0.273,0.235
"P21","No sabe",0.152,0.195,0.256
"P23","Gobierno nacional",0.197,0.462,0.142
"P23","Gobierno provincial",0.71,0.405,0.51
"P23","No sabe",0.093,0.133,0.348
"P24","El gobierno anterior de Omar Gutierrez",0.476,0.285,0.471
"P24","El actual gobierno de Rolo Figueroa",0.222,0.324,0.159
"P24","No sabe",0.302,0.391,0.37
"P25","El gobierno anterior de Alberto Fernández",0.822,0.255,0.408
"P25","El actual gobierno de Javier Milei",0.153,0.643,0.543
"P25","No sabe",0.025,0.102,0.049
"P26","Si",0.859,0.824,0.847
"P26","No",0.141,0.176,0.153
"P27","Si",0.284,0.453,0.112
"P27","No estoy seguro",0.414,0.379,0.437
"P27","No",0.251,0.084,0.078
"P27","No sabe",0.051,0.084,0.373
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.349,0.159,0.221
"P28","Investigaciones científicas no declaradas con fines secretos",0.242,0.352,0.217
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.233,0.092,0.137
"P28","Otro",0.054,0.113,0.131
"P28","No sabe",0.122,0.284,0.294
"P29","Es imposible",0.407,0.226,0.137
"P29","Es muy difícil",0.328,0.237,0.292
"P29","Es bastante factible",0.106,0.166,0.065
"P29","Es posible",0.11,0.268,0.223
"P29","No sabe",0.049,0.103,0.283
"P30","Si",0.65,0.206,0.237
"P30","Es probable",0.224,0.206,0.189
"P30","No",0.082,0.467,0.225
"P30","No sabe",0.044,0.121,0.349
"P31","De acuerdo",0.755,0.28,0.541
"P31","Ni de acuerdo ni en desacuerdo",0.134,0.286,0.246
"P31","En desacuerdo",0.084,0.378,0.081
"P31","No sabe",0.027,0.056,0.132
"P32","Si",0.737,0.633,0.654
"P32","No",0.161,0.217,0.13
"P32","No sabe",0.102,0.15,0.216
"P33","Muy de acuerdo",0.384,0.062,0.045
"P33","De acuerdo",0.265,0.166,0.177
"P33","Ni de acuerdo ni en desacuerdo",0.186,0.066,0.282
"P33","En desacuerdo",0.122,0.589,0.319
"P33","Muy en desacuerdo",0.03,0.114,0.058
"P33","No sabe",0.013,0.003,0.119
"P34","Si",0.771,0.663,0.544
"P34","No",0.229,0.337,0.456
"P35","Muy de acuerdo",0.394,0.111,0.067
"P35","De acuerdo",0.253,0.178,0.131
"P35","Ni de acuerdo ni en desacuerdo",0.16,0.098,0.361
"P35","En desacuerdo",0.128,0.463,0.177
"P35","Muy en desacuerdo",0.063,0.143,0.195
"P35","No sabe",0.002,0.007,0.069
"P36","1-Excelente",0.268,0.132,0.177
"P36","2",0.099,0.151,0.137
"P36","3",0.062,0.045,0.096
"P36","4",0.046,0.057,0.064
"P36","5",0.141,0.199,0.113
"P36","6",0.027,0.052,0.007
"P36","7",0.02,0.066,0.024
"P36","8",0.02,0.038,0.058
"P36","9-Pésimo",0.221,0.196,0.124
"P36","No sabe",0.096,0.064,0.2
"P37","1-Excelente",0.211,0.098,0.128
"P37","2",0.127,0.15,0.081
