"var","categoria","Peor","Igual","Mejor","No sabe"
"P08","Empleado sector publico",0.381,0.26,0.234,0.102
"P08","Empleado sector privado",0.275,0.329,0.279,0.279
"P08","Changas o trabajos eventuales",0.138,0.202,0.201,0.339
"P08","Estudiante",0.055,0.02,0.046,0.011
"P08","Amas de casa",0.038,0.064,0.045,0.051
"P08","Profesional o independiente",0.034,0.052,0.07,0.056
"P08","Comerciante, emprendedor o empresario",0.03,0.031,0.061,0.083
"P08","Trabajador informal",0.007,0.003,0.017,0.004
"P08","No tengo trabajo",0.042,0.039,0.047,0.075
"P09","Siempre",0.346,0.227,0.13,0.101
"P09","Casi siempre",0.249,0.438,0.383,0.261
"P09","Casi nunca",0.316,0.22,0.37,0.348
"P09","Nunca, pero esta es una excepción",0.089,0.115,0.117,0.29
"P10","Muy buena",0.234,0.109,0.294,0.086
"P10","Buena",0.099,0.268,0.327,0.105
"P10","Ni buena ni mala",0.297,0.409,0.267,0.518
"P10","Mala",0.211,0.13,0.081,0.136
"P10","Muy mala",0.154,0.045,0.006,0.036
"P10","No sabe",0.005,0.039,0.025,0.119
"P11","Muy buena",0.235,0.09,0.402,0.061
"P11","Buena",0.133,0.35,0.303,0.267
"P11","Ni buena ni mala",0.291,0.341,0.175,0.43
"P11","Mala",0.188,0.121,0.096,0.122
"P11","Muy mala",0.148,0.048,0.006,0.037
"P11","No sabe",0.005,0.05,0.018,0.083
"P13","Muy buena",0.255,0.11,0.33,0.036
"P13","Buena",0.109,0.338,0.332,0.188
"P13","Ni buena ni mala",0.254,0.383,0.204,0.451
"P13","Mala",0.22,0.098,0.079,0.195
"P13","Muy mala",0.16,0.034,0.037,0.047
"P13","No sabe",0.002,0.037,0.018,0.083
"P14","Muy buena",0.241,0.074,0.085,0.062
"P14","Buena",0.101,0.235,0.18,0.086
"P14","Ni buena ni mala",0.189,0.275,0.258,0.382
"P14","Mala",0.199,0.237,0.352,0.285
"P14","Muy mala",0.232,0.147,0.117,0.062
"P14","No sabe",0.038,0.032,0.008,0.123
"P15","Muy buena",0.223,0.114,0.108,0.062
"P15","Buena",0.077,0.207,0.179,0.12
"P15","Ni buena ni mala",0.206,0.367,0.399,0.466
"P15","Mala",0.209,0.154,0.186,0.175
"P15","Muy mala",0.254,0.106,0.087,0.07
"P15","No sabe",0.031,0.052,0.041,0.107
"P16","Muy buena",0.297,0.127,0.128,0.059
"P16","Buena",0.121,0.247,0.145,0.266
"P16","Ni buena ni mala",0.153,0.239,0.347,0.346
"P16","Mala",0.178,0.219,0.196,0.144
"P16","Muy mala",0.205,0.119,0.155,0.053
"P16","No sabe",0.046,0.049,0.029,0.132
"P17","Muy buena",0.28,0.11,0.111,0.093
"P17","Buena",0.172,0.257,0.124,0.096
"P17","Ni buena ni mala",0.167,0.172,0.173,0.184
"P17","Mala",0.117,0.215,0.251,0.125
"P17","Muy mala",0.256,0.23,0.315,0.429
"P17","No sabe",0.008,0.016,0.026,0.073
"P18","Muy buena",0.324,0.255,0.378,0.352
"P18","Buena",0.106,0.286,0.19,0.101
"P18","Ni buena ni mala",0.111,0.144,0.148,0.124
"P18","Mala",0.159,0.143,0.152,0.14
"P18","Muy mala",0.291,0.154,0.113,0.174
"P18","No sabe",0.009,0.018,0.019,0.109
"P20","Muy buena",0.203,0.09,0.089,0.016
"P20","Buena",0.105,0.26,0.178,0.154
"P20","Ni buena ni mala",0.236,0.298,0.365,0.449
"P20","Mala",0.137,0.154,0.192,0.148
"P20","Muy mala",0.265,0.14,0.109,0.115
"P20","No sabe",0.054,0.058,0.067,0.118
"P21","Si",0.423,0.387,0.734,0.327
"P21","No",0.401,0.449,0.156,0.24
"P21","No sabe",0.176,0.164,0.11,0.433
"P23","Gobierno nacional",0.406,0.236,0.266,0.148
"P23","Gobierno provincial",0.499,0.631,0.587,0.6
"P23","No sabe",0.095,0.133,0.147,0.252
"P24","El gobierno anterior de Omar Gutierrez",0.461,0.339,0.474,0.432
"P24","El actual gobierno de Rolo Figueroa",0.266,0.314,0.18,0.1
"P24","No sabe",0.273,0.347,0.346,0.468
"P25","El gobierno anterior de Alberto Fernández",0.376,0.423,0.644,0.016
"P25","El actual gobierno de Javier Milei",0.622,0.437,0.265,0.714
"P25","No sabe",0.002,0.14,0.091,0.27
"P26","Si",0.872,0.784,0.89,0.84
"P26","No",0.128,0.216,0.11,0.16
"P27","Si",0.527,0.236,0.242,0.188
"P27","No estoy seguro",0.278,0.509,0.483,0.269
"P27","No",0.132,0.144,0.18,0.381
"P27","No sabe",0.063,0.111,0.095,0.162
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.323,0.253,0.244,0.193
"P28","Investigaciones científicas no declaradas con fines secretos",0.26,0.273,0.355,0.167
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.112,0.208,0.145,0.213
"P28","Otro",0.072,0.101,0.059,0.131
"P28","No sabe",0.233,0.165,0.197,0.296
"P29","Es imposible",0.404,0.246,0.313,0.174
"P29","Es muy difícil",0.15,0.433,0.315,0.215
"P29","Es bastante factible",0.133,0.106,0.121,0.183
"P29","Es posible",0.239,0.151,0.158,0.154
"P29","No sabe",0.074,0.064,0.093,0.274
"P30","Si",0.403,0.462,0.484,0.345
"P30","Es probable",0.144,0.3,0.225,0.119
"P30","No",0.352,0.169,0.201,0.239
"P30","No sabe",0.101,0.069,0.09,0.297
