"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.181,0.202,0.161,0.333,0.089,0.134,0.198,0.356,0.135,0.1,0.255,0.197,0.113,0.157,0.342,0.121,0.181,0,6
"Buena",0.161,0.175,0.147,0.06,0.17,0.266,0.205,0.116,0.18,0.171,0.169,0.173,0.222,0.147,0.177,0.155,0.161,0,6
"Ni buena ni mala",0.283,0.268,0.297,0.273,0.286,0.275,0.31,0.239,0.334,0.247,0.303,0.323,0.142,0.261,0.263,0.279,0.283,0,6
"Mala",0.164,0.15,0.177,0.14,0.162,0.195,0.175,0.101,0.135,0.257,0.136,0.149,0.121,0.185,0.113,0.182,0.164,0,6
"Muy mala",0.185,0.176,0.195,0.175,0.255,0.112,0.096,0.167,0.172,0.221,0.13,0.158,0.348,0.25,0.06,0.241,0.185,0,6
"No sabe",0.026,0.029,0.023,0.019,0.038,0.018,0.016,0.021,0.044,0.004,0.007,0,0.054,0,0.045,0.022,0.026,0,6
"Positiva",0.342,0.377,0.308,0.393,0.259,0.4,0.403,0.472,0.315,0.271,0.424,0.37,0.335,0.304,0.519,0.276,0.342,0,4
"Neutra",0.283,0.268,0.297,0.273,0.286,0.275,0.31,0.239,0.334,0.247,0.303,0.323,0.142,0.261,0.263,0.279,0.283,0,4
"Negativa",0.349,0.326,0.372,0.315,0.417,0.307,0.271,0.268,0.307,0.478,0.266,0.307,0.469,0.435,0.173,0.423,0.349,0,4
"No sabe",0.026,0.029,0.023,0.019,0.038,0.018,0.016,0.021,0.044,0.004,0.007,0,0.054,0,0.045,0.022,0.026,0,4
