"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.152,0.15,0.155,0.216,0.112,0.13,0.193,0.227,0.128,0.107,0.198,0.241,0.064,0.069,0.234,0.118,0.19,0.119,6
"Buena",0.197,0.209,0.184,0.2,0.198,0.205,0.174,0.17,0.224,0.184,0.221,0.279,0.156,0.049,0.205,0.208,0.149,0.24,6
"Ni buena ni mala",0.305,0.31,0.301,0.229,0.335,0.321,0.352,0.287,0.316,0.31,0.314,0.283,0.39,0.294,0.277,0.326,0.313,0.299,6
"Mala",0.164,0.176,0.15,0.193,0.164,0.138,0.135,0.145,0.16,0.191,0.153,0.087,0.211,0.291,0.128,0.179,0.166,0.161,6
"Muy mala",0.115,0.103,0.128,0.104,0.122,0.129,0.088,0.1,0.109,0.141,0.082,0.075,0.109,0.212,0.09,0.113,0.116,0.114,6
"No sabe",0.067,0.052,0.082,0.058,0.069,0.077,0.058,0.071,0.063,0.067,0.032,0.035,0.07,0.085,0.066,0.056,0.066,0.067,6
"Positiva",0.349,0.359,0.339,0.416,0.31,0.335,0.367,0.397,0.352,0.291,0.419,0.52,0.22,0.118,0.439,0.326,0.339,0.359,4
"Neutra",0.305,0.31,0.301,0.229,0.335,0.321,0.352,0.287,0.316,0.31,0.314,0.283,0.39,0.294,0.277,0.326,0.313,0.299,4
"Negativa",0.279,0.279,0.278,0.297,0.286,0.267,0.223,0.245,0.269,0.332,0.235,0.162,0.32,0.503,0.218,0.292,0.282,0.275,4
"No sabe",0.067,0.052,0.082,0.058,0.069,0.077,0.058,0.071,0.063,0.067,0.032,0.035,0.07,0.085,0.066,0.056,0.066,0.067,4
