"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P08","Empleado sector publico",0.382,0.221,0.216
"P08","Empleado sector privado",0.201,0.327,0.288
"P08","Changas o trabajos eventuales",0.191,0.191,0.241
"P08","Estudiante",0.031,0.04,0.033
"P08","Amas de casa",0.065,0.064,0.07
"P08","Profesional o independiente",0.04,0.069,0.041
"P08","Comerciante, emprendedor o empresario",0.025,0.041,0.049
"P08","Trabajador informal",0.017,0.009,0.005
"P08","No tengo trabajo",0.048,0.038,0.057
"P09","Siempre",0.327,0.173,0.203
"P09","Casi siempre",0.293,0.358,0.332
"P09","Casi nunca",0.275,0.342,0.273
"P09","Nunca, pero esta es una excepción",0.105,0.127,0.192
"P10","Muy buena",0.337,0.099,0.18
"P10","Buena",0.213,0.204,0.179
"P10","Ni buena ni mala",0.335,0.365,0.465
"P10","Mala",0.068,0.197,0.056
"P10","Muy mala",0.021,0.119,0.004
"P10","No sabe",0.026,0.016,0.116
"P11","Muy buena",0.384,0.119,0.144
"P11","Buena",0.278,0.253,0.244
"P11","Ni buena ni mala",0.225,0.315,0.41
"P11","Mala",0.059,0.188,0.059
"P11","Muy mala",0.025,0.106,0.02
"P11","No sabe",0.029,0.019,0.123
"P13","Muy buena",0.378,0.109,0.187
"P13","Buena",0.253,0.233,0.201
"P13","Ni buena ni mala",0.254,0.313,0.41
"P13","Mala",0.067,0.202,0.095
"P13","Muy mala",0.026,0.126,0.01
"P13","No sabe",0.022,0.017,0.097
"P14","Muy buena",0.288,0.056,0.139
"P14","Buena",0.189,0.167,0.17
"P14","Ni buena ni mala",0.22,0.236,0.374
"P14","Mala",0.19,0.325,0.138
"P14","Muy mala",0.088,0.202,0.058
"P14","No sabe",0.025,0.014,0.121
"P15","Muy buena",0.316,0.074,0.116
"P15","Buena",0.143,0.16,0.235
"P15","Ni buena ni mala",0.321,0.294,0.347
"P15","Mala",0.106,0.254,0.103
"P15","Muy mala",0.085,0.177,0.042
"P15","No sabe",0.029,0.041,0.157
"P16","Muy buena",0.348,0.102,0.119
"P16","Buena",0.205,0.183,0.116
"P16","Ni buena ni mala",0.244,0.216,0.428
"P16","Mala",0.097,0.26,0.127
"P16","Muy mala",0.076,0.211,0.034
"P16","No sabe",0.03,0.028,0.176
"P17","Muy buena",0.333,0.085,0.097
"P17","Buena",0.247,0.141,0.129
"P17","Ni buena ni mala",0.184,0.141,0.361
"P17","Mala",0.111,0.235,0.19
"P17","Muy mala",0.091,0.382,0.143
"P17","No sabe",0.034,0.016,0.08
"P18","Muy buena",0.258,0.352,0.224
"P18","Buena",0.134,0.215,0.177
"P18","Ni buena ni mala",0.146,0.116,0.288
"P18","Mala",0.207,0.14,0.108
"P18","Muy mala",0.22,0.164,0.14
"P18","No sabe",0.035,0.013,0.063
"P20","Muy buena",0.284,0.051,0.063
"P20","Buena",0.154,0.172,0.201
