"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.21,0.206,0.214,0.271,0.167,0.167,0.295,0.36,0.117,0.191,0.266,0.061,0.286,0.162,0.488,0.083,0.282,0.146,6
"Buena",0.127,0.118,0.138,0.157,0.114,0.121,0.112,0.068,0.171,0.122,0.116,0.235,0.138,0.012,0.18,0.101,0.095,0.156,6
"Ni buena ni mala",0.103,0.094,0.113,0.149,0.077,0.109,0.067,0.074,0.131,0.088,0.074,0.11,0.173,0.19,0.157,0.061,0.089,0.114,6
"Mala",0.138,0.157,0.117,0.105,0.148,0.162,0.143,0.177,0.129,0.11,0.157,0.123,0.11,0.071,0.076,0.172,0.158,0.121,6
"Muy mala",0.413,0.424,0.402,0.295,0.492,0.441,0.368,0.296,0.452,0.484,0.383,0.471,0.293,0.565,0.095,0.583,0.36,0.461,6
"No sabe",0.009,0.001,0.016,0.023,0.002,0,0.015,0.025,0,0.005,0.004,0,0,0,0.004,0,0.016,0.002,6
"Positiva",0.337,0.324,0.352,0.428,0.281,0.288,0.407,0.428,0.288,0.313,0.382,0.296,0.424,0.174,0.668,0.184,0.377,0.302,4
"Neutra",0.103,0.094,0.113,0.149,0.077,0.109,0.067,0.074,0.131,0.088,0.074,0.11,0.173,0.19,0.157,0.061,0.089,0.114,4
"Negativa",0.551,0.581,0.519,0.4,0.64,0.603,0.511,0.473,0.581,0.594,0.54,0.594,0.403,0.636,0.171,0.755,0.518,0.582,4
"No sabe",0.009,0.001,0.016,0.023,0.002,0,0.015,0.025,0,0.005,0.004,0,0,0,0.004,0,0.016,0.002,4
