"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.142,0.15,0.133,0.286,0.071,0.075,0.175,0.27,0.079,0.102,0.178,0.14,0.013,0.17,0.216,0.122,0.206,0.085,6
"Buena",0.156,0.137,0.177,0.102,0.192,0.154,0.158,0.111,0.169,0.185,0.148,0.342,0.041,0.095,0.05,0.235,0.119,0.189,6
"Ni buena ni mala",0.221,0.203,0.242,0.227,0.238,0.214,0.159,0.174,0.274,0.189,0.211,0.26,0.213,0.316,0.09,0.281,0.2,0.24,6
"Mala",0.237,0.258,0.214,0.239,0.223,0.309,0.148,0.224,0.285,0.174,0.262,0.116,0.24,0.255,0.254,0.23,0.213,0.258,6
"Muy mala",0.225,0.251,0.196,0.123,0.26,0.248,0.307,0.172,0.186,0.346,0.193,0.122,0.493,0.164,0.368,0.126,0.234,0.217,6
"No sabe",0.019,0.001,0.038,0.023,0.016,0,0.053,0.049,0.007,0.004,0.008,0.02,0,0,0.022,0.006,0.028,0.011,6
"Positiva",0.298,0.287,0.31,0.388,0.263,0.229,0.333,0.381,0.248,0.287,0.326,0.482,0.054,0.265,0.266,0.357,0.325,0.274,4
"Neutra",0.221,0.203,0.242,0.227,0.238,0.214,0.159,0.174,0.274,0.189,0.211,0.26,0.213,0.316,0.09,0.281,0.2,0.24,4
"Negativa",0.462,0.509,0.41,0.362,0.483,0.557,0.455,0.396,0.471,0.52,0.455,0.238,0.733,0.419,0.622,0.356,0.447,0.475,4
"No sabe",0.019,0.001,0.038,0.023,0.016,0,0.053,0.049,0.007,0.004,0.008,0.02,0,0,0.022,0.006,0.028,0.011,4
