"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.283,0.261,0.308,0.313,0.277,0.261,0.274,0.352,0.245,0.269,0.313,0.32,0.066,0.459,0.236,0.334,0.325,0.246,6
"Buena",0.24,0.266,0.211,0.264,0.196,0.27,0.291,0.16,0.297,0.237,0.222,0.37,0.238,0.139,0.08,0.335,0.187,0.287,6
"Ni buena ni mala",0.135,0.13,0.141,0.142,0.183,0.085,0.027,0.181,0.128,0.095,0.12,0.125,0.148,0.196,0.066,0.173,0.134,0.136,6
"Mala",0.14,0.153,0.125,0.162,0.125,0.171,0.081,0.095,0.188,0.112,0.165,0.096,0.155,0.141,0.211,0.09,0.147,0.134,6
"Muy mala",0.186,0.189,0.183,0.096,0.203,0.213,0.302,0.174,0.135,0.283,0.179,0.069,0.393,0.065,0.394,0.062,0.182,0.19,6
"No sabe",0.016,0.001,0.032,0.023,0.016,0,0.025,0.038,0.007,0.004,0.001,0.02,0,0,0.013,0.006,0.025,0.007,6
"Positiva",0.523,0.527,0.519,0.577,0.473,0.531,0.565,0.512,0.542,0.506,0.535,0.69,0.304,0.598,0.316,0.669,0.512,0.533,4
"Neutra",0.135,0.13,0.141,0.142,0.183,0.085,0.027,0.181,0.128,0.095,0.12,0.125,0.148,0.196,0.066,0.173,0.134,0.136,4
"Negativa",0.326,0.342,0.308,0.258,0.328,0.384,0.383,0.269,0.323,0.395,0.344,0.165,0.548,0.206,0.605,0.152,0.329,0.324,4
"No sabe",0.016,0.001,0.032,0.023,0.016,0,0.025,0.038,0.007,0.004,0.001,0.02,0,0,0.013,0.006,0.025,0.007,4
