"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.112,0.133,0.089,0.225,0.062,0.074,0.079,0.29,0.03,0.045,0.188,0.055,0.023,0,0.239,0.065,0.186,0.046,6
"Buena",0.277,0.32,0.23,0.318,0.256,0.258,0.29,0.237,0.321,0.25,0.329,0.417,0.158,0.056,0.221,0.323,0.238,0.311,6
"Ni buena ni mala",0.321,0.322,0.321,0.247,0.308,0.424,0.371,0.242,0.362,0.344,0.281,0.257,0.554,0.471,0.305,0.316,0.294,0.346,6
"Mala",0.192,0.149,0.239,0.137,0.226,0.18,0.226,0.11,0.201,0.269,0.145,0.159,0.172,0.387,0.201,0.178,0.177,0.205,6
"Muy mala",0.07,0.061,0.079,0.028,0.116,0.055,0.029,0.064,0.068,0.08,0.046,0.065,0.085,0.086,0.028,0.085,0.077,0.064,6
"No sabe",0.028,0.015,0.042,0.045,0.032,0.009,0.005,0.057,0.018,0.012,0.011,0.047,0.008,0,0.006,0.033,0.028,0.028,6
"Positiva",0.389,0.453,0.319,0.543,0.318,0.332,0.369,0.527,0.351,0.295,0.517,0.472,0.181,0.056,0.46,0.388,0.424,0.357,4
"Neutra",0.321,0.322,0.321,0.247,0.308,0.424,0.371,0.242,0.362,0.344,0.281,0.257,0.554,0.471,0.305,0.316,0.294,0.346,4
"Negativa",0.262,0.21,0.318,0.165,0.342,0.235,0.255,0.174,0.269,0.349,0.191,0.224,0.257,0.473,0.229,0.263,0.254,0.269,4
"No sabe",0.028,0.015,0.042,0.045,0.032,0.009,0.005,0.057,0.018,0.012,0.011,0.047,0.008,0,0.006,0.033,0.028,0.028,4
