"var","categoria","El gobierno anterior de Omar Gutierrez","El actual gobierno de Rolo Figueroa","No sabe"
"P08","Empleado sector publico",0.288,0.217,0.186
"P08","Empleado sector privado",0.31,0.4,0.248
"P08","Changas o trabajos eventuales",0.189,0.113,0.248
"P08","Estudiante",0.047,0.031,0.042
"P08","Amas de casa",0.046,0.096,0.076
"P08","Profesional o independiente",0.058,0.053,0.098
"P08","Comerciante, emprendedor o empresario",0.039,0.022,0.048
"P08","Trabajador informal",0.003,0.003,0.01
"P08","No tengo trabajo",0.02,0.065,0.044
"P09","Siempre",0.218,0.196,0.156
"P09","Casi siempre",0.302,0.428,0.36
"P09","Casi nunca",0.326,0.311,0.362
"P09","Nunca, pero esta es una excepción",0.154,0.065,0.122
"P10","Muy buena",0.105,0.073,0.098
"P10","Buena",0.162,0.287,0.2
"P10","Ni buena ni mala",0.354,0.246,0.463
"P10","Mala",0.208,0.256,0.16
"P10","Muy mala",0.161,0.138,0.044
"P10","No sabe",0.01,0,0.035
"P11","Muy buena",0.157,0.064,0.116
"P11","Buena",0.193,0.375,0.226
"P11","Ni buena ni mala",0.317,0.209,0.422
"P11","Mala",0.172,0.235,0.169
"P11","Muy mala",0.151,0.115,0.022
"P11","No sabe",0.01,0.002,0.045
"P13","Muy buena",0.139,0.094,0.082
"P13","Buena",0.227,0.337,0.184
"P13","Ni buena ni mala",0.231,0.201,0.493
"P13","Mala",0.25,0.212,0.152
"P13","Muy mala",0.151,0.154,0.041
"P13","No sabe",0.002,0.002,0.048
"P14","Muy buena",0.072,0.092,0.022
"P14","Buena",0.108,0.371,0.096
"P14","Ni buena ni mala",0.174,0.172,0.387
"P14","Mala",0.385,0.221,0.321
"P14","Muy mala",0.258,0.144,0.136
"P14","No sabe",0.003,0,0.038
"P15","Muy buena",0.078,0.11,0.05
"P15","Buena",0.088,0.347,0.107
"P15","Ni buena ni mala",0.277,0.162,0.427
"P15","Mala",0.287,0.185,0.233
"P15","Muy mala",0.241,0.174,0.098
"P15","No sabe",0.029,0.022,0.085
"P16","Muy buena",0.111,0.081,0.119
"P16","Buena",0.142,0.33,0.163
"P16","Ni buena ni mala",0.182,0.177,0.286
"P16","Mala",0.307,0.171,0.236
"P16","Muy mala",0.25,0.204,0.143
"P16","No sabe",0.008,0.037,0.053
"P17","Muy buena",0.107,0.076,0.079
"P17","Buena",0.117,0.312,0.102
"P17","Ni buena ni mala",0.087,0.122,0.279
"P17","Mala",0.242,0.145,0.241
"P17","Muy mala",0.444,0.316,0.271
"P17","No sabe",0.003,0.029,0.028
"P18","Muy buena",0.405,0.192,0.285
"P18","Buena",0.176,0.378,0.142
"P18","Ni buena ni mala",0.08,0.11,0.176
"P18","Mala",0.145,0.122,0.185
"P18","Muy mala",0.19,0.194,0.172
"P18","No sabe",0.004,0.004,0.04
"P20","Muy buena",0.062,0.06,0.045
"P20","Buena",0.073,0.396,0.147
"P20","Ni buena ni mala",0.281,0.17,0.398
"P20","Mala",0.288,0.143,0.182
"P20","Muy mala",0.291,0.222,0.144
"P20","No sabe",0.005,0.009,0.084
"P21","Si",0.386,0.219,0.385
"P21","No",0.428,0.695,0.307
"P21","No sabe",0.186,0.086,0.308
"P26","Si",0.877,0.636,0.87
"P26","No",0.123,0.364,0.13
"P27","Si",0.199,0.265,0.213
"P27","No estoy seguro",0.473,0.536,0.45
"P27","No",0.218,0.178,0.188
"P27","No sabe",0.11,0.021,0.149
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.411,0.182,0.211
"P28","Investigaciones científicas no declaradas con fines secretos",0.261,0.531,0.193
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.177,0.131,0.22
"P28","Otro",0.082,0.043,0.114
"P28","No sabe",0.069,0.113,0.262
"P29","Es imposible",0.395,0.183,0.242
"P29","Es muy difícil",0.323,0.527,0.333
"P29","Es bastante factible",0.104,0.095,0.108
"P29","Es posible",0.131,0.164,0.169
"P29","No sabe",0.047,0.031,0.148
"P30","Si",0.663,0.286,0.389
"P30","Es probable",0.115,0.426,0.189
"P30","No",0.165,0.217,0.241
"P30","No sabe",0.057,0.071,0.181
"P31","De acuerdo",0.761,0.426,0.484
"P31","Ni de acuerdo ni en desacuerdo",0.086,0.357,0.217
"P31","En desacuerdo",0.139,0.185,0.22
"P31","No sabe",0.014,0.032,0.079
"P32","Si",0.788,0.446,0.612
"P32","No",0.122,0.46,0.149
"P32","No sabe",0.09,0.094,0.239
"P33","Muy de acuerdo",0.347,0.145,0.206
"P33","De acuerdo",0.247,0.461,0.18
"P33","Ni de acuerdo ni en desacuerdo",0.182,0.186,0.136
"P33","En desacuerdo",0.18,0.151,0.344
"P33","Muy en desacuerdo",0.039,0.03,0.12
"P33","No sabe",0.005,0.027,0.014
"P34","Si",0.801,0.606,0.661
"P34","No",0.199,0.394,0.339
"P35","Muy de acuerdo",0.319,0.23,0.116
"P35","De acuerdo",0.243,0.406,0.202
"P35","Ni de acuerdo ni en desacuerdo",0.163,0.134,0.257
"P35","En desacuerdo",0.201,0.186,0.267
"P35","Muy en desacuerdo",0.07,0.044,0.153
"P35","No sabe",0.004,0,0.005
"P36","1-Excelente",0.258,0.183,0.085
"P36","2",0.042,0.218,0.132
"P36","3",0.078,0.082,0.083
"P36","4",0.036,0.044,0.106
