"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.295,0.355,0.231,0.369,0.255,0.277,0.282,0.368,0.259,0.267,0.35,0.273,0.155,0.421,0.221,0.384,0.329,0.264,6
"Buena",0.18,0.17,0.189,0.155,0.203,0.163,0.184,0.114,0.221,0.187,0.183,0.288,0.054,0.079,0.098,0.246,0.124,0.228,6
"Ni buena ni mala",0.157,0.153,0.162,0.144,0.159,0.172,0.16,0.18,0.147,0.147,0.149,0.168,0.218,0.116,0.147,0.144,0.164,0.151,6
"Mala",0.157,0.138,0.177,0.184,0.142,0.15,0.157,0.157,0.169,0.138,0.172,0.076,0.168,0.249,0.193,0.115,0.171,0.145,6
"Muy mala",0.179,0.161,0.199,0.136,0.198,0.199,0.186,0.132,0.172,0.248,0.134,0.159,0.396,0.135,0.301,0.095,0.181,0.178,6
"No sabe",0.032,0.023,0.042,0.012,0.043,0.039,0.031,0.049,0.032,0.013,0.012,0.036,0.009,0,0.04,0.016,0.031,0.034,6
"Positiva",0.475,0.525,0.42,0.524,0.458,0.44,0.466,0.482,0.48,0.454,0.533,0.561,0.209,0.5,0.319,0.63,0.453,0.492,4
"Neutra",0.157,0.153,0.162,0.144,0.159,0.172,0.16,0.18,0.147,0.147,0.149,0.168,0.218,0.116,0.147,0.144,0.164,0.151,4
"Negativa",0.336,0.299,0.376,0.32,0.34,0.349,0.343,0.289,0.341,0.386,0.306,0.235,0.564,0.384,0.494,0.21,0.352,0.323,4
"No sabe",0.032,0.023,0.042,0.012,0.043,0.039,0.031,0.049,0.032,0.013,0.012,0.036,0.009,0,0.04,0.016,0.031,0.034,4
