"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.2,0.218,0.18,0.268,0.188,0.144,0.188,0.244,0.186,0.173,0.317,0.132,0.087,0.039,0.28,0.158,0.203,0.197,6
"Buena",0.274,0.301,0.246,0.238,0.272,0.316,0.29,0.238,0.303,0.268,0.34,0.32,0.224,0.111,0.278,0.305,0.257,0.29,6
"Ni buena ni mala",0.32,0.31,0.33,0.29,0.327,0.33,0.341,0.309,0.317,0.335,0.227,0.359,0.462,0.528,0.302,0.324,0.343,0.299,6
"Mala",0.114,0.101,0.129,0.123,0.11,0.122,0.095,0.082,0.118,0.143,0.076,0.099,0.156,0.171,0.079,0.118,0.107,0.121,6
"Muy mala",0.055,0.045,0.066,0.042,0.065,0.061,0.04,0.071,0.04,0.063,0.034,0.059,0.047,0.137,0.031,0.068,0.055,0.055,6
"No sabe",0.037,0.025,0.049,0.039,0.038,0.027,0.046,0.056,0.036,0.018,0.006,0.031,0.024,0.014,0.03,0.027,0.035,0.038,6
"Positiva",0.474,0.519,0.426,0.506,0.46,0.46,0.478,0.482,0.489,0.441,0.657,0.452,0.311,0.15,0.558,0.463,0.46,0.487,4
"Neutra",0.32,0.31,0.33,0.29,0.327,0.33,0.341,0.309,0.317,0.335,0.227,0.359,0.462,0.528,0.302,0.324,0.343,0.299,4
"Negativa",0.169,0.146,0.195,0.165,0.175,0.183,0.135,0.153,0.158,0.206,0.11,0.158,0.203,0.308,0.11,0.186,0.162,0.176,4
"No sabe",0.037,0.025,0.049,0.039,0.038,0.027,0.046,0.056,0.036,0.018,0.006,0.031,0.024,0.014,0.03,0.027,0.035,0.038,4
