"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.154,0.168,0.14,0.252,0.113,0.102,0.177,0.225,0.126,0.123,0.227,0.117,0.076,0.088,0.252,0.112,0.19,0.122,6
"Buena",0.217,0.225,0.21,0.184,0.22,0.237,0.25,0.229,0.229,0.186,0.248,0.303,0.175,0.088,0.219,0.238,0.199,0.234,6
"Ni buena ni mala",0.272,0.275,0.269,0.217,0.286,0.308,0.285,0.241,0.286,0.283,0.24,0.318,0.325,0.34,0.257,0.285,0.295,0.251,6
"Mala",0.19,0.187,0.192,0.161,0.203,0.219,0.151,0.137,0.194,0.241,0.192,0.152,0.243,0.261,0.164,0.203,0.164,0.213,6
"Muy mala",0.114,0.12,0.106,0.121,0.124,0.09,0.097,0.118,0.097,0.135,0.074,0.074,0.124,0.177,0.058,0.121,0.11,0.117,6
"No sabe",0.053,0.025,0.083,0.065,0.054,0.044,0.04,0.05,0.068,0.032,0.019,0.036,0.057,0.046,0.05,0.041,0.042,0.063,6
"Positiva",0.371,0.393,0.35,0.436,0.333,0.339,0.427,0.454,0.355,0.309,0.475,0.42,0.251,0.176,0.471,0.35,0.389,0.356,4
"Neutra",0.272,0.275,0.269,0.217,0.286,0.308,0.285,0.241,0.286,0.283,0.24,0.318,0.325,0.34,0.257,0.285,0.295,0.251,4
"Negativa",0.304,0.307,0.298,0.282,0.327,0.309,0.248,0.255,0.291,0.376,0.266,0.226,0.367,0.438,0.222,0.324,0.274,0.33,4
"No sabe",0.053,0.025,0.083,0.065,0.054,0.044,0.04,0.05,0.068,0.032,0.019,0.036,0.057,0.046,0.05,0.041,0.042,0.063,4
