"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.442,0.456,0.419
"P04","Realizo changas o trabajos de vez en cuando",0.264,0.209,0.145
"P04","No tengo trabajo",0.072,0.093,0.173
"P04","Soy jubilado o pensionado",0.222,0.242,0.263
"P05","1",0.444,0.408,0.303
"P05","2",0.04,0.084,0.055
"P05","3",0.046,0.094,0.105
"P05","4",0.085,0.097,0.089
"P05","5",0.152,0.168,0.201
"P05","6",0.072,0.022,0.074
"P05","7",0.021,0.017,0.05
"P05","8",0.064,0.001,0.009
"P05","9",0.076,0.109,0.114
"P06","1",0.219,0.149,0.145
"P06","2",0.059,0.053,0.048
"P06","3",0.013,0.021,0.035
"P06","4",0.005,0.02,0.038
"P06","5",0.167,0.216,0.187
"P06","6",0.005,0.025,0.052
"P06","7",0.045,0.107,0.146
"P06","8",0.034,0.087,0.072
"P06","9",0.453,0.322,0.277
"P07","1",0.266,0.244,0.21
"P07","2",0.009,0.028,0.077
"P07","3",0.015,0.053,0.02
"P07","4",0.005,0.005,0.032
"P07","5",0.176,0.12,0.112
"P07","6",0.005,0.055,0.032
"P07","7",0.03,0.065,0.049
"P07","8",0.012,0.036,0.062
"P07","9",0.482,0.394,0.406
"P12","A Horacio Rodriguez Larreta",0.346,0.242,0.182
"P12","A Mauricio Macri",0.312,0.338,0.311
"P12","A Patricia Bullrich",0.187,0.367,0.371
"P12","A Facundo Manes",0.13,0.025,0.103
"P12","A Gerardo Morales",0.025,0.028,0.033
"P14","Lo votaría",0.55,0.538,0.498
"P14","Puede que lo vote",0.251,0.34,0.227
"P14","Nunca lo votaría",0.184,0.096,0.227
"P14","No sabe",0.015,0.026,0.048
"P15","Lo votaría",0.068,0.15,0.085
"P15","Puede que lo vote",0.019,0.046,0.086
"P15","Nunca lo votaría",0.888,0.773,0.8
"P15","No sabe",0.025,0.031,0.029
"P16","Lo votaría",0.036,0.02,0.028
"P16","Puede que lo vote",0.025,0.011,0.043
"P16","Nunca lo votaría",0.935,0.954,0.906
"P16","No sabe",0.004,0.015,0.023
"P17","La votaría",0.036,0.018,0.034
"P17","Puede que la vote",0.021,0.006,0.018
"P17","Nunca la votaría",0.943,0.976,0.934
"P17","No sabe",0,0,0.014
"P18","Lo votaría",0.366,0.277,0.296
"P18","Puede que lo vote",0.465,0.486,0.433
"P18","Nunca lo votaría",0.16,0.197,0.243
"P18","No sabe",0.009,0.04,0.028
"P19","Lo votaría",0.249,0.191,0.156
"P19","Puede que lo vote",0.307,0.313,0.291
"P19","Nunca lo votaría",0.364,0.414,0.5
"P19","No sabe",0.08,0.082,0.053
"P20","La votaría",0.472,0.62,0.612
"P20","Puede que la vote",0.287,0.279,0.196
"P20","Nunca la votaría",0.172,0.07,0.17
"P20","No sabe",0.069,0.031,0.022
"P21","Lo votaría",0.317,0.142,0.067
"P21","Puede que lo vote",0.481,0.602,0.094
"P21","Nunca lo votaría",0.186,0.155,0.817
"P21","No sabe",0.016,0.101,0.022
"P22","La votaría",0.251,0.282,0.245
"P22","Puede que la vote",0.397,0.463,0.361
"P22","Nunca la votaría",0.316,0.184,0.335
"P22","No sabe",0.036,0.071,0.059
"P23","Mauricio Macri por Juntos por el Cambio",0.291,0.312,0.258
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.164,0.14,0.172
"P23","Patricia Bullrich por Juntos por el Cambio",0.283,0.43,0.372
"P23","María Eugenia Vidal por Juntos por el Cambio",0.085,0.049,0.058
"P23","Facundo Manes por Juntos por el Cambio",0.12,0.02,0.061
"P23","Alberto Fernández por el Frente de Todos",0.028,0.005,0.023
"P23","Sergio Massa por el Frente de Todos",0,0.017,0.017
"P23","Javier Milei por los liberales libertarios",0.029,0.002,0.028
"P23","Al candidato del Frente de Izquierda",0,0,0
"P23","No sabe",0,0.025,0.011
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.28,0.222,0.315
"P24","Mauricio Macri por Juntos por el Cambio",0.446,0.615,0.538
"P24","Alberto Fernández por el Frente de Todos",0.082,0.018,0.038
"P24","Sergio Massa por el Frente de Todos",0.008,0.002,0.03
"P24","Javier Milei por los liberales libertarios",0.102,0.036,0.044
"P24","Al candidato del Frente de Izquierda",0.035,0.06,0.007
"P24","No sabe",0.047,0.047,0.028
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.344,0.227,0.286
"P25","Patricia Bullrich por Juntos por el Cambio",0.466,0.664,0.586
"P25","Alberto Fernández por el Frente de Todos",0.057,0.021,0.026
"P25","Sergio Massa por el Frente de Todos",0,0.002,0.028
"P25","Javier Milei por los liberales libertarios",0.064,0.035,0.027
"P25","Al candidato del Frente de Izquierda",0,0.023,0.015
"P25","No sabe",0.069,0.028,0.032
"P26","Sergio Massa por el Frente de Todos",0.024,0.012,0.068
"P26","Mauricio Macri por Juntos por el Cambio",0.691,0.838,0.774
"P26","Javier Milei por los liberales libertarios",0.279,0.072,0.034
"P26","Al candidato del Frente de Izquierda",0,0,0.001
"P26","No sabe",0.006,0.078,0.123
"P27","Alberto Fernández por el Frente de Todos",0.024,0.017,0.031
"P27","Mauricio Macri por Juntos por el Cambio",0.689,0.87,0.819
"P27","Javier Milei por los liberales libertarios",0.287,0.049,0.035
"P27","Al candidato del Frente de Izquierda",0,0,0.021
"P27","No sabe",0,0.064,0.094
"P28","Alberto Fernández por el Frente de Todos",0.024,0.009,0.026
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.595,0.684,0.803
"P28","Javier Milei por los liberales libertarios",0.292,0.196,0.057
"P28","Al candidato del Frente de Izquierda",0,0,0.019
"P28","No sabe",0.089,0.111,0.095
"P29","Sergio Massa por el Frente de Todos",0,0.035,0.046
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.62,0.707,0.81
"P29","Javier Milei por los liberales libertarios",0.352,0.186,0.054
"P29","Al candidato del Frente de Izquierda",0,0.003,0
"P29","No sabe",0.028,0.069,0.09
"P30","Sergio Massa por el Frente de Todos",0.058,0.023,0.076
"P30","Patricia Bullrich por Juntos por el Cambio",0.519,0.868,0.78
"P30","Javier Milei por los liberales libertarios",0.385,0.046,0.029
"P30","Al candidato del Frente de Izquierda",0,0.003,0.008
"P30","No sabe",0.038,0.06,0.107
"P32","Alberto Fernández por el Frente de Todos",0.091,0.094,0.063
"P32","Patricia Bullrich por Juntos por el Cambio",0.527,0.768,0.792
"P32","Javier Milei por los liberales libertarios",0.35,0.077,0.02
"P32","Al candidato del Frente de Izquierda",0,0,0.027
"P32","No sabe",0.032,0.061,0.098
"P34","Sergio Massa por el Frente de Todos",0.031,0.015,0.07
"P34","Mauricio Macri por Juntos por el Cambio",0.885,0.943,0.87
"P34","No sabe",0.084,0.042,0.06
"P35","Sergio Massa",0.026,0.028,0.052
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.873,0.924,0.875
"P35","No sabe",0.101,0.048,0.073
"P36","Alberto Fernández por el Frente de Todos",0,0.009,0.027
"P36","Mauricio Macri por Juntos por el Cambio",0.898,0.932,0.876
"P36","No sabe",0.102,0.059,0.097
"P37","Alberto Fernández",0,0.03,0.023
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.889,0.895,0.873
"P37","No sabe",0.111,0.075,0.104
"P38","Sergio Massa por el Frente de Todos",0,0.043,0.034
"P38","Patricia Bullrich por Juntos por el Cambio",0.911,0.907,0.856
"P38","No sabe",0.089,0.05,0.11
"P39","Alberto Fernández por el Frente de Todos",0,0.011,0.023
"P39","Patricia Bullrich por Juntos por el Cambio",0.915,0.949,0.881
"P39","No sabe",0.085,0.04,0.096
"P40","Mauricio Macri por Juntos por el Cambio",0.536,0.772,0.762
"P40","Javier Milei por los liberales libertarios",0.464,0.169,0.108
"P40","No sabe",0,0.059,0.13
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.607,0.787,0.845
"P41","Javier Milei por los liberales libertarios",0.37,0.164,0.044
"P41","No sabe",0.023,0.049,0.111
"P42","Patricia Bullrich por Juntos por el Cambio",0.589,0.907,0.836
"P42","Javier Milei por los liberales libertarios",0.396,0.065,0.048
"P42","No sabe",0.015,0.028,0.116
"P43","Muy buena",0.065,0.122,0.071
"P43","Buena",0,0.017,0.035
"P43","Ni buena ni mala",0,0.008,0.007
"P43","Mala",0.118,0.036,0.06
"P43","Muy mala",0.817,0.817,0.804
"P43","No sabe",0,0,0.023
"P44","Muy buena",0.013,0.018,0.017
"P44","Buena",0,0.012,0.009
"P44","Ni buena ni mala",0.01,0.014,0.004
"P44","Mala",0,0.053,0.099
"P44","Muy mala",0.977,0.897,0.867
"P44","No sabe",0,0.006,0.004
"P45","Muy buena",0,0,0.025
"P45","Buena",0,0.008,0.004
"P45","Ni buena ni mala",0,0.005,0.008
"P45","Mala",0.02,0.034,0.026
"P45","Muy mala",0.98,0.934,0.924
"P45","No sabe",0,0.019,0.013
"P46","Muy buena",0.264,0.37,0.286
"P46","Buena",0.355,0.316,0.345
"P46","Ni buena ni mala",0.1,0.167,0.174
"P46","Mala",0.093,0.026,0.034
"P46","Muy mala",0.188,0.108,0.154
"P46","No sabe",0,0.013,0.007
"P47","Muy buena",0.408,0.332,0.239
"P47","Buena",0.346,0.397,0.423
"P47","Ni buena ni mala",0.174,0.195,0.235
"P47","Mala",0.054,0.027,0.061
"P47","Muy mala",0.018,0.043,0.03
"P47","No sabe",0,0.006,0.012
"P48","Muy buena",0.049,0.074,0.049
"P48","Buena",0.074,0.024,0.068
"P48","Ni buena ni mala",0.167,0.067,0.06
"P48","Mala",0.178,0.106,0.155
"P48","Muy mala",0.532,0.716,0.668
"P48","No sabe",0,0.013,0
"P49","Muy buena",0.412,0.586,0.486
"P49","Buena",0.142,0.25,0.272
"P49","Ni buena ni mala",0.207,0.073,0.072
"P49","Mala",0.081,0.02,0.042
"P49","Muy mala",0.158,0.058,0.106
"P49","No sabe",0,0.013,0.022
"P50","Muy buena",0.421,0.143,0.058
"P50","Buena",0.306,0.304,0.067
"P50","Ni buena ni mala",0.247,0.416,0.367
"P50","Mala",0.01,0.076,0.261
"P50","Muy mala",0.007,0.022,0.23
"P50","No sabe",0.009,0.039,0.017
"P51","Muy buena",0.318,0.318,0.28
"P51","Buena",0.314,0.408,0.353
"P51","Ni buena ni mala",0.178,0.224,0.226
"P51","Mala",0.016,0.03,0.073
"P51","Muy mala",0.174,0.014,0.068
"P51","No sabe",0,0.006,0
"P52","Muy buena",0.224,0.12,0.112
"P52","Buena",0.183,0.315,0.173
"P52","Ni buena ni mala",0.298,0.316,0.344
"P52","Mala",0.098,0.143,0.237
"P52","Muy mala",0.18,0.073,0.103
"P52","No sabe",0.017,0.033,0.031
"P53","Siempre",0.279,0.303,0.292
"P53","Casi siempre",0.454,0.487,0.467
"P53","Casi nunca",0.229,0.169,0.147
"P53","Nunca, pero esta es una excepción",0.038,0.041,0.094
"P54","Si",0.48,0.577,0.591
"P54","No",0.52,0.423,0.409
