"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.183,0.462,0.496,0.464
"P04","Realizo changas o trabajos de vez en cuando",0.293,0.175,0.125,0.208
"P04","No tengo trabajo",0.377,0.179,0.22,0.107
"P04","Soy jubilado o pensionado",0.147,0.184,0.159,0.221
"P05","1",0.373,0.304,0.255,0.097
"P05","2",0.064,0.083,0.063,0.039
"P05","3",0.012,0.023,0.11,0.013
"P05","4",0.024,0.05,0.086,0.02
"P05","5",0.132,0.197,0.163,0.114
"P05","6",0.069,0.048,0.019,0.101
"P05","7",0.049,0.072,0.076,0.18
"P05","8",0.008,0.061,0.022,0.108
"P05","9",0.269,0.162,0.206,0.328
"P06","1",0.532,0.333,0.42,0.491
"P06","2",0.03,0.099,0.062,0.082
"P06","3",0.013,0.05,0.076,0.063
"P06","4",0.037,0.07,0.052,0.037
"P06","5",0.143,0.232,0.161,0.137
"P06","6",0.014,0.018,0.012,0.017
"P06","7",0.024,0.008,0.03,0.031
"P06","8",0.07,0.047,0.038,0.017
"P06","9",0.137,0.143,0.149,0.125
"P07","1",0.51,0.463,0.504,0.766
"P07","2",0.005,0.067,0.043,0.023
"P07","3",0.007,0.046,0.063,0.036
"P07","4",0.038,0.046,0.008,0.02
"P07","5",0.05,0.128,0.039,0.063
"P07","6",0,0.002,0.004,0.003
"P07","7",0.002,0.013,0.052,0.017
"P07","8",0.054,0.002,0.043,0.006
"P07","9",0.334,0.233,0.244,0.066
"P11","A Alberto Fernández",0.553,0.044,0.028,0.018
"P11","A Sergio Massa",0.036,0.558,0.083,0.023
"P11","A algún candidato del peronismo",0.054,0.032,0.661,0.012
"P11","A Cristina Fernández de Kirchner",0.357,0.366,0.228,0.947
"P14","Lo votaría",0.077,0.029,0.164,0.022
"P14","Puede que lo vote",0.023,0.148,0.058,0.004
"P14","Nunca lo votaría",0.724,0.743,0.77,0.926
"P14","No sabe",0.176,0.08,0.008,0.048
"P15","Lo votaría",0.34,0.622,0.115,0.149
"P15","Puede que lo vote",0.158,0.213,0.439,0.492
"P15","Nunca lo votaría",0.236,0.116,0.351,0.256
"P15","No sabe",0.266,0.049,0.095,0.103
"P16","Lo votaría",0.692,0.307,0.066,0.151
"P16","Puede que lo vote",0.152,0.49,0.343,0.525
"P16","Nunca lo votaría",0.074,0.075,0.479,0.218
"P16","No sabe",0.082,0.128,0.112,0.106
"P17","La votaría",0.905,0.667,0.508,0.952
"P17","Puede que la vote",0.039,0.169,0.159,0.032
"P17","Nunca la votaría",0.056,0.134,0.33,0.015
"P17","No sabe",0,0.03,0.003,0.001
"P18","Lo votaría",0.053,0.09,0.059,0.054
"P18","Puede que lo vote",0.019,0.137,0.172,0.003
"P18","Nunca lo votaría",0.815,0.723,0.743,0.941
"P18","No sabe",0.113,0.05,0.026,0.002
"P19","Lo votaría",0.048,0.06,0.044,0.01
"P19","Puede que lo vote",0.028,0.174,0.191,0.076
"P19","Nunca lo votaría",0.742,0.632,0.573,0.8
"P19","No sabe",0.182,0.134,0.192,0.114
"P20","La votaría",0.041,0.012,0.151,0.006
"P20","Puede que la vote",0.079,0.082,0.067,0.013
"P20","Nunca la votaría",0.806,0.882,0.753,0.969
"P20","No sabe",0.074,0.024,0.029,0.012
"P21","Lo votaría",0.044,0.046,0.033,0.001
"P21","Puede que lo vote",0.03,0.066,0.173,0.005
"P21","Nunca lo votaría",0.818,0.858,0.769,0.98
"P21","No sabe",0.108,0.03,0.025,0.014
"P22","La votaría",0.039,0.021,0.044,0.014
"P22","Puede que la vote",0.028,0.084,0.147,0.007
"P22","Nunca la votaría",0.845,0.814,0.767,0.955
"P22","No sabe",0.088,0.081,0.042,0.024
"P23","Mauricio Macri por Juntos por el Cambio",0.008,0,0.036,0
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.013,0.022,0.001
"P23","Patricia Bullrich por Juntos por el Cambio",0,0,0.195,0.004
"P23","María Eugenia Vidal por Juntos por el Cambio",0,0.008,0.008,0.003
"P23","Facundo Manes por Juntos por el Cambio",0.007,0.006,0.016,0.02
"P23","Alberto Fernández por el Frente de Todos",0.709,0.196,0.228,0.26
"P23","Sergio Massa por el Frente de Todos",0.171,0.762,0.279,0.37
"P23","Javier Milei por los liberales libertarios",0,0.003,0.011,0.006
"P23","Al candidato del Frente de Izquierda",0.001,0.008,0.047,0.114
"P23","No sabe",0.088,0.004,0.158,0.222
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.007,0.086,0.001
"P24","Mauricio Macri por Juntos por el Cambio",0.008,0.001,0.133,0.001
"P24","Alberto Fernández por el Frente de Todos",0.639,0.185,0.226,0.241
"P24","Sergio Massa por el Frente de Todos",0.205,0.75,0.304,0.375
"P24","Javier Milei por los liberales libertarios",0,0.01,0.067,0.003
"P24","Al candidato del Frente de Izquierda",0.007,0.004,0.063,0.12
"P24","No sabe",0.124,0.043,0.121,0.259
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.007,0.019,0.001
"P25","Patricia Bullrich por Juntos por el Cambio",0.058,0.004,0.229,0.001
"P25","Alberto Fernández por el Frente de Todos",0.646,0.157,0.207,0.275
"P25","Sergio Massa por el Frente de Todos",0.222,0.81,0.363,0.412
"P25","Javier Milei por los liberales libertarios",0,0.008,0.04,0
"P25","Al candidato del Frente de Izquierda",0.007,0.004,0.048,0.1
"P25","No sabe",0.059,0.01,0.094,0.211
"P26","Sergio Massa por el Frente de Todos",0.667,0.896,0.477,0.635
"P26","Mauricio Macri por Juntos por el Cambio",0.136,0.002,0.288,0.003
"P26","Javier Milei por los liberales libertarios",0.009,0.05,0.071,0.001
"P26","Al candidato del Frente de Izquierda",0.01,0,0.04,0.09
"P26","No sabe",0.178,0.052,0.124,0.271
"P27","Alberto Fernández por el Frente de Todos",0.883,0.813,0.452,0.683
"P27","Mauricio Macri por Juntos por el Cambio",0.024,0.015,0.29,0.004
"P27","Javier Milei por los liberales libertarios",0,0.041,0.02,0.001
"P27","Al candidato del Frente de Izquierda",0.001,0.01,0.066,0.095
"P27","No sabe",0.092,0.121,0.172,0.217
"P28","Alberto Fernández por el Frente de Todos",0.862,0.812,0.442,0.684
