"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.003,0.008,0,0.033
"P12","Gran excedente excepcional",0,0,0,0
"P12","Pequeño excedente habitual",0.074,0.066,0.035,0
"P12","Pequeño excedente excepcional",0.021,0.034,0.077,0.021
"P12","Alcanza gastos familia",0.177,0.217,0.441,0.347
"P12","No alcanza gastos familia",0.161,0.175,0.04,0.129
"P12","Solo NBFamiliares",0.211,0.408,0.228,0.322
"P12","No alcanza NBFamiliares",0.349,0.092,0.179,0.148
"P12","No sabe",0.004,0,0,0
"P13","Muy buena",0.025,0.02,0.106,0.183
"P13","Buena",0.076,0.17,0.08,0.051
"P13","Ni buena ni mala",0.23,0.362,0.13,0.354
"P13","Mala",0.373,0.346,0.668,0.199
"P13","Muy mala",0.254,0.102,0.016,0.162
"P13","No sabe",0.042,0,0,0.051
"P14","Muy buena",0.185,0.457,0.634,0.288
"P14","Buena",0.052,0.262,0.278,0.239
"P14","Ni buena ni mala",0.038,0.131,0.048,0.045
"P14","Mala",0.185,0.055,0.008,0.28
"P14","Muy mala",0.531,0.095,0.032,0.148
"P14","No sabe",0.009,0,0,0
"P15","Muy buena",0.034,0.035,0.049,0
"P15","Buena",0.073,0.275,0.093,0.097
"P15","Ni buena ni mala",0.287,0.296,0.281,0.386
"P15","Mala",0.248,0.208,0.283,0.126
"P15","Muy mala",0.315,0.186,0.294,0.34
"P15","No sabe",0.043,0,0,0.051
"P19","Muy buena",0.03,0.035,0.073,0
"P19","Buena",0.108,0.071,0.055,0.479
"P19","Ni buena ni mala",0.269,0.42,0.3,0.188
"P19","Mala",0.323,0.315,0.378,0.333
"P19","Muy mala",0.257,0.06,0.183,0
"P19","No sabe",0.013,0.099,0.011,0
"P20","Gobierno nacional",0.395,0.151,0.101,0.247
"P20","Gobierno provincial",0.457,0.726,0.814,0.605
"P20","No sabe",0.148,0.123,0.085,0.148
"P21","El anterior gobierno de Arabela Carreras",0.357,0.297,0.259,0.529
"P21","El actual gobierno de Alberto Weretilneck",0.337,0.448,0.697,0.273
"P21","No sabe",0.306,0.255,0.044,0.198
"P22","El anterior gobierno de Alberto Fernández",0.016,0.904,0.977,0.963
"P22","El actual gobierno de Javier Milei",0.979,0.096,0.023,0.037
"P22","No sabe",0.005,0,0,0
"P23","Empleado sector publico",0.101,0.148,0.106,0.398
"P23","Empleado sector privado",0.258,0.255,0.256,0.239
"P23","Changas o trabajos eventuales",0.234,0.177,0.06,0.084
"P23","Estudiante",0.071,0.047,0.173,0
"P23","Amas de casa",0.049,0.05,0.065,0.038
"P23","Profesional o independiente",0.11,0.209,0.217,0.157
"P23","Comerciante, emprendedor o empresario",0.043,0.007,0.037,0.033
"P23","Trabajador informal",0.018,0.004,0.006,0
"P23","No tengo trabajo",0.116,0.103,0.08,0.051
"P24","Muy de acuerdo",0.147,0.042,0.172,0.129
"P24","De acuerdo",0.12,0.429,0.136,0.084
"P24","Ni de acuerdo ni en desacuerdo",0.412,0.416,0.226,0.537
"P24","En desacuerdo",0.124,0.093,0.14,0.132
"P24","Muy en desacuerdo",0.184,0.011,0.326,0
"P24","No sabe",0.013,0.009,0,0.118
"P25","Muy de acuerdo",0.08,0.091,0.392,0.084
"P25","De acuerdo",0.083,0.268,0.349,0.343
"P25","Ni de acuerdo ni en desacuerdo",0.125,0.36,0.163,0.259
"P25","En desacuerdo",0.458,0.133,0.035,0.23
"P25","Muy en desacuerdo",0.248,0.148,0.061,0.033
"P25","No sabe",0.006,0,0,0.051
"P26","Si",0.658,0.538,0.813,0.41
"P26","No",0.342,0.462,0.187,0.59
"P27","Muy de acuerdo",0.088,0.221,0.435,0.084
"P27","De acuerdo",0.081,0.21,0.248,0.172
"P27","Ni de acuerdo ni en desacuerdo",0.172,0.424,0.171,0.437
"P27","En desacuerdo",0.406,0.072,0.118,0.223
"P27","Muy en desacuerdo",0.25,0.07,0.028,0.084
"P27","No sabe",0.003,0.003,0,0
"P28","Si",0.661,0.71,0.937,0.82
"P28","No",0.339,0.29,0.063,0.18
"P29","Muy de acuerdo",0.152,0.176,0.275,0.084
"P29","De acuerdo",0.112,0.484,0.359,0.24
"P29","Ni de acuerdo ni en desacuerdo",0.182,0.211,0.115,0.26
"P29","En desacuerdo",0.337,0.071,0.056,0.234
"P29","Muy en desacuerdo",0.201,0.058,0.014,0.085
"P29","No sabe",0.016,0,0.181,0.097
"P30","No estaba enterado",0.18,0.141,0.156,0.295
"P30","De acuerdo",0.306,0.589,0.744,0.568
"P30","En desacuerdo",0.432,0.246,0.047,0.033
"P30","No sabe",0.082,0.024,0.053,0.104
"P31","No tengo cable ni internet",0.182,0.091,0.073,0.228
"P31","Si tuve",0.522,0.617,0.7,0.595
"P31","No tuve",0.296,0.292,0.227,0.177
"P32","Reclamando directamente a la empresa",0.189,0.169,0.368,0.2
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.34,0.483,0.311,0.397
"P32","Nunca se pudo resolver",0.471,0.348,0.321,0.403
"P33","1-Excelente",0.055,0.099,0.128,0.167
"P33","2",0.1,0.165,0.12,0.275
"P33","3",0.035,0.101,0.033,0.084
"P33","4",0.029,0.022,0.006,0.033
"P33","5",0.151,0.194,0.274,0.18
"P33","6",0.04,0.026,0.075,0.031
"P33","7",0.071,0.01,0.036,0
"P33","8",0.162,0.103,0.018,0.075
"P33","9-Pésimo",0.304,0.231,0.31,0.066
"P33","No sabe",0.053,0.049,0,0.089
"P34","1-Excelente",0.102,0.131,0.094,0.129
"P34","2",0.076,0.143,0.097,0.235
"P34","3",0.063,0.057,0.075,0.226
"P34","4",0.051,0.069,0.058,0.031
"P34","5",0.083,0.154,0.24,0.2
"P34","6",0.023,0.115,0.06,0
"P34","7",0.024,0.024,0.015,0
"P34","8",0.1,0.047,0.15,0.042
"P34","9-Pésimo",0.465,0.218,0.211,0.099
"P34","No sabe",0.013,0.042,0,0.038
"P35","1-Excelente",0.078,0.095,0.083,0.083
"P35","2",0.065,0.201,0.084,0.28
"P35","3",0.099,0.069,0.127,0.186
"P35","4",0.047,0.097,0.018,0.115
"P35","5",0.119,0.155,0.241,0.124
"P35","6",0.074,0.022,0.049,0
"P35","7",0.07,0.044,0.05,0.033
"P35","8",0.08,0.043,0.029,0.054
"P35","9-Pésimo",0.334,0.218,0.303,0.087
"P35","No sabe",0.034,0.056,0.016,0.038
"P36","1-Excelente",0.038,0.255,0.066,0
"P36","2",0.116,0.154,0.122,0.18
"P36","3",0.035,0.016,0.033,0.453
"P36","4",0.061,0.037,0.018,0
"P36","5",0.132,0.187,0.374,0.084
"P36","6",0.023,0.133,0.077,0.073
"P36","7",0.019,0.014,0.036,0.052
"P36","8",0.158,0.009,0.011,0
"P36","9-Pésimo",0.38,0.153,0.246,0.12
"P36","No sabe",0.038,0.042,0.017,0.038
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.607,0.148,0.052,0.28
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.19,0.356,0.112,0.148
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.112,0.297,0.457,0.072
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.084,0.189,0.373,0.417
"P37","No sabe",0.007,0.01,0.006,0.083
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.527,0.106,0.023,0.078
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.195,0.199,0.032,0.102
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.205,0.448,0.491,0.468
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.067,0.225,0.454,0.204
"P38","No sabe",0.006,0.022,0,0.148
"P39","Oponerse totalmente",0.576,0.127,0.046,0.033
"P39","Oponerse parcialmente",0.122,0.191,0,0.393
"P39","Apoyar parcialmente",0.215,0.321,0.412,0.293
"P39","Apoyar totalmente",0.077,0.327,0.542,0.25
"P39","No sabe",0.01,0.034,0,0.031
"P40","Inseguridad y narcotráfico",0.555,0.076,0.07,0.071
"P40","Altos impuestos y tarifas",0.061,0.441,0.11,0.183
"P40","Educación y estado de las escuelas",0.05,0.283,0.648,0.25
"P40","Inflación",0.101,0.04,0.081,0.315
"P40","Estado de la salud",0.161,0.131,0.07,0.033
"P40","Corrupción",0.027,0.014,0.021,0.148
"P40","Pobreza",0.002,0,0,0
"P40","Medio ambiente, incendios y contaminación",0.01,0,0,0
"P40","Falta de trabajo",0.005,0.015,0,0
"P40","No sabe",0.028,0,0,0
"P44","Muy buena",0.026,0.047,0,0
"P44","Buena",0.039,0.237,0.084,0
"P44","Ni buena ni mala",0.164,0.39,0.457,0.65
"P44","Mala",0.358,0.263,0.213,0.266
"P44","Muy mala",0.401,0.063,0.233,0.033
"P44","No sabe",0.012,0,0.013,0.051
"P45","Peor",0.899,0.47,0.545,0.5
