"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0,0,0,0,0,0,0,0.022,0.013,0.09
"P12","Gran excedente excepcional",0,0,0,0,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.045,0.039,0.018,0.09,0.057,0.027,0,0.263,0.023,0.072
"P12","Pequeño excedente excepcional",0.039,0.025,0.013,0,0.018,0.013,0.147,0.02,0.029,0.133
"P12","Alcanza gastos familia",0.076,0.118,0.515,0.015,0.509,0.375,0.163,0.038,0.171,0.077
"P12","No alcanza gastos familia",0.196,0.248,0,0.023,0.044,0.058,0,0.366,0.109,0.025
"P12","Solo NBFamiliares",0.287,0.238,0.178,0.411,0.267,0.226,0.357,0.137,0.285,0.208
"P12","No alcanza NBFamiliares",0.336,0.332,0.276,0.461,0.105,0.264,0.333,0.154,0.37,0.395
"P12","No sabe",0.021,0,0,0,0,0.037,0,0,0,0
"P13","Muy buena",0.06,0.084,0.155,0.014,0.034,0.039,0,0,0.027,0.018
"P13","Buena",0.307,0.098,0.44,0.146,0.081,0.221,0.255,0.018,0.016,0.22
"P13","Ni buena ni mala",0.122,0.453,0.173,0.544,0.212,0.484,0.327,0.253,0.129,0.393
"P13","Mala",0.355,0.262,0.158,0.26,0.351,0.19,0.418,0.681,0.426,0.329
"P13","Muy mala",0.156,0.103,0.043,0.021,0.22,0.066,0,0.048,0.402,0.04
"P13","No sabe",0,0,0.031,0.015,0.102,0,0,0,0,0
"P14","Muy buena",0.354,0.305,0.097,0.146,0.245,0.121,0.175,0.034,0.37,0.22
"P14","Buena",0.045,0.222,0.206,0.038,0.242,0.456,0.152,0.049,0.083,0.091
"P14","Ni buena ni mala",0.102,0.066,0.278,0.363,0.099,0.053,0,0,0.024,0.208
"P14","Mala",0.016,0.196,0.166,0.219,0.046,0.059,0.14,0.323,0.104,0.195
"P14","Muy mala",0.483,0.211,0.253,0.22,0.368,0.311,0.533,0.539,0.419,0.286
"P14","No sabe",0,0,0,0.014,0,0,0,0.055,0,0
"P15","Muy buena",0.015,0.074,0.061,0,0.034,0,0.05,0,0.032,0.25
"P15","Buena",0.208,0.22,0.328,0.014,0.041,0.335,0.061,0.073,0.088,0.088
"P15","Ni buena ni mala",0.341,0.505,0.273,0.446,0.305,0.333,0.546,0.208,0.12,0.348
"P15","Mala",0.192,0.085,0.148,0.437,0.328,0.132,0.199,0.182,0.354,0.226
"P15","Muy mala",0.228,0.116,0.159,0.103,0.19,0.2,0.144,0.537,0.406,0.088
"P15","No sabe",0.016,0,0.031,0,0.102,0,0,0,0,0
"P19","Muy buena",0.071,0.124,0.278,0,0.012,0,0.05,0,0.024,0.16
"P19","Buena",0.011,0.149,0.319,0.152,0.126,0.143,0.225,0.181,0.031,0.116
"P19","Ni buena ni mala",0.391,0.409,0.268,0.481,0.357,0.664,0.537,0.331,0.104,0.449
"P19","Mala",0.256,0.234,0.115,0.332,0.182,0.193,0.188,0.37,0.464,0.145
"P19","Muy mala",0.098,0.084,0.02,0.021,0.323,0,0,0.063,0.371,0.13
"P19","No sabe",0.173,0,0,0.014,0,0,0,0.055,0.006,0
"P20","Gobierno nacional",0.439,0.407,0.363,0.573,0.174,0.296,0.526,0.481,0.266,0.375
"P20","Gobierno provincial",0.446,0.481,0.295,0.34,0.742,0.526,0.316,0.455,0.554,0.473
"P20","No sabe",0.115,0.112,0.342,0.087,0.084,0.178,0.158,0.064,0.18,0.152
"P21","El anterior gobierno de Arabela Carreras",0.17,0.52,0.51,0.517,0.336,0.088,0.33,0.085,0.433,0.111
"P21","El actual gobierno de Alberto Weretilneck",0.718,0.395,0.308,0.3,0.476,0.193,0.67,0.298,0.511,0.34
"P21","No sabe",0.112,0.085,0.182,0.183,0.188,0.719,0,0.617,0.056,0.549
"P22","El anterior gobierno de Alberto Fernández",0.056,0.584,0.593,0.018,0.67,0.071,0.04,0.012,0.028,0.804
"P22","El actual gobierno de Javier Milei",0.58,0.386,0.407,0.982,0.33,0.929,0.96,0.988,0.972,0.172
"P22","No sabe",0.364,0.03,0,0,0,0,0,0,0,0.024
"P23","Empleado sector publico",0.164,0.11,0.241,0.101,0.253,0.172,0.257,0.125,0.05,0.088
"P23","Empleado sector privado",0.285,0.31,0.081,0.224,0.19,0.248,0.32,0.082,0.32,0.326
"P23","Changas o trabajos eventuales",0.196,0.301,0.096,0.17,0.129,0.365,0.112,0.239,0.143,0.238
"P23","Estudiante",0.079,0,0,0,0.071,0,0,0.377,0,0
"P23","Amas de casa",0.034,0.028,0.09,0.322,0.04,0.043,0.096,0.015,0.024,0.083
"P23","Profesional o independiente",0.11,0.106,0.289,0.028,0.223,0.054,0.086,0.074,0.192,0.123
"P23","Comerciante, emprendedor o empresario",0.017,0,0.094,0.028,0.033,0.031,0,0.02,0.054,0.072
"P23","Trabajador informal",0,0.013,0.066,0.036,0,0,0,0.055,0.003,0
"P23","No tengo trabajo",0.115,0.132,0.043,0.091,0.061,0.087,0.129,0.013,0.214,0.07
"P24","Muy de acuerdo",0.177,0.16,0.041,0.236,0.091,0.218,0.147,0.169,0.11,0.108
"P24","De acuerdo",0.327,0.236,0.359,0.138,0.316,0.122,0.145,0.137,0.197,0.204
"P24","Ni de acuerdo ni en desacuerdo",0.224,0.268,0.368,0.181,0.436,0.478,0.456,0.679,0.233,0.537
"P24","En desacuerdo",0.241,0.142,0.128,0.327,0.063,0.126,0.202,0,0.161,0.061
"P24","Muy en desacuerdo",0.023,0.194,0.05,0.021,0.079,0.056,0,0.015,0.296,0.09
"P24","No sabe",0.008,0,0.054,0.097,0.015,0,0.05,0,0.003,0
"P25","Muy de acuerdo",0.101,0.058,0.278,0.045,0.143,0.023,0.114,0.065,0.182,0.036
"P25","De acuerdo",0.162,0.156,0.224,0.115,0.16,0.103,0.128,0.066,0.165,0.106
"P25","Ni de acuerdo ni en desacuerdo",0.151,0.391,0.153,0.066,0.321,0.467,0.085,0,0.059,0.343
"P25","En desacuerdo",0.283,0.33,0.263,0.619,0.263,0.283,0.559,0.759,0.203,0.396
"P25","Muy en desacuerdo",0.293,0.065,0.051,0.111,0.109,0.124,0.114,0.11,0.391,0.119
"P25","No sabe",0.01,0,0.031,0.044,0.004,0,0,0,0,0
"P26","Si",0.667,0.548,0.406,0.326,0.749,0.561,0.91,0.709,0.682,0.594
"P26","No",0.333,0.452,0.594,0.674,0.251,0.439,0.09,0.291,0.318,0.406
"P27","Muy de acuerdo",0.251,0.093,0.04,0.024,0.287,0.059,0.164,0.058,0.217,0.253
"P27","De acuerdo",0.287,0.127,0.063,0.412,0.135,0.209,0.08,0.05,0.06,0.173
"P27","Ni de acuerdo ni en desacuerdo",0.096,0.443,0.242,0.237,0.281,0.388,0.377,0.049,0.172,0.275
"P27","En desacuerdo",0.179,0.332,0.549,0.311,0.125,0.22,0.254,0.711,0.223,0.128
"P27","Muy en desacuerdo",0.181,0.005,0.106,0.016,0.172,0.124,0.125,0.132,0.322,0.171
"P27","No sabe",0.006,0,0,0,0,0,0,0,0.006,0
"P28","Si",0.685,0.676,0.497,0.398,0.816,0.774,1,0.695,0.735,0.529
