"var","categoria","No estaba enterado","De acuerdo","En desacuerdo","No sabe"
"P12","Gran excedente habitual",0.031,0.002,0.002,0.035
"P12","Gran excedente excepcional",0,0,0,0
"P12","Pequeño excedente habitual",0.01,0.123,0.027,0.045
"P12","Pequeño excedente excepcional",0.1,0.046,0.023,0.012
"P12","Alcanza gastos familia",0.167,0.299,0.093,0.151
"P12","No alcanza gastos familia",0.091,0.089,0.129,0.018
"P12","Solo NBFamiliares",0.272,0.297,0.262,0.436
"P12","No alcanza NBFamiliares",0.329,0.132,0.464,0.303
"P12","No sabe",0,0.012,0,0
"P13","Muy buena",0.06,0.042,0.065,0.133
"P13","Buena",0.211,0.099,0.127,0.224
"P13","Ni buena ni mala",0.421,0.11,0.368,0.232
"P13","Mala",0.134,0.523,0.278,0.365
"P13","Muy mala",0.109,0.206,0.162,0.022
"P13","No sabe",0.065,0.02,0,0.024
"P14","Muy buena",0.189,0.526,0.043,0.032
"P14","Buena",0.081,0.253,0.063,0.163
"P14","Ni buena ni mala",0.277,0.104,0.066,0.135
"P14","Mala",0.126,0.056,0.103,0.45
"P14","Muy mala",0.299,0.041,0.725,0.22
"P14","No sabe",0.028,0.02,0,0
"P15","Muy buena",0.098,0.004,0.084,0.086
"P15","Buena",0.129,0.133,0.119,0.029
"P15","Ni buena ni mala",0.494,0.257,0.377,0.482
"P15","Mala",0.078,0.322,0.177,0.313
"P15","Muy mala",0.139,0.277,0.219,0.048
"P15","No sabe",0.062,0.007,0.024,0.042
"P19","Muy buena",0.169,0.056,0.024,0.023
"P19","Buena",0.106,0.067,0.178,0.284
"P19","Ni buena ni mala",0.491,0.229,0.392,0.357
"P19","Mala",0.148,0.395,0.226,0.307
"P19","Muy mala",0.054,0.22,0.169,0.011
"P19","No sabe",0.032,0.033,0.011,0.018
"P20","Gobierno nacional",0.323,0.046,0.617,0.271
"P20","Gobierno provincial",0.378,0.869,0.231,0.3
"P20","No sabe",0.299,0.085,0.152,0.429
"P21","El anterior gobierno de Arabela Carreras",0.16,0.353,0.234,0.578
"P21","El actual gobierno de Alberto Weretilneck",0.375,0.525,0.548,0.243
"P21","No sabe",0.465,0.122,0.218,0.179
"P22","El anterior gobierno de Alberto Fernández",0.052,0.956,0.172,0.076
"P22","El actual gobierno de Javier Milei",0.919,0.044,0.752,0.924
"P22","No sabe",0.029,0,0.076,0
"P23","Empleado sector publico",0.077,0.169,0.162,0.213
"P23","Empleado sector privado",0.21,0.226,0.234,0.32
"P23","Changas o trabajos eventuales",0.237,0.169,0.219,0.112
"P23","Estudiante",0,0.084,0.026,0
"P23","Amas de casa",0.098,0.069,0.082,0.053
"P23","Profesional o independiente",0.15,0.191,0.082,0.078
"P23","Comerciante, emprendedor o empresario",0.051,0.04,0.021,0.049
"P23","Trabajador informal",0.036,0.004,0.006,0.093
"P23","No tengo trabajo",0.141,0.048,0.168,0.082
"P24","Muy de acuerdo",0.224,0.117,0.206,0.058
"P24","De acuerdo",0.192,0.245,0.264,0.184
"P24","Ni de acuerdo ni en desacuerdo",0.337,0.406,0.216,0.653
"P24","En desacuerdo",0.164,0.091,0.18,0.083
"P24","Muy en desacuerdo",0.032,0.134,0.126,0.01
"P24","No sabe",0.051,0.007,0.008,0.012
"P25","Muy de acuerdo",0.084,0.244,0.047,0
"P25","De acuerdo",0.085,0.291,0.066,0.106
"P25","Ni de acuerdo ni en desacuerdo",0.343,0.289,0.076,0.145
"P25","En desacuerdo",0.325,0.101,0.527,0.428
"P25","Muy en desacuerdo",0.159,0.075,0.278,0.284
"P25","No sabe",0.004,0,0.006,0.037
"P26","Si",0.296,0.778,0.688,0.587
"P26","No",0.704,0.222,0.312,0.413
"P27","Muy de acuerdo",0.108,0.315,0.065,0
"P27","De acuerdo",0.202,0.168,0.096,0.27
"P27","Ni de acuerdo ni en desacuerdo",0.266,0.291,0.177,0.294
"P27","En desacuerdo",0.142,0.199,0.371,0.375
"P27","Muy en desacuerdo",0.282,0.027,0.289,0.04
"P27","No sabe",0,0,0.002,0.021
"P28","Si",0.358,0.855,0.689,0.434
"P28","No",0.642,0.145,0.311,0.566
"P29","Muy de acuerdo",0.1,0.303,0.091,0.012
"P29","De acuerdo",0.182,0.401,0.09,0.157
"P29","Ni de acuerdo ni en desacuerdo",0.454,0.189,0.109,0.239
"P29","En desacuerdo",0.155,0.023,0.465,0.512
"P29","Muy en desacuerdo",0.073,0.051,0.231,0.08
"P29","No sabe",0.036,0.033,0.014,0
"P31","No tengo cable ni internet",0.306,0.11,0.094,0.291
"P31","Si tuve",0.43,0.603,0.552,0.404
"P31","No tuve",0.264,0.287,0.354,0.305
"P32","Reclamando directamente a la empresa",0.536,0.197,0.225,0.085
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.195,0.419,0.355,0.764
"P32","Nunca se pudo resolver",0.269,0.384,0.42,0.151
"P33","1-Excelente",0.155,0.136,0.122,0.033
"P33","2",0.179,0.158,0.053,0.148
"P33","3",0.088,0.039,0.075,0.015
"P33","4",0.03,0.013,0.051,0.037
"P33","5",0.106,0.168,0.163,0.382
"P33","6",0.044,0.023,0.082,0.026
"P33","7",0.046,0.015,0.027,0.198
"P33","8",0.054,0.084,0.145,0.058
"P33","9-Pésimo",0.13,0.344,0.231,0.079
"P33","No sabe",0.168,0.02,0.051,0.024
"P34","1-Excelente",0.235,0.192,0.137,0.054
"P34","2",0.068,0.114,0.053,0.015
"P34","3",0.119,0.039,0.031,0.1
"P34","4",0.124,0.041,0.071,0.044
"P34","5",0.087,0.134,0.11,0.312
"P34","6",0.015,0.019,0.058,0.086
"P34","7",0.016,0.017,0.035,0
"P34","8",0.042,0.087,0.084,0.198
"P34","9-Pésimo",0.21,0.335,0.374,0.166
"P34","No sabe",0.084,0.022,0.047,0.025
"P35","1-Excelente",0.093,0.183,0.088,0.013
"P35","2",0.133,0.089,0.114,0.031
"P35","3",0.193,0.042,0.116,0.207
"P35","4",0.165,0.069,0.038,0.036
"P35","5",0.047,0.126,0.132,0.241
"P35","6",0.011,0.019,0.115,0.026
"P35","7",0.043,0.042,0.051,0.219
"P35","8",0.012,0.076,0.11,0.032
"P35","9-Pésimo",0.178,0.325,0.2,0.121
"P35","No sabe",0.125,0.029,0.036,0.074
"P36","1-Excelente",0.119,0.128,0.122,0.013
"P36","2",0.121,0.103,0.142,0.086
"P36","3",0.036,0.101,0.028,0.119
"P36","4",0.123,0.025,0.039,0.122
"P36","5",0.156,0.248,0.106,0.125
"P36","6",0.027,0.03,0.101,0.05
"P36","7",0.025,0.02,0.032,0.017
"P36","8",0.037,0.063,0.13,0.06
"P36","9-Pésimo",0.236,0.257,0.256,0.384
"P36","No sabe",0.12,0.025,0.044,0.024
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.5,0.04,0.85,0.623
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.288,0.236,0.145,0.108
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.072,0.364,0,0.145
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.106,0.354,0.002,0.094
"P37","No sabe",0.034,0.006,0.003,0.03
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.412,0.014,0.69,0.523
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.205,0.144,0.197,0.246
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.193,0.532,0.111,0.192
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.105,0.307,0,0.039
"P38","No sabe",0.085,0.003,0.002,0
"P39","Oponerse totalmente",0.522,0.03,0.699,0.562
"P39","Oponerse parcialmente",0.138,0.14,0.116,0.142
"P39","Apoyar parcialmente",0.166,0.398,0.17,0.215
"P39","Apoyar totalmente",0.121,0.432,0.004,0.04
"P39","No sabe",0.053,0,0.011,0.041
"P40","Inseguridad y narcotráfico",0.347,0.3,0.462,0.197
"P40","Altos impuestos y tarifas",0.201,0.219,0.093,0.079
"P40","Educación y estado de las escuelas",0.163,0.281,0.089,0.21
"P40","Inflación",0.07,0.072,0.132,0.056
"P40","Estado de la salud",0.064,0.102,0.18,0.381
"P40","Corrupción",0.04,0.02,0.036,0
"P40","Pobreza",0,0.002,0.002,0
"P40","Medio ambiente, incendios y contaminación",0.02,0,0,0.033
"P40","Falta de trabajo",0,0.004,0.006,0.044
"P40","No sabe",0.095,0,0,0
"P44","Muy buena",0.04,0.025,0.029,0
"P44","Buena",0.033,0.121,0.069,0.106
"P44","Ni buena ni mala",0.377,0.309,0.288,0.284
"P44","Mala",0.359,0.251,0.366,0.332
"P44","Muy mala",0.164,0.29,0.233,0.278
"P44","No sabe",0.027,0.004,0.015,0
"P45","Peor",0.621,0.69,0.855,0.771
"P45","Igual",0.21,0.268,0.127,0.216
"P45","Mejor",0.069,0.023,0.005,0
"P45","No sabe",0.1,0.019,0.013,0.013
"P46","Peor",0.614,0.403,0.791,0.74
"P46","Igual",0.197,0.319,0.185,0.09
"P46","Mejor",0.125,0.231,0.02,0.111
"P46","No sabe",0.064,0.047,0.004,0.059
"P47","Javier Milei",0.198,0.742,0.126,0.589
"P47","Los gobernadores",0.503,0.194,0.793,0.37
"P47","No sabe",0.299,0.064,0.081,0.041
"P48","Muy buena",0.066,0.049,0.084,0.176
"P48","Buena",0.134,0.079,0.191,0.238
"P48","Ni buena ni mala",0.52,0.153,0.302,0.125
"P48","Mala",0.14,0.425,0.237,0.461
"P48","Muy mala",0.14,0.294,0.186,0
"P48","No sabe",0,0,0,0
"P49","Muy buena",0.056,0.062,0.021,0.119
"P49","Buena",0.113,0.079,0.069,0.063
"P49","Ni buena ni mala",0.305,0.171,0.174,0.127
"P49","Mala",0.241,0.341,0.395,0.51
"P49","Muy mala",0.27,0.347,0.341,0.181
"P49","No sabe",0.015,0,0,0
"P50","Muy buena",0.051,0.026,0.186,0.078
"P50","Buena",0.152,0.082,0.25,0.074
"P50","Ni buena ni mala",0.426,0.179,0.295,0.115
"P50","Mala",0.107,0.332,0.139,0.26
"P50","Muy mala",0.224,0.379,0.106,0.461
"P50","No sabe",0.04,0.002,0.024,0.012
"P51","Muy buena",0.032,0.171,0.031,0
"P51","Buena",0.147,0.165,0.113,0.132
"P51","Ni buena ni mala",0.516,0.299,0.237,0.232
"P51","Mala",0.091,0.215,0.211,0.105
"P51","Muy mala",0.143,0.091,0.315,0.505
"P51","No sabe",0.071,0.059,0.093,0.026
"P54","Muy buena",0.272,0.028,0.321,0.217
"P54","Buena",0.134,0.065,0.248,0.019
"P54","Ni buena ni mala",0.167,0.077,0.15,0.067
"P54","Mala",0.086,0.256,0.117,0.14
"P54","Muy mala",0.341,0.562,0.164,0.557
"P54","No sabe",0,0.012,0,0
"P55","Muy buena",0.091,0.108,0.008,0
"P55","Buena",0.06,0.318,0.125,0.059
"P55","Ni buena ni mala",0.129,0.279,0.011,0.076
"P55","Mala",0.356,0.137,0.193,0.235
"P55","Muy mala",0.359,0.158,0.663,0.597
"P55","No sabe",0.005,0,0,0.033
"P56","Muy buena",0.044,0.005,0.084,0.021
"P56","Buena",0.249,0.12,0.303,0.148
"P56","Ni buena ni mala",0.227,0.04,0.254,0.076
"P56","Mala",0.178,0.275,0.143,0.638
"P56","Muy mala",0.267,0.548,0.216,0.117
"P56","No sabe",0.035,0.012,0,0
"P57","Muy buena",0.193,0.008,0.442,0.153
"P57","Buena",0.051,0.121,0.105,0.051
"P57","Ni buena ni mala",0.164,0.014,0.131,0.402
"P57","Mala",0.128,0.294,0.165,0.154
"P57","Muy mala",0.285,0.546,0.157,0.158
"P57","No sabe",0.179,0.017,0,0.082
"P58","Muy buena",0.159,0.488,0,0.094
"P58","Buena",0.04,0.286,0.121,0.025
"P58","Ni buena ni mala",0.109,0.115,0.047,0.444
"P58","Mala",0.255,0.035,0.099,0.119
"P58","Muy mala",0.407,0.076,0.729,0.318
"P58","No sabe",0.03,0,0.004,0
"P59","Muy buena",0.178,0.424,0.03,0.116
"P59","Buena",0.044,0.314,0.12,0.085
"P59","Ni buena ni mala",0.131,0.16,0.029,0.026
"P59","Mala",0.092,0.029,0.173,0.108
"P59","Muy mala",0.529,0.073,0.644,0.665
"P59","No sabe",0.026,0,0.004,0
"P60","Muy buena",0.205,0.607,0.076,0.129
"P60","Buena",0.046,0.253,0.063,0.072
"P60","Ni buena ni mala",0.136,0.096,0.1,0.051
"P60","Mala",0.046,0.026,0.125,0.08
"P60","Muy mala",0.519,0.018,0.632,0.668
"P60","No sabe",0.048,0,0.004,0
"P61","Muy buena",0.046,0.088,0.019,0.078
"P61","Buena",0.081,0.316,0.103,0.141
"P61","Ni buena ni mala",0.43,0.434,0.249,0.551
"P61","Mala",0.095,0.141,0.231,0.074
"P61","Muy mala",0.134,0.02,0.295,0.156
"P61","No sabe",0.214,0.001,0.103,0
