"var","categoria","No tengo cable ni internet","Si tuve","No tuve"
"P12","Gran excedente habitual",0.009,0.007,0.017
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.039,0.022,0.156
"P12","Pequeño excedente excepcional",0.095,0.041,0.03
"P12","Alcanza gastos familia",0.11,0.209,0.219
"P12","No alcanza gastos familia",0.039,0.123,0.087
"P12","Solo NBFamiliares",0.204,0.342,0.237
"P12","No alcanza NBFamiliares",0.504,0.247,0.254
"P12","No sabe",0,0.009,0
"P13","Muy buena",0.134,0.034,0.026
"P13","Buena",0.095,0.185,0.093
"P13","Ni buena ni mala",0.344,0.244,0.308
"P13","Mala",0.21,0.352,0.436
"P13","Muy mala",0.217,0.184,0.091
"P13","No sabe",0,0.001,0.046
"P14","Muy buena",0.253,0.287,0.199
"P14","Buena",0.078,0.155,0.198
"P14","Ni buena ni mala",0.297,0.081,0.133
"P14","Mala",0.133,0.095,0.131
"P14","Muy mala",0.239,0.371,0.339
"P14","No sabe",0,0.011,0
"P15","Muy buena",0.081,0.026,0.057
"P15","Buena",0.082,0.145,0.083
"P15","Ni buena ni mala",0.415,0.377,0.324
"P15","Mala",0.165,0.244,0.239
"P15","Muy mala",0.241,0.204,0.237
"P15","No sabe",0.016,0.004,0.06
"P19","Muy buena",0.069,0.091,0.024
"P19","Buena",0.126,0.121,0.116
"P19","Ni buena ni mala",0.441,0.236,0.521
"P19","Mala",0.16,0.345,0.218
"P19","Muy mala",0.188,0.17,0.113
"P19","No sabe",0.016,0.037,0.008
"P20","Gobierno nacional",0.297,0.336,0.306
"P20","Gobierno provincial",0.377,0.531,0.535
"P20","No sabe",0.326,0.133,0.159
"P21","El anterior gobierno de Arabela Carreras",0.309,0.441,0.157
"P21","El actual gobierno de Alberto Weretilneck",0.356,0.503,0.385
"P21","No sabe",0.335,0.056,0.458
"P22","El anterior gobierno de Alberto Fernández",0.427,0.224,0.252
"P22","El actual gobierno de Javier Milei",0.55,0.772,0.623
"P22","No sabe",0.023,0.004,0.125
"P23","Empleado sector publico",0.122,0.139,0.205
"P23","Empleado sector privado",0.172,0.249,0.241
"P23","Changas o trabajos eventuales",0.314,0.151,0.183
"P23","Estudiante",0,0.055,0.04
"P23","Amas de casa",0.132,0.046,0.092
"P23","Profesional o independiente",0.048,0.162,0.142
"P23","Comerciante, emprendedor o empresario",0.021,0.04,0.045
"P23","Trabajador informal",0.035,0.018,0.006
"P23","No tengo trabajo",0.156,0.14,0.046
"P24","Muy de acuerdo",0.176,0.17,0.137
"P24","De acuerdo",0.123,0.233,0.273
"P24","Ni de acuerdo ni en desacuerdo",0.44,0.272,0.444
"P24","En desacuerdo",0.119,0.169,0.103
"P24","Muy en desacuerdo",0.133,0.132,0.03
"P24","No sabe",0.009,0.024,0.013
"P25","Muy de acuerdo",0.072,0.168,0.099
"P25","De acuerdo",0.191,0.135,0.162
"P25","Ni de acuerdo ni en desacuerdo",0.291,0.209,0.219
"P25","En desacuerdo",0.257,0.273,0.431
"P25","Muy en desacuerdo",0.161,0.215,0.086
"P25","No sabe",0.028,0,0.003
"P26","Si",0.399,0.69,0.685
"P26","No",0.601,0.31,0.315
"P27","Muy de acuerdo",0.134,0.201,0.143
"P27","De acuerdo",0.193,0.139,0.158
"P27","Ni de acuerdo ni en desacuerdo",0.166,0.262,0.245
"P27","En desacuerdo",0.236,0.243,0.301
"P27","Muy en desacuerdo",0.271,0.152,0.151
"P27","No sabe",0,0.003,0.002
"P28","Si",0.418,0.744,0.722
"P28","No",0.582,0.256,0.278
"P29","Muy de acuerdo",0.223,0.174,0.114
"P29","De acuerdo",0.18,0.214,0.315
"P29","Ni de acuerdo ni en desacuerdo",0.242,0.19,0.249
"P29","En desacuerdo",0.187,0.259,0.215
"P29","Muy en desacuerdo",0.156,0.122,0.1
"P29","No sabe",0.012,0.041,0.007
"P30","No estaba enterado",0.413,0.171,0.184
"P30","De acuerdo",0.276,0.445,0.372
"P30","En desacuerdo",0.194,0.336,0.38
"P30","No sabe",0.117,0.048,0.064
"P33","1-Excelente",0.134,0.146,0.096
"P33","2",0.22,0.147,0.045
"P33","3",0.012,0.062,0.076
"P33","4",0.012,0.039,0.025
"P33","5",0.11,0.153,0.218
"P33","6",0.039,0.041,0.062
"P33","7",0,0.052,0.024
"P33","8",0.011,0.093,0.146
"P33","9-Pésimo",0.392,0.257,0.167
"P33","No sabe",0.07,0.01,0.141
"P34","1-Excelente",0.185,0.193,0.133
"P34","2",0.09,0.097,0.038
"P34","3",0.013,0.055,0.077
"P34","4",0.096,0.058,0.073
"P34","5",0.111,0.117,0.153
"P34","6",0.037,0.03,0.044
"P34","7",0.013,0.013,0.043
"P34","8",0.018,0.125,0.041
"P34","9-Pésimo",0.374,0.298,0.312
"P34","No sabe",0.063,0.014,0.086
"P35","1-Excelente",0.073,0.168,0.065
"P35","2",0.104,0.128,0.057
"P35","3",0.044,0.058,0.225
"P35","4",0.161,0.059,0.064
"P35","5",0.088,0.129,0.117
"P35","6",0.031,0.058,0.046
"P35","7",0.021,0.076,0.035
"P35","8",0,0.05,0.149
"P35","9-Pésimo",0.389,0.254,0.146
"P35","No sabe",0.089,0.02,0.096
"P36","1-Excelente",0.047,0.155,0.085
"P36","2",0.021,0.129,0.145
"P36","3",0.106,0.066,0.042
"P36","4",0.18,0.035,0.032
"P36","5",0.07,0.168,0.234
"P36","6",0.041,0.048,0.076
"P36","7",0.02,0.02,0.035
"P36","8",0,0.061,0.153
"P36","9-Pésimo",0.439,0.294,0.115
"P36","No sabe",0.076,0.024,0.083
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.626,0.409,0.404
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.087,0.175,0.308
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.145,0.207,0.128
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.13,0.191,0.16
"P37","No sabe",0.012,0.018,0
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.413,0.323,0.369
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.207,0.157,0.205
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.233,0.318,0.314
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.134,0.192,0.082
"P38","No sabe",0.013,0.01,0.03
"P39","Oponerse totalmente",0.58,0.33,0.38
"P39","Oponerse parcialmente",0.047,0.148,0.14
"P39","Apoyar parcialmente",0.276,0.243,0.305
"P39","Apoyar totalmente",0.08,0.267,0.155
"P39","No sabe",0.017,0.012,0.02
"P40","Inseguridad y narcotráfico",0.405,0.302,0.432
"P40","Altos impuestos y tarifas",0.157,0.177,0.15
"P40","Educación y estado de las escuelas",0.12,0.261,0.099
"P40","Inflación",0.014,0.099,0.111
"P40","Estado de la salud",0.168,0.109,0.182
"P40","Corrupción",0.021,0.036,0.014
"P40","Pobreza",0.006,0.001,0
"P40","Medio ambiente, incendios y contaminación",0.015,0,0.012
"P40","Falta de trabajo",0.011,0.008,0
"P40","No sabe",0.083,0.007,0
"P44","Muy buena",0.05,0.038,0
"P44","Buena",0.094,0.115,0.035
"P44","Ni buena ni mala",0.237,0.261,0.431
"P44","Mala",0.235,0.278,0.413
"P44","Muy mala",0.384,0.294,0.108
"P44","No sabe",0,0.014,0.013
"P45","Peor",0.753,0.709,0.784
"P45","Igual",0.189,0.241,0.153
"P45","Mejor",0.044,0.022,0.019
"P45","No sabe",0.014,0.028,0.044
"P46","Peor",0.726,0.535,0.616
"P46","Igual",0.148,0.259,0.25
"P46","Mejor",0.068,0.168,0.111
"P46","No sabe",0.058,0.038,0.023
"P47","Javier Milei",0.389,0.506,0.342
"P47","Los gobernadores",0.308,0.422,0.58
"P47","No sabe",0.303,0.072,0.078
"P48","Muy buena",0.158,0.065,0.04
"P48","Buena",0.107,0.147,0.123
"P48","Ni buena ni mala",0.265,0.203,0.377
"P48","Mala",0.058,0.364,0.364
"P48","Muy mala",0.412,0.221,0.096
"P48","No sabe",0,0,0
"P49","Muy buena",0.05,0.046,0.064
"P49","Buena",0.063,0.102,0.047
"P49","Ni buena ni mala",0.105,0.168,0.285
"P49","Mala",0.221,0.418,0.289
"P49","Muy mala",0.55,0.265,0.315
"P49","No sabe",0.011,0.001,0
"P50","Muy buena",0.052,0.103,0.065
"P50","Buena",0.065,0.197,0.087
"P50","Ni buena ni mala",0.268,0.165,0.428
"P50","Mala",0.092,0.26,0.232
"P50","Muy mala",0.512,0.252,0.182
"P50","No sabe",0.011,0.023,0.006
"P51","Muy buena",0.011,0.127,0.061
"P51","Buena",0.046,0.116,0.251
"P51","Ni buena ni mala",0.37,0.301,0.302
"P51","Mala",0.108,0.246,0.102
"P51","Muy mala",0.293,0.18,0.186
"P51","No sabe",0.172,0.03,0.098
"P54","Muy buena",0.091,0.175,0.223
"P54","Buena",0.169,0.156,0.064
"P54","Ni buena ni mala",0.041,0.074,0.239
"P54","Mala",0.079,0.202,0.169
"P54","Muy mala",0.62,0.393,0.286
"P54","No sabe",0,0,0.019
"P55","Muy buena",0.035,0.069,0.077
"P55","Buena",0.235,0.187,0.19
"P55","Ni buena ni mala",0.133,0.204,0.065
"P55","Mala",0.164,0.166,0.282
"P55","Muy mala",0.418,0.373,0.386
"P55","No sabe",0.015,0.001,0
"P56","Muy buena",0.043,0.039,0.033
"P56","Buena",0.044,0.173,0.347
"P56","Ni buena ni mala",0.171,0.136,0.142
"P56","Mala",0.094,0.303,0.187
"P56","Muy mala",0.637,0.342,0.272
"P56","No sabe",0.011,0.007,0.019
"P57","Muy buena",0.165,0.221,0.132
"P57","Buena",0.061,0.098,0.123
"P57","Ni buena ni mala",0.03,0.124,0.098
"P57","Mala",0.091,0.228,0.258
"P57","Muy mala",0.633,0.322,0.263
"P57","No sabe",0.02,0.007,0.126
"P58","Muy buena",0.142,0.328,0.149
"P58","Buena",0.209,0.148,0.211
"P58","Ni buena ni mala",0.077,0.14,0.08
"P58","Mala",0.154,0.077,0.109
"P58","Muy mala",0.418,0.296,0.451
"P58","No sabe",0,0.011,0
"P59","Muy buena",0.151,0.269,0.215
"P59","Buena",0.207,0.199,0.169
"P59","Ni buena ni mala",0.068,0.138,0.054
"P59","Mala",0.129,0.031,0.193
"P59","Muy mala",0.445,0.354,0.369
"P59","No sabe",0,0.009,0
"P60","Muy buena",0.205,0.393,0.296
"P60","Buena",0.214,0.155,0.09
"P60","Ni buena ni mala",0.097,0.062,0.182
"P60","Mala",0.057,0.061,0.077
"P60","Muy mala",0.427,0.313,0.355
"P60","No sabe",0,0.016,0
"P61","Muy buena",0.104,0.052,0.047
"P61","Buena",0.041,0.265,0.14
"P61","Ni buena ni mala",0.445,0.38,0.351
"P61","Mala",0.078,0.153,0.211
"P61","Muy mala",0.32,0.115,0.083
"P61","No sabe",0.012,0.035,0.168
