"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P12","Gran excedente habitual",0,0.059,0.006,0,0,0
"P12","Gran excedente excepcional",0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.062,0.071,0.065,0.028,0.101,0.073
"P12","Pequeño excedente excepcional",0.076,0.018,0.077,0.023,0.039,0.094
"P12","Alcanza gastos familia",0.155,0.326,0.165,0.105,0.16,0.39
"P12","No alcanza gastos familia",0.073,0.078,0.095,0.16,0.06,0.054
"P12","Solo NBFamiliares",0.307,0.328,0.287,0.254,0.3,0.027
"P12","No alcanza NBFamiliares",0.327,0.12,0.283,0.43,0.34,0.362
"P12","No sabe",0,0,0.022,0,0,0
"P13","Muy buena",0.108,0.057,0.05,0.052,0.017,0.036
"P13","Buena",0.078,0.176,0.147,0.188,0.059,0
"P13","Ni buena ni mala",0.056,0.161,0.448,0.339,0.277,0.329
"P13","Mala",0.493,0.448,0.188,0.284,0.295,0.608
"P13","Muy mala",0.265,0.158,0.069,0.121,0.352,0
"P13","No sabe",0,0,0.098,0.016,0,0.027
"P14","Muy buena",0.758,0.345,0.157,0.03,0.006,0.463
"P14","Buena",0.102,0.344,0.181,0.014,0.056,0.057
"P14","Ni buena ni mala",0.036,0.149,0.353,0.035,0.021,0
"P14","Mala",0.03,0.091,0.096,0.204,0.097,0.065
"P14","Muy mala",0.074,0.071,0.177,0.704,0.82,0.179
"P14","No sabe",0,0,0.036,0.013,0,0.236
"P15","Muy buena",0.126,0.046,0.027,0.059,0.009,0.088
"P15","Buena",0.038,0.174,0.156,0.096,0.075,0.274
"P15","Ni buena ni mala",0.277,0.302,0.503,0.432,0.258,0.118
"P15","Mala",0.22,0.296,0.165,0.17,0.324,0.057
"P15","Muy mala",0.313,0.182,0.087,0.223,0.305,0.463
"P15","No sabe",0.026,0,0.062,0.02,0.029,0
"P19","Muy buena",0.055,0.117,0.089,0.047,0.009,0.036
"P19","Buena",0.054,0.093,0.117,0.237,0.076,0.066
"P19","Ni buena ni mala",0.14,0.316,0.535,0.362,0.353,0.054
"P19","Mala",0.536,0.253,0.222,0.202,0.236,0.218
"P19","Muy mala",0.203,0.17,0.032,0.142,0.317,0.39
"P19","No sabe",0.012,0.051,0.005,0.01,0.009,0.236
"P20","Gobierno nacional",0.089,0.097,0.229,0.674,0.486,0.179
"P20","Gobierno provincial",0.829,0.808,0.424,0.168,0.358,0.52
"P20","No sabe",0.082,0.095,0.347,0.158,0.156,0.301
"P21","El anterior gobierno de Arabela Carreras",0.346,0.285,0.448,0.297,0.244,0
"P21","El actual gobierno de Alberto Weretilneck",0.588,0.467,0.267,0.654,0.604,0.905
"P21","No sabe",0.066,0.248,0.285,0.049,0.152,0.095
"P22","El anterior gobierno de Alberto Fernández",0.273,0.323,0.458,0.181,0.032,0.333
"P22","El actual gobierno de Javier Milei",0.727,0.154,0.537,0.798,0.968,0.667
"P22","No sabe",0,0.523,0.005,0.021,0,0
"P23","Empleado sector publico",0.133,0.179,0.118,0.132,0.202,0.054
"P23","Empleado sector privado",0.26,0.283,0.202,0.182,0.233,0.154
"P23","Changas o trabajos eventuales",0.27,0.092,0.212,0.267,0.166,0
"P23","Estudiante",0.062,0.075,0.003,0.037,0,0.39
"P23","Amas de casa",0.033,0.06,0.189,0.045,0.062,0
"P23","Profesional o independiente",0.075,0.254,0.121,0.085,0.151,0.166
"P23","Comerciante, emprendedor o empresario",0.05,0.027,0.038,0.053,0,0
"P23","Trabajador informal",0.004,0.003,0.021,0.025,0.008,0.209
"P23","No tengo trabajo",0.113,0.027,0.096,0.174,0.178,0.027
"P24","Muy de acuerdo",0.138,0.127,0.182,0.255,0.107,0.12
"P24","De acuerdo",0.188,0.453,0.182,0.153,0.209,0
"P24","Ni de acuerdo ni en desacuerdo",0.344,0.273,0.448,0.326,0.303,0.266
"P24","En desacuerdo",0.216,0.082,0.086,0.188,0.117,0.088
"P24","Muy en desacuerdo",0.101,0.065,0.058,0.064,0.244,0.499
"P24","No sabe",0.013,0,0.044,0.014,0.02,0.027
"P25","Muy de acuerdo",0.365,0.134,0.074,0.023,0.04,0.463
"P25","De acuerdo",0.263,0.353,0.104,0.032,0.029,0.159
"P25","Ni de acuerdo ni en desacuerdo",0.229,0.242,0.468,0.021,0.11,0
"P25","En desacuerdo",0.085,0.195,0.255,0.657,0.276,0.351
"P25","Muy en desacuerdo",0.05,0.076,0.099,0.251,0.545,0.027
"P25","No sabe",0.008,0,0,0.016,0,0
"P26","Si",0.815,0.613,0.491,0.646,0.694,0.699
"P26","No",0.185,0.387,0.509,0.354,0.306,0.301
"P27","Muy de acuerdo",0.411,0.288,0.057,0.031,0.043,0.462
"P27","De acuerdo",0.162,0.281,0.121,0.1,0.093,0
"P27","Ni de acuerdo ni en desacuerdo",0.144,0.275,0.504,0.103,0.132,0.15
"P27","En desacuerdo",0.236,0.154,0.112,0.611,0.089,0.179
"P27","Muy en desacuerdo",0.047,0.002,0.206,0.153,0.632,0.209
"P27","No sabe",0,0,0,0.002,0.011,0
