"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P12","Gran excedente habitual",0.023,0.016,0
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.035,0.071,0.081
"P12","Pequeño excedente excepcional",0.01,0.045,0.088
"P12","Alcanza gastos familia",0.1,0.248,0.097
"P12","No alcanza gastos familia",0.123,0.106,0.031
"P12","Solo NBFamiliares",0.295,0.284,0.28
"P12","No alcanza NBFamiliares",0.414,0.221,0.415
"P12","No sabe",0,0.009,0.008
"P13","Muy buena",0.082,0.05,0.041
"P13","Buena",0.198,0.055,0.224
"P13","Ni buena ni mala",0.367,0.164,0.424
"P13","Mala",0.246,0.466,0.157
"P13","Muy mala",0.102,0.236,0.092
"P13","No sabe",0.005,0.029,0.062
"P14","Muy buena",0.048,0.436,0.073
"P14","Buena",0.04,0.243,0.093
"P14","Ni buena ni mala",0.059,0.099,0.421
"P14","Mala",0.155,0.062,0.147
"P14","Muy mala",0.698,0.15,0.224
"P14","No sabe",0,0.01,0.042
"P15","Muy buena",0.071,0.052,0.038
"P15","Buena",0.129,0.086,0.173
"P15","Ni buena ni mala",0.362,0.319,0.462
"P15","Mala",0.19,0.268,0.107
"P15","Muy mala",0.228,0.228,0.163
"P15","No sabe",0.02,0.047,0.057
"P19","Muy buena",0.103,0.03,0.147
"P19","Buena",0.209,0.07,0.072
"P19","Ni buena ni mala",0.384,0.28,0.482
"P19","Mala",0.178,0.356,0.109
"P19","Muy mala",0.122,0.216,0.086
"P19","No sabe",0.004,0.048,0.104
"P23","Empleado sector publico",0.184,0.141,0.075
"P23","Empleado sector privado",0.274,0.233,0.261
"P23","Changas o trabajos eventuales",0.165,0.229,0.203
"P23","Estudiante",0.022,0.063,0.034
"P23","Amas de casa",0.115,0.053,0.09
"P23","Profesional o independiente",0.071,0.179,0.082
"P23","Comerciante, emprendedor o empresario",0.025,0.042,0.026
"P23","Trabajador informal",0.017,0.009,0.049
"P23","No tengo trabajo",0.127,0.051,0.18
"P24","Muy de acuerdo",0.171,0.138,0.259
"P24","De acuerdo",0.248,0.23,0.181
"P24","Ni de acuerdo ni en desacuerdo",0.301,0.374,0.355
"P24","En desacuerdo",0.155,0.142,0.07
"P24","Muy en desacuerdo",0.085,0.107,0.09
"P24","No sabe",0.04,0.009,0.045
"P25","Muy de acuerdo",0.028,0.185,0.148
"P25","De acuerdo",0.041,0.27,0.052
"P25","Ni de acuerdo ni en desacuerdo",0.07,0.271,0.316
"P25","En desacuerdo",0.596,0.17,0.224
"P25","Muy en desacuerdo",0.251,0.104,0.249
"P25","No sabe",0.014,0,0.011
"P26","Si",0.608,0.712,0.448
"P26","No",0.392,0.288,0.552
"P27","Muy de acuerdo",0.098,0.255,0.088
"P27","De acuerdo",0.113,0.216,0.074
"P27","Ni de acuerdo ni en desacuerdo",0.131,0.291,0.356
"P27","En desacuerdo",0.418,0.145,0.238
"P27","Muy en desacuerdo",0.238,0.09,0.244
"P27","No sabe",0.002,0.003,0
"P28","Si",0.634,0.808,0.315
"P28","No",0.366,0.192,0.685
"P29","Muy de acuerdo",0.05,0.27,0.08
"P29","De acuerdo",0.078,0.372,0.13
"P29","Ni de acuerdo ni en desacuerdo",0.169,0.182,0.442
"P29","En desacuerdo",0.505,0.073,0.204
"P29","Muy en desacuerdo",0.183,0.078,0.102
"P29","No sabe",0.015,0.025,0.042
"P30","No estaba enterado",0.222,0.153,0.365
"P30","De acuerdo",0.06,0.665,0.196
"P30","En desacuerdo",0.665,0.147,0.29
"P30","No sabe",0.053,0.035,0.149
"P31","No tengo cable ni internet",0.146,0.117,0.3
"P31","Si tuve",0.563,0.562,0.417
"P31","No tuve",0.291,0.321,0.283
"P32","Reclamando directamente a la empresa",0.208,0.235,0.51
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.431,0.323,0.415
"P32","Nunca se pudo resolver",0.361,0.442,0.075
"P33","1-Excelente",0.153,0.137,0.052
"P33","2",0.1,0.122,0.198
"P33","3",0.096,0.053,0
"P33","4",0.048,0.014,0.05
"P33","5",0.138,0.172,0.211
"P33","6",0.106,0.017,0.022
"P33","7",0.049,0.015,0.072
"P33","8",0.114,0.094,0.075
"P33","9-Pésimo",0.16,0.325,0.184
"P33","No sabe",0.036,0.051,0.136
"P34","1-Excelente",0.197,0.16,0.172
"P34","2",0.071,0.101,0.021
"P34","3",0.037,0.074,0.032
"P34","4",0.085,0.049,0.093
"P34","5",0.091,0.128,0.197
"P34","6",0.057,0.023,0.031
"P34","7",0.045,0.01,0.012
"P34","8",0.087,0.077,0.099
"P34","9-Pésimo",0.286,0.353,0.245
"P34","No sabe",0.044,0.025,0.098
"P35","1-Excelente",0.112,0.128,0.129
"P35","2",0.085,0.108,0.128
"P35","3",0.091,0.087,0.201
"P35","4",0.083,0.06,0.11
"P35","5",0.134,0.116,0.099
"P35","6",0.122,0.014,0.017
"P35","7",0.037,0.055,0.096
"P35","8",0.085,0.081,0.018
"P35","9-Pésimo",0.177,0.305,0.17
"P35","No sabe",0.074,0.046,0.032
"P36","1-Excelente",0.152,0.102,0.096
"P36","2",0.142,0.111,0.094
"P36","3",0.069,0.037,0.155
"P36","4",0.091,0.035,0.034
"P36","5",0.089,0.25,0.103
"P36","6",0.048,0.056,0.07
"P36","7",0.038,0.015,0.028
"P36","8",0.115,0.071,0.037
"P36","9-Pésimo",0.202,0.278,0.33
"P36","No sabe",0.054,0.045,0.053
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.868,0.146,0.624
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.106,0.274,0.158
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.007,0.281,0.122
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.017,0.29,0.052
"P37","No sabe",0.002,0.009,0.044
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.627,0.151,0.523
