"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P12","Gran excedente habitual",0.006,0.011,0.008,0,0
"P12","Gran excedente excepcional",0,0,0,0,0
"P12","Pequeño excedente habitual",0.036,0.228,0.039,0.039,0
"P12","Pequeño excedente excepcional",0.022,0.037,0.035,0.05,0
"P12","Alcanza gastos familia",0.128,0.072,0.292,0.393,0.092
"P12","No alcanza gastos familia",0.169,0.227,0.099,0.076,0.253
"P12","Solo NBFamiliares",0.212,0.238,0.276,0.4,0.5
"P12","No alcanza NBFamiliares",0.427,0.187,0.243,0.042,0.155
"P12","No sabe",0,0,0.008,0,0
"P13","Muy buena",0.054,0.017,0.07,0,0
"P13","Buena",0.105,0.242,0.069,0.018,0.394
"P13","Ni buena ni mala",0.308,0.341,0.282,0.079,0.25
"P13","Mala",0.291,0.305,0.426,0.58,0.253
"P13","Muy mala",0.186,0.079,0.15,0.323,0.103
"P13","No sabe",0.056,0.016,0.003,0,0
"P14","Muy buena",0.024,0.195,0.383,0.672,0
"P14","Buena",0.011,0.047,0.365,0.209,0.342
"P14","Ni buena ni mala",0.056,0.094,0.079,0.058,0.079
"P14","Mala",0.151,0.364,0.065,0.007,0.253
"P14","Muy mala",0.758,0.3,0.088,0.054,0.326
"P14","No sabe",0,0,0.02,0,0
"P15","Muy buena",0.068,0,0.035,0,0
"P15","Buena",0.1,0.208,0.168,0.037,0.318
"P15","Ni buena ni mala",0.302,0.299,0.286,0.21,0.579
"P15","Mala",0.186,0.144,0.319,0.467,0.103
"P15","Muy mala",0.285,0.333,0.192,0.286,0
"P15","No sabe",0.059,0.016,0,0,0
"P19","Muy buena",0.042,0.026,0.049,0,0.239
"P19","Buena",0.166,0.155,0.081,0.02,0.234
"P19","Ni buena ni mala",0.325,0.462,0.419,0.112,0.171
"P19","Mala",0.268,0.146,0.313,0.468,0.356
"P19","Muy mala",0.196,0.05,0.118,0.385,0
"P19","No sabe",0.003,0.161,0.02,0.015,0
"P20","Gobierno nacional",0.613,0.237,0.181,0,0.644
"P20","Gobierno provincial",0.228,0.542,0.719,0.985,0.103
"P20","No sabe",0.159,0.221,0.1,0.015,0.253
"P21","El anterior gobierno de Arabela Carreras",0.226,0.15,0.499,0.322,1
"P21","El actual gobierno de Alberto Weretilneck",0.382,0.44,0.273,0.665,0
"P21","No sabe",0.392,0.41,0.228,0.013,0
"P22","El anterior gobierno de Alberto Fernández",0.091,0.145,0.791,0,0
"P22","El actual gobierno de Javier Milei",0.906,0.855,0.023,0,0.836
"P22","No sabe",0.003,0,0.186,0,0.164
"P23","Empleado sector publico",0.125,0.129,0.192,0.14,0.103
"P23","Empleado sector privado",0.238,0.325,0.285,0.205,0.332
"P23","Changas o trabajos eventuales",0.2,0.044,0.277,0.106,0.155
"P23","Estudiante",0.042,0.161,0.004,0.122,0
"P23","Amas de casa",0.078,0.097,0.052,0,0
"P23","Profesional o independiente",0.144,0.061,0.082,0.263,0.171
"P23","Comerciante, emprendedor o empresario",0.008,0.072,0.053,0.053,0
"P23","Trabajador informal",0.011,0.023,0.017,0.008,0
"P23","No tengo trabajo",0.154,0.088,0.038,0.103,0.239
"P24","Muy de acuerdo",0.183,0.046,0.148,0.043,0
"P24","De acuerdo",0.139,0.318,0.22,0.357,0.239
"P24","Ni de acuerdo ni en desacuerdo",0.345,0.386,0.419,0.29,0.658
"P24","En desacuerdo",0.155,0.128,0.091,0.13,0.103
"P24","Muy en desacuerdo",0.178,0.058,0.11,0.164,0
"P24","No sabe",0,0.064,0.012,0.016,0
"P25","Muy de acuerdo",0.03,0,0.141,0.309,0
"P25","De acuerdo",0.022,0.203,0.255,0.266,0
"P25","Ni de acuerdo ni en desacuerdo",0.046,0.085,0.375,0.308,0.448
"P25","En desacuerdo",0.562,0.528,0.193,0.014,0.317
"P25","Muy en desacuerdo",0.337,0.168,0.036,0.103,0.079
"P25","No sabe",0.003,0.016,0,0,0.156
"P26","Si",0.576,0.573,0.678,0.848,0.079
"P26","No",0.424,0.427,0.322,0.152,0.921
"P27","Muy de acuerdo",0.045,0.05,0.241,0.487,0
"P27","De acuerdo",0.085,0.24,0.162,0.114,0.332
"P27","Ni de acuerdo ni en desacuerdo",0.092,0.176,0.409,0.308,0.409
"P27","En desacuerdo",0.415,0.394,0.144,0.071,0.259
"P27","Muy en desacuerdo",0.361,0.128,0.044,0.02,0
"P27","No sabe",0.002,0.012,0,0,0
"P28","Si",0.54,0.662,0.875,0.953,0.25
"P28","No",0.46,0.338,0.125,0.047,0.75
"P29","Muy de acuerdo",0.039,0.056,0.266,0.313,0
"P29","De acuerdo",0.045,0.414,0.353,0.441,0.253
"P29","Ni de acuerdo ni en desacuerdo",0.154,0.219,0.278,0.085,0.274
"P29","En desacuerdo",0.464,0.186,0.083,0.017,0.394
"P29","Muy en desacuerdo",0.292,0.096,0,0.058,0.079
"P29","No sabe",0.006,0.029,0.02,0.086,0
"P30","No estaba enterado",0.242,0.185,0.109,0.104,0.606
"P30","De acuerdo",0.033,0.445,0.623,0.878,0
"P30","En desacuerdo",0.639,0.307,0.221,0.007,0.239
"P30","No sabe",0.086,0.063,0.047,0.011,0.155
"P31","No tengo cable ni internet",0.21,0.049,0.143,0.054,0.155
"P31","Si tuve",0.47,0.61,0.492,0.704,0.421
"P31","No tuve",0.32,0.341,0.365,0.242,0.424
"P32","Reclamando directamente a la empresa",0.188,0.233,0.237,0.21,0
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.323,0.541,0.35,0.408,0
"P32","Nunca se pudo resolver",0.489,0.226,0.413,0.382,1
"P33","1-Excelente",0.066,0.088,0.039,0.158,0
"P33","2",0.072,0.222,0.197,0.027,0.491
"P33","3",0.033,0.065,0.156,0.021,0.103
"P33","4",0.027,0.043,0.034,0.008,0
"P33","5",0.142,0.101,0.209,0.174,0.248
"P33","6",0.065,0.073,0.029,0.013,0.079
"P33","7",0.068,0.026,0.02,0.015,0.079
"P33","8",0.163,0.254,0.023,0.109,0
"P33","9-Pésimo",0.282,0.024,0.293,0.468,0
"P33","No sabe",0.082,0.104,0,0.007,0
"P34","1-Excelente",0.096,0.121,0.127,0.188,0
"P34","2",0.039,0.194,0.164,0.028,0.594
"P34","3",0.088,0.062,0.077,0.018,0
"P34","4",0.057,0.078,0.051,0.043,0.079
"P34","5",0.102,0.099,0.126,0.14,0.092
"P34","6",0.026,0.033,0.114,0.006,0.156
"P34","7",0.019,0.047,0.008,0.026,0.079
"P34","8",0.113,0.019,0.053,0.127,0
"P34","9-Pésimo",0.429,0.297,0.275,0.417,0
"P34","No sabe",0.031,0.05,0.005,0.007,0
"P35","1-Excelente",0.041,0.07,0.08,0.161,0
"P35","2",0.05,0.289,0.131,0.037,0.491
"P35","3",0.14,0.081,0.167,0.015,0.103
"P35","4",0.057,0.102,0.072,0.022,0.079
"P35","5",0.102,0.083,0.176,0.15,0.079
"P35","6",0.135,0.018,0.016,0.018,0
"P35","7",0.077,0.025,0.016,0.085,0
"P35","8",0.092,0.054,0.04,0.153,0
"P35","9-Pésimo",0.249,0.204,0.296,0.341,0
"P35","No sabe",0.057,0.074,0.006,0.018,0.248
"P36","1-Excelente",0.058,0.271,0.102,0.098,0
"P36","2",0.083,0.135,0.222,0.034,0.673
"P36","3",0.04,0.044,0.068,0.029,0
"P36","4",0.06,0.102,0.029,0.02,0.156
"P36","5",0.137,0.09,0.139,0.397,0
"P36","6",0.039,0.029,0.118,0.034,0
"P36","7",0.031,0.035,0.013,0.025,0.079
"P36","8",0.128,0.202,0.055,0.016,0
"P36","9-Pésimo",0.362,0.042,0.248,0.321,0
"P36","No sabe",0.062,0.05,0.006,0.026,0.092
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.912,0.386,0.126,0.017,0.171
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.078,0.504,0.369,0.011,0.473
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.004,0.038,0.339,0.367,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.006,0.054,0.133,0.605,0.356
"P37","No sabe",0,0.018,0.033,0,0
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.82,0.123,0.086,0,0
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.146,0.728,0.073,0.007,0.473
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.016,0.054,0.731,0.455,0.079
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.014,0.043,0.099,0.538,0.103
"P38","No sabe",0.004,0.052,0.011,0,0.345
"P40","Inseguridad y narcotráfico",0.504,0.344,0.303,0.168,0.149
"P40","Altos impuestos y tarifas",0.096,0.283,0.155,0.209,0.528
"P40","Educación y estado de las escuelas",0.062,0.151,0.198,0.461,0.138
"P40","Inflación",0.109,0.077,0.061,0.109,0
"P40","Estado de la salud",0.16,0.025,0.252,0.018,0.185
"P40","Corrupción",0.026,0.067,0.016,0.023,0
"P40","Pobreza",0.002,0,0,0.004,0
"P40","Medio ambiente, incendios y contaminación",0.006,0.026,0,0,0
"P40","Falta de trabajo",0.003,0.027,0,0.008,0
"P40","No sabe",0.032,0,0.015,0,0
"P44","Muy buena",0.033,0.035,0,0.05,0
"P44","Buena",0.048,0.248,0.029,0.119,0.238
"P44","Ni buena ni mala",0.234,0.216,0.433,0.36,0.313
"P44","Mala",0.366,0.429,0.21,0.282,0.346
"P44","Muy mala",0.305,0.056,0.32,0.185,0
"P44","No sabe",0.014,0.016,0.008,0.004,0.103
"P45","Peor",0.866,0.549,0.728,0.633,0.768
"P45","Igual",0.1,0.369,0.221,0.282,0.232
"P45","Mejor",0.018,0.021,0.028,0.034,0
"P45","No sabe",0.016,0.061,0.023,0.051,0
"P46","Peor",0.899,0.541,0.465,0.216,0.396
"P46","Igual",0.081,0.348,0.285,0.379,0.53
"P46","Mejor",0.017,0,0.21,0.36,0
"P46","No sabe",0.003,0.111,0.04,0.045,0.074
"P47","Javier Milei",0.124,0.066,0.754,0.881,0.107
"P47","Los gobernadores",0.759,0.781,0.114,0.08,0.893
"P47","No sabe",0.117,0.153,0.132,0.039,0
"P48","Muy buena",0.114,0.006,0.093,0.011,0
"P48","Buena",0.142,0.357,0.073,0.039,0.38
"P48","Ni buena ni mala",0.281,0.283,0.282,0.162,0.513
"P48","Mala",0.258,0.308,0.296,0.486,0.107
"P48","Muy mala",0.205,0.046,0.256,0.302,0
"P48","No sabe",0,0,0,0,0
"P49","Muy buena",0.031,0.033,0.084,0.063,0
"P49","Buena",0.054,0.278,0.051,0.022,0.306
"P49","Ni buena ni mala",0.149,0.099,0.319,0.144,0.412
"P49","Mala",0.366,0.232,0.344,0.428,0.209
"P49","Muy mala",0.393,0.358,0.202,0.343,0.073
"P49","No sabe",0.007,0,0,0,0
"P50","Muy buena",0.171,0.037,0.017,0.053,0
"P50","Buena",0.207,0.359,0.065,0.012,0.079
"P50","Ni buena ni mala",0.343,0.353,0.169,0.113,0.591
"P50","Mala",0.056,0.138,0.445,0.327,0
"P50","Muy mala",0.21,0.113,0.28,0.495,0
"P50","No sabe",0.013,0,0.024,0,0.33
"P51","Muy buena",0.02,0.06,0.116,0.194,0.33
"P51","Buena",0.024,0.25,0.258,0.151,0
"P51","Ni buena ni mala",0.306,0.253,0.387,0.249,0.443
"P51","Mala",0.177,0.112,0.087,0.379,0.227
"P51","Muy mala",0.385,0.293,0.043,0.015,0
"P51","No sabe",0.088,0.032,0.109,0.012,0
"P54","Muy buena",0.402,0.064,0.011,0.044,0.227
"P54","Buena",0.228,0.304,0.019,0.004,0
"P54","Ni buena ni mala",0.111,0.382,0.06,0.006,0.326
"P54","Mala",0.019,0.074,0.362,0.268,0.331
"P54","Muy mala",0.24,0.176,0.528,0.678,0.116
"P54","No sabe",0,0,0.02,0,0
"P55","Muy buena",0.02,0.028,0.089,0.15,0
"P55","Buena",0.005,0.236,0.446,0.178,0.33
"P55","Ni buena ni mala",0.02,0.03,0.199,0.411,0.364
"P55","Mala",0.261,0.203,0.097,0.223,0.079
"P55","Muy mala",0.694,0.503,0.166,0.038,0.079
"P55","No sabe",0,0,0.003,0,0.148
"P56","Muy buena",0.091,0,0.007,0.007,0
"P56","Buena",0.288,0.457,0.102,0.016,0.148
"P56","Ni buena ni mala",0.214,0.224,0.045,0.044,0.736
"P56","Mala",0.215,0.178,0.303,0.26,0
"P56","Muy mala",0.188,0.141,0.508,0.673,0.116
"P56","No sabe",0.004,0,0.035,0,0
"P57","Muy buena",0.441,0.115,0.015,0,0.146
"P57","Buena",0.091,0.461,0.008,0.005,0.157
"P57","Ni buena ni mala",0.122,0.203,0.067,0.015,0.582
"P57","Mala",0.117,0.075,0.36,0.311,0
"P57","Muy mala",0.151,0.136,0.515,0.658,0.115
"P57","No sabe",0.078,0.01,0.035,0.011,0
"P58","Muy buena",0.013,0.024,0.27,0.827,0
"P58","Buena",0.013,0.222,0.396,0.128,0.452
"P58","Ni buena ni mala",0.103,0.07,0.219,0.006,0.323
"P58","Mala",0.167,0.118,0.045,0.032,0
"P58","Muy mala",0.701,0.566,0.052,0.007,0.225
"P58","No sabe",0.003,0,0.018,0,0
"P59","Muy buena",0.011,0.056,0.36,0.62,0
